air,lon,lat
282.44324,-120.4549,38.57567
274.09167,-120.094,38.62627
281.45886,-120.5208,38.8577
275.2245,-120.1582,38.90858
277.24792,-119.795,38.9581
276.93542,-120.223,39.19109
277.13855,-119.8581,39.24089
275.20886,-120.2885,39.4738
277.27136,-119.9218,39.5239
280.31564,-120.4549,38.57567
272.08908,-120.094,38.62627
279.26877,-120.5208,38.8577
273.31564,-120.1582,38.90858
276.50314,-119.795,38.9581
274.87814,-120.223,39.19109
275.94846,-119.8581,39.24089
273.33127,-120.2885,39.4738
278.1047,-119.9218,39.5239
280.27655,-120.4549,38.57567
271.83905,-120.094,38.62627
279.45624,-120.5208,38.8577
273.1125,-120.1582,38.90858
274.9953,-119.795,38.9581
275.02655,-120.223,39.19109
274.85468,-119.8581,39.24089
273.16718,-120.2885,39.4738
277.46405,-119.9218,39.5239
282.94522,-120.4549,38.57567
275.57803,-120.094,38.62627
282.26553,-120.5208,38.8577
276.50772,-120.1582,38.90858
276.73428,-119.795,38.9581
277.92178,-120.223,39.19109
277.9921,-119.8581,39.24089
276.73428,-120.2885,39.4738
279.7421,-119.9218,39.5239
280.58664,-120.4549,38.57567
273.71945,-120.094,38.62627
281.21164,-120.5208,38.8577
274.4929,-120.1582,38.90858
273.90695,-119.795,38.9581
277.64133,-120.223,39.19109
274.70383,-119.8581,39.24089
275.16476,-120.2885,39.4738
276.70383,-119.9218,39.5239
282.37497,-120.4549,38.57567
273.2734,-120.094,38.62627
282.13278,-120.5208,38.8577
274.37497,-120.1582,38.90858
272.49997,-119.795,38.9581
276.8984,-120.223,39.19109
274.6406,-119.8581,39.24089
274.55466,-120.2885,39.4738
275.67184,-119.9218,39.5239
283.69293,-120.4549,38.57567
276.20856,-120.094,38.62627
282.6773,-120.5208,38.8577
276.9195,-120.1582,38.90858
277.607,-119.795,38.9581
277.63824,-120.223,39.19109
279.45074,-119.8581,39.24089
276.94293,-120.2885,39.4738
280.68512,-119.9218,39.5239
282.6451,-120.4549,38.57567
274.55917,-120.094,38.62627
281.36386,-120.5208,38.8577
275.3795,-120.1582,38.90858
276.05917,-119.795,38.9581
276.7076,-120.223,39.19109
277.34824,-119.8581,39.24089
275.48886,-120.2885,39.4738
279.37167,-119.9218,39.5239
280.17142,-120.4549,38.57567
271.31985,-120.094,38.62627
279.23392,-120.5208,38.8577
272.44485,-120.1582,38.90858
274.6011,-119.795,38.9581
274.45267,-120.223,39.19109
275.14017,-119.8581,39.24089
272.48392,-120.2885,39.4738
276.92142,-119.9218,39.5239
276.6062,-120.4549,38.57567
269.58276,-120.094,38.62627
276.5515,-120.5208,38.8577
270.9734,-120.1582,38.90858
273.0359,-119.795,38.9581
272.69995,-120.223,39.19109
272.6687,-119.8581,39.24089
270.46558,-120.2885,39.4738
276.0984,-119.9218,39.5239
275.50317,-120.4549,38.57567
266.62036,-120.094,38.62627
275.0891,-120.5208,38.8577
268.30786,-120.1582,38.90858
268.19067,-119.795,38.9581
270.4485,-120.223,39.19109
269.0735,-119.8581,39.24089
268.42505,-120.2885,39.4738
273.0813,-119.9218,39.5239
274.00415,-120.4549,38.57567
264.5276,-120.094,38.62627
274.33228,-120.5208,38.8577
266.4807,-120.1582,38.90858
267.01978,-119.795,38.9581
268.18384,-120.223,39.19109
266.9729,-119.8581,39.24089
265.87915,-120.2885,39.4738
270.69946,-119.9218,39.5239
272.41107,-120.4549,38.57567
263.34857,-120.094,38.62627
272.51263,-120.5208,38.8577
264.31732,-120.1582,38.90858
264.34076,-119.795,38.9581
267.0517,-120.223,39.19109
