lcdc,lon,lat
34.625,-120.4549,38.57567
7.125,-120.094,38.62627
37.0,-120.5208,38.8577
20.5,-120.1582,38.90858
9.375,-119.795,38.9581
19.125,-120.223,39.19109
10.25,-119.8581,39.24089
15.75,-120.2885,39.4738
7.125,-119.9218,39.5239
88.5,-120.4549,38.57567
22.0,-120.094,38.62627
96.875,-120.5208,38.8577
78.5,-120.1582,38.90858
73.875,-119.795,38.9581
75.5,-120.223,39.19109
72.5,-119.8581,39.24089
63.125,-120.2885,39.4738
56.625,-119.9218,39.5239
93.5,-120.4549,38.57567
29.0,-120.094,38.62627
99.25,-120.5208,38.8577
81.0,-120.1582,38.90858
60.5,-119.795,38.9581
85.25,-120.223,39.19109
66.0,-119.8581,39.24089
84.75,-120.2885,39.4738
60.0,-119.9218,39.5239
84.375,-120.4549,38.57567
18.375,-120.094,38.62627
86.375,-120.5208,38.8577
58.625,-120.1582,38.90858
43.25,-119.795,38.9581
55.875,-120.223,39.19109
40.125,-119.8581,39.24089
44.625,-120.2885,39.4738
37.875,-119.9218,39.5239
2.625,-120.4549,38.57567
0.0,-120.094,38.62627
0.375,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
1.625,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
23.125,-120.4549,38.57567
5.5,-120.094,38.62627
24.625,-120.5208,38.8577
21.75,-120.1582,38.90858
17.75,-119.795,38.9581
21.75,-120.223,39.19109
21.375,-119.8581,39.24089
18.375,-120.2885,39.4738
11.0,-119.9218,39.5239
88.25,-120.4549,38.57567
31.125,-120.094,38.62627
91.0,-120.5208,38.8577
54.625,-120.1582,38.90858
55.25,-119.795,38.9581
63.25,-120.223,39.19109
74.375,-119.8581,39.24089
