mcdc,lon,lat
27.75,-120.4549,38.57567
14.5,-120.094,38.62627
27.25,-120.5208,38.8577
14.75,-120.1582,38.90858
6.875,-119.795,38.9581
16.125,-120.223,39.19109
10.375,-119.8581,39.24089
20.125,-120.2885,39.4738
14.25,-119.9218,39.5239
79.0,-120.4549,38.57567
68.875,-120.094,38.62627
73.5,-120.5208,38.8577
69.125,-120.1582,38.90858
62.875,-119.795,38.9581
65.25,-120.223,39.19109
68.875,-119.8581,39.24089
67.125,-120.2885,39.4738
69.375,-119.9218,39.5239
94.0,-120.4549,38.57567
78.5,-120.094,38.62627
92.125,-120.5208,38.8577
67.125,-120.1582,38.90858
52.5,-119.795,38.9581
72.375,-120.223,39.19109
53.625,-119.8581,39.24089
74.0,-120.2885,39.4738
63.625,-119.9218,39.5239
53.25,-120.4549,38.57567
51.5,-120.094,38.62627
56.5,-120.5208,38.8577
55.0,-120.1582,38.90858
46.875,-119.795,38.9581
51.875,-120.223,39.19109
43.875,-119.8581,39.24089
48.0,-120.2885,39.4738
41.25,-119.9218,39.5239
29.125,-120.4549,38.57567
28.5,-120.094,38.62627
30.875,-120.5208,38.8577
32.375,-120.1582,38.90858
32.25,-119.795,38.9581
34.0,-120.223,39.19109
33.75,-119.8581,39.24089
36.375,-120.2885,39.4738
38.375,-119.9218,39.5239
22.25,-120.4549,38.57567
17.5,-120.094,38.62627
25.625,-120.5208,38.8577
22.0,-120.1582,38.90858
18.625,-119.795,38.9581
24.375,-120.223,39.19109
21.125,-119.8581,39.24089
26.75,-120.2885,39.4738
24.625,-119.9218,39.5239
78.875,-120.4549,38.57567
64.875,-120.094,38.62627
79.25,-120.5208,38.8577
66.75,-120.1582,38.90858
58.375,-119.795,38.9581
65.875,-120.223,39.19109
59.75,-119.8581,39.24089
61.875,-120.2885,39.4738
57.5,-119.9218,39.5239
92.625,-120.4549,38.57567
80.75,-120.094,38.62627
88.0,-120.5208,38.8577
73.75,-120.1582,38.90858
70.25,-119.795,38.9581
72.875,-120.223,39.19109
65.875,-119.8581,39.24089
70.75,-120.2885,39.4738
62.875,-119.9218,39.5239
88.125,-120.4549,38.57567
82.5,-120.094,38.62627
79.25,-120.5208,38.8577
75.125,-120.1582,38.90858
72.125,-119.795,38.9581
77.625,-120.223,39.19109
74.375,-119.8581,39.24089
85.375,-120.2885,39.4738
81.25,-119.9218,39.5239
40.5,-120.4549,38.57567
53.375,-120.094,38.62627
42.0,-120.5208,38.8577
48.0,-120.1582,38.90858
48.875,-119.795,38.9581
46.125,-120.223,39.19109
40.5,-119.8581,39.24089
41.0,-120.2885,39.4738
32.125,-119.9218,39.5239
62.875,-120.4549,38.57567
64.25,-120.094,38.62627
70.625,-120.5208,38.8577
65.375,-120.1582,38.90858
61.125,-119.795,38.9581
71.125,-120.223,39.19109
67.5,-119.8581,39.24089
75.625,-120.2885,39.4738
74.125,-119.9218,39.5239
25.25,-120.4549,38.57567
41.5,-120.094,38.62627
25.75,-120.5208,38.8577
36.75,-120.1582,38.90858
36.5,-119.795,38.9581
28.625,-120.223,39.19109
29.5,-119.8581,39.24089
20.75,-120.2885,39.4738
