hgt,lon,lat
120.36197,-120.4549,38.57567
114.86197,-120.094,38.62627
119.61197,-120.5208,38.8577
114.98697,-120.1582,38.90858
112.42447,-119.795,38.9581
115.48697,-120.223,39.19109
113.67447,-119.8581,39.24089
114.86197,-120.2885,39.4738
114.54947,-119.9218,39.5239
140.0941,-120.4549,38.57567
126.7816,-120.094,38.62627
137.0941,-120.5208,38.8577
125.0316,-120.1582,38.90858
115.8441,-119.795,38.9581
121.0941,-120.223,39.19109
114.2816,-119.8581,39.24089
116.1566,-120.2885,39.4738
112.2191,-119.9218,39.5239
167.22144,-120.4549,38.57567
152.97144,-120.094,38.62627
160.47144,-120.5208,38.8577
145.34644,-120.1582,38.90858
134.09644,-119.795,38.9581
137.78394,-120.223,39.19109
128.47144,-119.8581,39.24089
129.09644,-120.2885,39.4738
123.03393,-119.9218,39.5239
133.72781,-120.4549,38.57567
125.54031,-120.094,38.62627
132.72781,-120.5208,38.8577
124.97781,-120.1582,38.90858
119.91531,-119.795,38.9581
123.79031,-120.223,39.19109
118.72781,-119.8581,39.24089
121.72781,-120.2885,39.4738
117.79031,-119.9218,39.5239
139.69196,-120.4549,38.57567
140.56696,-120.094,38.62627
140.37946,-120.5208,38.8577
142.00446,-120.1582,38.90858
144.87946,-119.795,38.9581
143.25446,-120.223,39.19109
147.00446,-119.8581,39.24089
145.25446,-120.2885,39.4738
149.37946,-119.9218,39.5239
171.6431,-120.4549,38.57567
173.8931,-120.094,38.62627
171.8306,-120.5208,38.8577
175.0181,-120.1582,38.90858
179.0806,-119.795,38.9581
176.6431,-120.223,39.19109
180.7056,-119.8581,39.24089
178.5806,-120.2885,39.4738
182.5806,-119.9218,39.5239
153.68921,-120.4549,38.57567
148.00171,-120.094,38.62627
152.56421,-120.5208,38.8577
145.87671,-120.1582,38.90858
140.50171,-119.795,38.9581
144.68921,-120.223,39.19109
139.50171,-119.8581,39.24089
142.31421,-120.2885,39.4738
138.31421,-119.9218,39.5239
116.881004,-120.4549,38.57567
109.318504,-120.094,38.62627
114.443504,-120.5208,38.8577
106.318504,-120.1582,38.90858
100.506004,-119.795,38.9581
104.818504,-120.223,39.19109
99.318504,-119.8581,39.24089
102.693504,-120.2885,39.4738
99.318504,-119.9218,39.5239
19.080505,-120.4549,38.57567
11.643005,-120.094,38.62627
16.080505,-120.5208,38.8577
9.705505,-120.1582,38.90858
4.5805054,-119.795,38.9581
7.5180054,-120.223,39.19109
3.6430054,-119.8581,39.24089
5.1430054,-120.2885,39.4738
3.5180054,-119.9218,39.5239
77.85155,-120.4549,38.57567
67.85155,-120.094,38.62627
76.72655,-120.5208,38.8577
66.60155,-120.1582,38.90858
57.476547,-119.795,38.9581
65.22655,-120.223,39.19109
57.851547,-119.8581,39.24089
63.101547,-120.2885,39.4738
57.601547,-119.9218,39.5239
133.26062,-120.4549,38.57567
124.76062,-120.094,38.62627
130.26062,-120.5208,38.8577
121.63562,-120.1582,38.90858
115.26062,-119.795,38.9581
118.13562,-120.223,39.19109
112.38562,-119.8581,39.24089
113.76062,-120.2885,39.4738
109.32312,-119.9218,39.5239
146.74493,-120.4549,38.57567
140.99493,-120.094,38.62627
145.74493,-120.5208,38.8577
140.80743,-120.1582,38.90858
137.43243,-119.795,38.9581
140.11993,-120.223,39.19109
137.49493,-119.8581,39.24089
139.55743,-120.2885,39.4738
137.55743,-119.9218,39.5239
188.80841,-120.4549,38.57567
189.12091,-120.094,38.62627
189.99591,-120.5208,38.8577
190.93341,-120.1582,38.90858
192.99591,-119.795,38.9581
192.43341,-120.223,39.19109
194.74591,-119.8581,39.24089
193.80841,-120.2885,39.4738
196.87091,-119.9218,39.5239
155.53291,-120.4549,38.57567
160.34541,-120.094,38.62627
157.34541,-120.5208,38.8577
163.90791,-120.1582,38.90858
171.53291,-119.795,38.9581
167.40791,-120.223,39.19109
175.65791,-119.8581,39.24089
171.65791,-120.2885,39.4738
179.34541,-119.9218,39.5239
