rhum,lon,lat
56.913677,-120.4549,38.57567
48.882427,-120.094,38.62627
59.07774,-120.5208,38.8577
51.288677,-120.1582,38.90858
26.929306,-119.795,38.9581
62.257427,-120.223,39.19109
30.42149,-119.8581,39.24089
52.116802,-120.2885,39.4738
35.28087,-119.9218,39.5239
89.88525,-120.4549,38.57567
91.11181,-120.094,38.62627
91.58056,-120.5208,38.8577
88.12743,-120.1582,38.90858
71.65087,-119.795,38.9581
92.77587,-120.223,39.19109
73.36181,-119.8581,39.24089
88.79931,-120.2885,39.4738
70.26025,-119.9218,39.5239
92.47186,-120.4549,38.57567
90.6828,-120.094,38.62627
93.823425,-120.5208,38.8577
90.25311,-120.1582,38.90858
77.792175,-119.795,38.9581
93.31561,-120.223,39.19109
79.92499,-119.8581,39.24089
91.27655,-120.2885,39.4738
73.28436,-119.9218,39.5239
96.73106,-120.4549,38.57567
92.05918,-120.094,38.62627
94.68418,-120.5208,38.8577
88.33262,-120.1582,38.90858
86.84824,-119.795,38.9581
87.13731,-120.223,39.19109
83.59043,-119.8581,39.24089
88.44981,-120.2885,39.4738
82.24668,-119.9218,39.5239
75.328125,-120.4549,38.57567
63.5,-120.094,38.62627
69.84375,-120.5208,38.8577
63.90625,-120.1582,38.90858
65.22656,-119.795,38.9581
64.375,-120.223,39.19109
66.10156,-119.8581,39.24089
65.19531,-120.2885,39.4738
56.8125,-119.9218,39.5239
58.648438,-120.4549,38.57567
58.734375,-120.094,38.62627
58.4375,-120.5208,38.8577
61.257812,-120.1582,38.90858
62.625,-119.795,38.9581
59.679688,-120.223,39.19109
63.21875,-119.8581,39.24089
60.109375,-120.2885,39.4738
55.75,-119.9218,39.5239
64.6701,-120.4549,38.57567
54.17791,-120.094,38.62627
68.06072,-120.5208,38.8577
58.83416,-120.1582,38.90858
53.443535,-119.795,38.9581
70.38885,-120.223,39.19109
46.693535,-119.8581,39.24089
62.357597,-120.2885,39.4738
45.873222,-119.9218,39.5239
92.550644,-120.4549,38.57567
92.644394,-120.094,38.62627
94.57408,-120.5208,38.8577
90.769394,-120.1582,38.90858
82.84752,-119.795,38.9581
88.63658,-120.223,39.19109
81.06627,-119.8581,39.24089
90.738144,-120.2885,39.4738
76.175644,-119.9218,39.5239
88.50564,-120.4549,38.57567
91.435326,-120.094,38.62627
87.45876,-120.5208,38.8577
88.32595,-120.1582,38.90858
75.060326,-119.795,38.9581
88.247826,-120.223,39.19109
74.8572,-119.8581,39.24089
88.56814,-120.2885,39.4738
72.64626,-119.9218,39.5239
91.91448,-120.4549,38.57567
92.50823,-120.094,38.62627
87.91448,-120.5208,38.8577
93.02386,-120.1582,38.90858
86.43792,-119.795,38.9581
93.30511,-120.223,39.19109
84.55511,-119.8581,39.24089
92.734795,-120.2885,39.4738
71.87543,-119.9218,39.5239
90.68457,-120.4549,38.57567
85.856445,-120.094,38.62627
89.18457,-120.5208,38.8577
87.99707,-120.1582,38.90858
80.36426,-119.795,38.9581
92.47363,-120.223,39.19109
80.68457,-119.8581,39.24089
89.606445,-120.2885,39.4738
69.86426,-119.9218,39.5239
85.60442,-120.4549,38.57567
86.22942,-120.094,38.62627
83.34661,-120.5208,38.8577
88.799736,-120.1582,38.90858
86.00286,-119.795,38.9581
89.81536,-120.223,39.19109
85.26067,-119.8581,39.24089
88.91692,-120.2885,39.4738
73.31536,-119.9218,39.5239
65.44156,-120.4549,38.57567
62.09781,-120.094,38.62627
60.214996,-120.5208,38.8577
69.715,-120.1582,38.90858
75.03531,-119.795,38.9581
65.425934,-120.223,39.19109
76.80875,-119.8581,39.24089
73.62906,-120.2885,39.4738
61.85562,-119.9218,39.5239
56.008957,-120.4549,38.57567
55.501144,-120.094,38.62627
49.665207,-120.5208,38.8577
59.149582,-120.1582,38.90858
83.07146,-119.795,38.9581
50.618332,-120.223,39.19109
82.02458,-119.8581,39.24089
63.665207,-120.2885,39.4738
61.415207,-119.9218,39.5239
60.979954,-120.4549,38.57567
82.51901,-120.094,38.62627
62.47214,-120.5208,38.8577
83.933075,-120.1582,38.90858
93.70651,-119.795,38.9581
74.03464,-120.223,39.19109
92.09714,-119.8581,39.24089
84.558075,-120.2885,39.4738
86.089325,-119.9218,39.5239
86.21969,-120.4549,38.57567
83.6025,-120.094,38.62627
79.61031,-120.5208,38.8577
84.086876,-120.1582,38.90858
90.43844,-119.795,38.9581
78.59469,-120.223,39.19109
90.56344,-119.8581,39.24089
83.415,-120.2885,39.4738
89.09469,-119.9218,39.5239
70.768196,-120.4549,38.57567
70.09632,-120.094,38.62627
65.47132,-120.5208,38.8577
73.90101,-120.1582,38.90858
88.69788,-119.795,38.9581
67.31507,-120.223,39.19109
85.44788,-119.8581,39.24089
73.611946,-120.2885,39.4738
84.205696,-119.9218,39.5239
68.21788,-120.4549,38.57567
49.022564,-120.094,38.62627
66.452255,-120.5208,38.8577
56.030376,-120.1582,38.90858
59.616314,-119.795,38.9581
62.66319,-120.223,39.19109
61.6085,-119.8581,39.24089
59.171,-120.2885,39.4738
70.952255,-119.9218,39.5239
60.232395,-120.4549,38.57567
29.68552,-120.094,38.62627
57.326145,-120.5208,38.8577
33.09177,-120.1582,38.90858
46.474583,-119.795,38.9581
45.287083,-120.223,39.19109
51.21677,-119.8581,39.24089
35.990208,-120.2885,39.4738
73.833954,-119.9218,39.5239
54.81375,-120.4549,38.57567
38.102818,-120.094,38.62627
57.89969,-120.5208,38.8577
42.74344,-120.1582,38.90858
32.696568,-119.795,38.9581
56.485626,-120.223,39.19109
38.001255,-119.8581,39.24089
51.4075,-120.2885,39.4738
61.477814,-119.9218,39.5239
66.64092,-120.4549,38.57567
46.008106,-120.094,38.62627
59.30498,-120.5208,38.8577
59.77373,-120.1582,38.90858
66.109665,-119.795,38.9581
57.601856,-120.223,39.19109
69.28935,-119.8581,39.24089
68.4378,-120.2885,39.4738
75.75811,-119.9218,39.5239
