tsoil,lon,lat
283.0539,-120.4549,38.57567
275.28827,-120.094,38.62627
282.64764,-120.5208,38.8577
275.79608,-120.1582,38.90858
276.53827,-119.795,38.9581
278.28046,-120.223,39.19109
276.38983,-119.8581,39.24089
275.85858,-120.2885,39.4738
275.9914,-119.9218,39.5239
282.46033,-120.4549,38.57567
276.46814,-120.094,38.62627
281.61658,-120.5208,38.8577
276.21033,-120.1582,38.90858
278.16345,-119.795,38.9581
277.66345,-120.223,39.19109
277.30408,-119.8581,39.24089
276.09314,-120.2885,39.4738
279.0619,-119.9218,39.5239
281.33554,-120.4549,38.57567
274.64023,-120.094,38.62627
280.65585,-120.5208,38.8577
274.51523,-120.1582,38.90858
275.57773,-119.795,38.9581
276.08554,-120.223,39.19109
274.91367,-119.8581,39.24089
274.44492,-120.2885,39.4738
277.6168,-119.9218,39.5239
282.8363,-120.4549,38.57567
274.68787,-120.094,38.62627
282.10193,-120.5208,38.8577
275.23474,-120.1582,38.90858
276.46912,-119.795,38.9581
277.53162,-120.223,39.19109
277.141,-119.8581,39.24089
275.86755,-120.2885,39.4738
279.54724,-119.9218,39.5239
283.64462,-120.4549,38.57567
275.1993,-120.094,38.62627
281.4493,-120.5208,38.8577
276.0118,-120.1582,38.90858
276.8243,-119.795,38.9581
277.6837,-120.223,39.19109
276.8087,-119.8581,39.24089
277.23056,-120.2885,39.4738
277.9493,-119.9218,39.5239
280.19086,-120.4549,38.57567
274.85492,-120.094,38.62627
280.2221,-120.5208,38.8577
276.12836,-120.1582,38.90858
275.85492,-119.795,38.9581
277.39398,-120.223,39.19109
274.70648,-119.8581,39.24089
276.31586,-120.2885,39.4738
276.64398,-119.9218,39.5239
282.96716,-120.4549,38.57567
274.69373,-120.094,38.62627
282.4906,-120.5208,38.8577
275.27185,-120.1582,38.90858
275.4359,-119.795,38.9581
276.70154,-120.223,39.19109
277.1156,-119.8581,39.24089
274.8031,-120.2885,39.4738
278.9828,-119.9218,39.5239
283.32617,-120.4549,38.57567
274.5371,-120.094,38.62627
282.2793,-120.5208,38.8577
274.93555,-120.1582,38.90858
275.70117,-119.795,38.9581
277.18555,-120.223,39.19109
278.30273,-119.8581,39.24089
275.3496,-120.2885,39.4738
279.7793,-119.9218,39.5239
282.04056,-120.4549,38.57567
274.61087,-120.094,38.62627
280.89993,-120.5208,38.8577
274.72025,-120.1582,38.90858
275.5093,-119.795,38.9581
276.6968,-120.223,39.19109
276.82962,-119.8581,39.24089
275.47806,-120.2885,39.4738
277.61087,-119.9218,39.5239
281.24405,-120.4549,38.57567
274.38467,-120.094,38.62627
279.72842,-120.5208,38.8577
274.2753,-120.1582,38.90858
275.705,-119.795,38.9581
