tcdc,lon,lat
54.125,-120.4549,38.57567
41.375,-120.094,38.62627
58.125,-120.5208,38.8577
51.375,-120.1582,38.90858
44.875,-119.795,38.9581
51.625,-120.223,39.19109
43.625,-119.8581,39.24089
52.875,-120.2885,39.4738
45.875,-119.9218,39.5239
93.75,-120.4549,38.57567
74.125,-120.094,38.62627
98.375,-120.5208,38.8577
84.5,-120.1582,38.90858
77.0,-119.795,38.9581
80.5,-120.223,39.19109
77.75,-119.8581,39.24089
74.625,-120.2885,39.4738
78.625,-119.9218,39.5239
97.75,-120.4549,38.57567
81.125,-120.094,38.62627
99.25,-120.5208,38.8577
82.625,-120.1582,38.90858
67.5,-119.795,38.9581
86.5,-120.223,39.19109
71.75,-119.8581,39.24089
86.375,-120.2885,39.4738
69.5,-119.9218,39.5239
87.625,-120.4549,38.57567
58.0,-120.094,38.62627
86.5,-120.5208,38.8577
69.75,-120.1582,38.90858
57.5,-119.795,38.9581
66.75,-120.223,39.19109
54.875,-119.8581,39.24089
60.625,-120.2885,39.4738
51.5,-119.9218,39.5239
31.25,-120.4549,38.57567
29.625,-120.094,38.62627
32.125,-120.5208,38.8577
33.5,-120.1582,38.90858
33.125,-119.795,38.9581
35.0,-120.223,39.19109
34.125,-119.8581,39.24089
37.25,-120.2885,39.4738
39.0,-119.9218,39.5239
29.125,-120.4549,38.57567
26.0,-120.094,38.62627
32.625,-120.5208,38.8577
28.375,-120.1582,38.90858
25.75,-119.795,38.9581
30.875,-120.223,39.19109
28.375,-119.8581,39.24089
32.75,-120.2885,39.4738
31.625,-119.9218,39.5239
85.75,-120.4549,38.57567
79.625,-120.094,38.62627
88.375,-120.5208,38.8577
83.5,-120.1582,38.90858
81.0,-119.795,38.9581
85.375,-120.223,39.19109
84.125,-119.8581,39.24089
82.875,-120.2885,39.4738
78.25,-119.9218,39.5239
97.875,-120.4549,38.57567
88.75,-120.094,38.62627
98.375,-120.5208,38.8577
85.25,-120.1582,38.90858
84.5,-119.795,38.9581
87.25,-120.223,39.19109
87.0,-119.8581,39.24089
86.25,-120.2885,39.4738
82.75,-119.9218,39.5239
92.25,-120.4549,38.57567
85.0,-120.094,38.62627
88.625,-120.5208,38.8577
78.5,-120.1582,38.90858
76.375,-119.795,38.9581
81.125,-120.223,39.19109
79.875,-119.8581,39.24089
85.875,-120.2885,39.4738
81.75,-119.9218,39.5239
84.625,-120.4549,38.57567
65.25,-120.094,38.62627
90.25,-120.5208,38.8577
62.875,-120.1582,38.90858
62.0,-119.795,38.9581
60.0,-120.223,39.19109
62.375,-119.8581,39.24089
54.625,-120.2885,39.4738
55.375,-119.9218,39.5239
82.125,-120.4549,38.57567
71.125,-120.094,38.62627
80.875,-120.5208,38.8577
68.625,-120.1582,38.90858
61.125,-119.795,38.9581
71.125,-120.223,39.19109
67.5,-119.8581,39.24089
75.625,-120.2885,39.4738
74.125,-119.9218,39.5239
45.25,-120.4549,38.57567
48.75,-120.094,38.62627
49.75,-120.5208,38.8577
44.375,-120.1582,38.90858
42.0,-119.795,38.9581
38.875,-120.223,39.19109
39.0,-119.8581,39.24089
28.0,-120.2885,39.4738
43.375,-119.9218,39.5239
33.5,-120.4549,38.57567
30.25,-120.094,38.62627
32.125,-120.5208,38.8577
26.75,-120.1582,38.90858
22.875,-119.795,38.9581
25.75,-120.223,39.19109
24.625,-119.8581,39.24089
23.125,-120.2885,39.4738
34.25,-119.9218,39.5239
91.25,-120.4549,38.57567
88.125,-120.094,38.62627
89.75,-120.5208,38.8577
87.125,-120.1582,38.90858
85.375,-119.795,38.9581
85.875,-120.223,39.19109
84.375,-119.8581,39.24089
84.375,-120.2885,39.4738
82.875,-119.9218,39.5239
98.125,-120.4549,38.57567
83.125,-120.094,38.62627
99.125,-120.5208,38.8577
97.0,-120.1582,38.90858
96.875,-119.795,38.9581
97.75,-120.223,39.19109
99.125,-119.8581,39.24089
96.5,-120.2885,39.4738
96.375,-119.9218,39.5239
41.75,-120.4549,38.57567
32.375,-120.094,38.62627
34.0,-120.5208,38.8577
26.0,-120.1582,38.90858
23.25,-119.795,38.9581
17.25,-120.223,39.19109
16.25,-119.8581,39.24089
13.125,-120.2885,39.4738
15.125,-119.9218,39.5239
15.25,-120.4549,38.57567
12.625,-120.094,38.62627
16.625,-120.5208,38.8577
13.5,-120.1582,38.90858
11.875,-119.795,38.9581
14.75,-120.223,39.19109
13.875,-119.8581,39.24089
16.375,-120.2885,39.4738
16.0,-119.9218,39.5239
17.5,-120.4549,38.57567
12.75,-120.094,38.62627
18.0,-120.5208,38.8577
13.125,-120.1582,38.90858
11.0,-119.795,38.9581
14.25,-120.223,39.19109
11.625,-119.8581,39.24089
15.75,-120.2885,39.4738
13.125,-119.9218,39.5239
57.875,-120.4549,38.57567
47.0,-120.094,38.62627
59.375,-120.5208,38.8577
50.875,-120.1582,38.90858
44.125,-119.795,38.9581
51.375,-120.223,39.19109
45.125,-119.8581,39.24089
51.5,-120.2885,39.4738
46.125,-119.9218,39.5239
59.375,-120.4549,38.57567
58.375,-120.094,38.62627
65.375,-120.5208,38.8577
67.375,-120.1582,38.90858
69.375,-119.795,38.9581
75.125,-120.223,39.19109
