uwnd,lon,lat
-0.5457096,-120.4549,38.57567
0.75702477,-120.094,38.62627
-0.14727211,-120.5208,38.8577
0.7560482,-120.1582,38.90858
2.6886654,-119.795,38.9581
1.1085873,-120.223,39.19109
2.8263607,-119.8581,39.24089
-1.2976627,-120.2885,39.4738
2.821478,-119.9218,39.5239
0.037534714,-120.4549,38.57567
3.4779644,-120.094,38.62627
1.3617535,-120.5208,38.8577
3.4760113,-120.1582,38.90858
6.6625347,-119.795,38.9581
4.8773785,-120.223,39.19109
6.599058,-119.8581,39.24089
2.309019,-120.2885,39.4738
6.592222,-119.9218,39.5239
0.5348015,-120.4549,38.57567
5.4185905,-120.094,38.62627
2.1197624,-120.5208,38.8577
5.4137077,-120.1582,38.90858
9.701794,-119.795,38.9581
8.240856,-120.223,39.19109
10.684216,-119.8581,39.24089
3.9547234,-120.2885,39.4738
10.676403,-119.9218,39.5239
2.5563793,-120.4549,38.57567
3.293684,-120.094,38.62627
2.5095043,-120.5208,38.8577
3.2917309,-120.1582,38.90858
8.021223,-119.795,38.9581
6.0095043,-120.223,39.19109
9.024153,-119.8581,39.24089
3.4733715,-120.2885,39.4738
9.021223,-119.9218,39.5239
0.33044624,-120.4549,38.57567
-1.1148663,-120.094,38.62627
1.2005634,-120.5208,38.8577
-1.1148663,-120.1582,38.90858
-0.68810844,-119.795,38.9581
-1.3463116,-120.223,39.19109
-0.9107647,-119.8581,39.24089
-2.5924053,-120.2885,39.4738
-0.91467094,-119.9218,39.5239
-0.7901039,-120.4549,38.57567
-0.20026016,-120.094,38.62627
-1.1309242,-120.5208,38.8577
-0.20123672,-120.1582,38.90858
-0.33404922,-119.795,38.9581
-0.19342422,-120.223,39.19109
-0.18756485,-119.8581,39.24089
-2.4649086,-120.2885,39.4738
-0.18756485,-119.9218,39.5239
-0.11329651,-120.4549,38.57567
2.833969,-120.094,38.62627
0.06932068,-120.5208,38.8577
2.832016,-120.1582,38.90858
5.1210785,-119.795,38.9581
3.9521332,-120.223,39.19109
5.6484222,-119.8581,39.24089
0.9169769,-120.2885,39.4738
5.6435394,-119.9218,39.5239
0.64289665,-120.4549,38.57567
2.3382092,-120.094,38.62627
1.6262951,-120.5208,38.8577
2.336256,-120.1582,38.90858
6.83235,-119.795,38.9581
4.716139,-120.223,39.19109
7.148756,-119.8581,39.24089
2.0130138,-120.2885,39.4738
7.143873,-119.9218,39.5239
-0.803463,-120.4549,38.57567
2.0676308,-120.094,38.62627
-0.24389267,-120.5208,38.8577
2.0666542,-120.1582,38.90858
4.2648964,-119.795,38.9581
2.968998,-120.223,39.19109
3.7863808,-119.8581,39.24089
0.56763077,-120.2885,39.4738
3.7824745,-119.9218,39.5239
1.9143087,-120.4549,38.57567
3.477785,-120.094,38.62627
1.9006368,-120.5208,38.8577
3.4787617,-120.1582,38.90858
6.4279804,-119.795,38.9581
4.1574726,-120.223,39.19109
5.437746,-119.8581,39.24089
4.0979023,-120.2885,39.4738
5.437746,-119.9218,39.5239
1.7154166,-120.4549,38.57567
3.8130727,-120.094,38.62627
1.8560416,-120.5208,38.8577
3.8130727,-120.1582,38.90858
7.0611196,-119.795,38.9581
5.7134633,-120.223,39.19109
8.035728,-119.8581,39.24089
3.8736196,-120.2885,39.4738
8.032799,-119.9218,39.5239
-0.23294067,-120.4549,38.57567
2.8559265,-120.094,38.62627
0.7133484,-120.5208,38.8577
2.8559265,-120.1582,38.90858
3.5317078,-119.795,38.9581
2.7748718,-120.223,39.19109
3.2426453,-119.8581,39.24089
3.3803406,-120.2885,39.4738
3.2445984,-119.9218,39.5239
-2.0341663,-120.4549,38.57567
-0.023424149,-120.094,38.62627
-2.4423695,-120.5208,38.8577
-0.023424149,-120.1582,38.90858
-0.18260384,-119.795,38.9581
-1.0458851,-120.223,39.19109
-0.62986946,-119.8581,39.24089
-2.2831898,-120.2885,39.4738
-0.630846,-119.9218,39.5239
-2.0382576,-120.4549,38.57567
-2.0558357,-120.094,38.62627
-1.8898201,-120.5208,38.8577
-2.0558357,-120.1582,38.90858
-1.5050545,-119.795,38.9581
-1.8488045,-120.223,39.19109
-1.7677498,-119.8581,39.24089
-3.7511482,-120.2885,39.4738
-1.771656,-119.9218,39.5239
-1.9194164,-120.4549,38.57567
-1.7504711,-120.094,38.62627
-2.500471,-120.5208,38.8577
-1.7504711,-120.1582,38.90858
-1.6410961,-119.795,38.9581
-1.7123852,-120.223,39.19109
-1.982893,-119.8581,39.24089
-2.522932,-120.2885,39.4738
-1.982893,-119.9218,39.5239
-1.1939507,-120.4549,38.57567
-1.8521538,-120.094,38.62627
-1.35606,-120.5208,38.8577
-1.8511772,-120.1582,38.90858
-3.1627007,-119.795,38.9581
-1.6519585,-120.223,39.19109
-2.9537163,-119.8581,39.24089
-2.8267632,-120.2885,39.4738
-2.9537163,-119.9218,39.5239
-0.53889656,-120.4549,38.57567
0.4073925,-120.094,38.62627
-0.9773731,-120.5208,38.8577
0.40641594,-120.1582,38.90858
0.43473625,-119.795,38.9581
0.3556347,-120.223,39.19109
0.58805656,-119.8581,39.24089
-2.0340137,-120.2885,39.4738
0.58610344,-119.9218,39.5239
-1.4571453,-120.4549,38.57567
2.1707845,-120.094,38.62627
-1.6026531,-120.5208,38.8577
2.1707845,-120.1582,38.90858
2.421761,-119.795,38.9581
2.0184407,-120.223,39.19109
2.343636,-119.8581,39.24089
0.10144842,-120.2885,39.4738
2.341683,-119.9218,39.5239
-1.4201088,-120.4549,38.57567
0.9519615,-120.094,38.62627
-1.4376869,-120.5208,38.8577
0.95098495,-120.1582,38.90858
1.1736412,-119.795,38.9581
0.76153183,-120.223,39.19109
1.3308678,-119.8581,39.24089
-2.3204994,-120.2885,39.4738
1.3289146,-119.9218,39.5239
-0.99845695,-120.4549,38.57567
1.5142384,-120.094,38.62627
-1.170332,-120.5208,38.8577
1.5142384,-120.1582,38.90858
3.6724415,-119.795,38.9581
1.7720509,-120.223,39.19109
3.6158009,-119.8581,39.24089
-0.7269726,-120.2885,39.4738
3.6138477,-119.9218,39.5239
-0.08006668,-120.4549,38.57567
-0.58592606,-120.094,38.62627
-0.57030106,-120.5208,38.8577
-0.5849495,-120.1582,38.90858
-2.125965,-119.795,38.9581
-0.23729324,-120.223,39.19109
-1.6005745,-119.8581,39.24089
-1.8945198,-120.2885,39.4738
-1.601551,-119.9218,39.5239
-0.3565402,-120.4549,38.57567
2.5584989,-120.094,38.62627
-0.81357145,-120.5208,38.8577
2.5584989,-120.1582,38.90858
2.4481473,-119.795,38.9581
3.1483426,-120.223,39.19109
3.5399442,-119.8581,39.24089
2.2518582,-120.2885,39.4738
3.5409207,-119.9218,39.5239
-0.82767296,-120.4549,38.57567
0.8217411,-120.094,38.62627
-1.7544308,-120.5208,38.8577
0.819788,-120.1582,38.90858
0.04732704,-119.795,38.9581
0.43013954,-120.223,39.19109
-0.13236046,-119.8581,39.24089
-2.443884,-120.2885,39.4738
-0.13333702,-119.9218,39.5239
-1.2486496,-120.4549,38.57567
1.4320145,-120.094,38.62627
-0.4595871,-120.5208,38.8577
1.4310379,-120.1582,38.90858
3.47303,-119.795,38.9581
1.7845535,-120.223,39.19109
3.94178,-119.8581,39.24089
-1.7310715,-120.2885,39.4738
3.9359207,-119.9218,39.5239
-0.95508575,-120.4549,38.57567
1.8818283,-120.094,38.62627
-0.521492,-120.5208,38.8577
1.8788986,-120.1582,38.90858
5.329094,-119.795,38.9581
3.5751877,-120.223,39.19109
6.2724533,-119.8581,39.24089
0.5537033,-120.2885,39.4738
6.266594,-119.9218,39.5239
-0.64410186,-120.4549,38.57567
0.58734345,-120.094,38.62627
-0.104062796,-120.5208,38.8577
0.5863669,-120.1582,38.90858
3.8637106,-119.795,38.9581
1.3031638,-120.223,39.19109
4.722109,-119.8581,39.24089
-1.59918,-120.2885,39.4738
4.717226,-119.9218,39.5239
-0.30272198,-120.4549,38.57567
2.2050905,-120.094,38.62627
0.6201296,-120.5208,38.8577
2.2021608,-120.1582,38.90858
5.3838015,-119.795,38.9581
3.8652468,-120.223,39.19109
5.846692,-119.8581,39.24089
1.5996218,-120.2885,39.4738
5.839856,-119.9218,39.5239
-1.3189945,-120.4549,38.57567
2.5403805,-120.094,38.62627
-1.1646976,-120.5208,38.8577
2.5384274,-120.1582,38.90858
4.8196774,-119.795,38.9581
3.5960445,-120.223,39.19109
5.610693,-119.8581,39.24089
1.9270992,-120.2885,39.4738
5.60874,-119.9218,39.5239
-1.7647934,-120.4549,38.57567
2.357277,-120.094,38.62627
-2.2013168,-120.5208,38.8577
2.3543472,-120.1582,38.90858
3.0564957,-119.795,38.9581
2.4627457,-120.223,39.19109
4.3152847,-119.8581,39.24089
1.3943863,-120.2885,39.4738
4.314308,-119.9218,39.5239
-0.5263901,-120.4549,38.57567
1.3310318,-120.094,38.62627
-0.3359604,-120.5208,38.8577
1.3290787,-120.1582,38.90858
2.5702896,-119.795,38.9581
1.3281021,-120.223,39.19109
3.1532974,-119.8581,39.24089
-1.5537338,-120.2885,39.4738
3.1484146,-119.9218,39.5239
-1.3208542,-120.4549,38.57567
2.4027786,-120.094,38.62627
-0.7339401,-120.5208,38.8577
2.4027786,-120.1582,38.90858
6.1303177,-119.795,38.9581
3.2621536,-120.223,39.19109
6.41938,-119.8581,39.24089
1.3295364,-120.2885,39.4738
6.4164505,-119.9218,39.5239
-1.3702456,-120.4549,38.57567
1.3436216,-120.094,38.62627
-1.7257143,-120.5208,38.8577
1.3436216,-120.1582,38.90858
-0.20911276,-119.795,38.9581
1.1990904,-120.223,39.19109
0.458856,-119.8581,39.24089
-0.2628237,-120.2885,39.4738
0.45690286,-119.9218,39.5239
-0.69534683,-120.4549,38.57567
2.5536766,-120.094,38.62627
-0.7041359,-120.5208,38.8577
2.5527,-120.1582,38.90858
4.872036,-119.795,38.9581
2.9638329,-120.223,39.19109
5.122036,-119.8581,39.24089
0.48922348,-120.2885,39.4738
5.1210594,-119.9218,39.5239
-0.2701645,-120.4549,38.57567
2.4046402,-120.094,38.62627
-0.11684418,-120.5208,38.8577
2.4017105,-120.1582,38.90858
6.0198746,-119.795,38.9581
2.6468277,-120.223,39.19109
6.081398,-119.8581,39.24089
0.6370621,-120.2885,39.4738
6.079445,-119.9218,39.5239
1.6731782,-120.4549,38.57567
3.6145844,-120.094,38.62627
2.2483735,-120.5208,38.8577
3.6145844,-120.1582,38.90858
3.5432954,-119.795,38.9581
5.151694,-120.223,39.19109
4.256186,-119.8581,39.24089
4.2210298,-120.2885,39.4738
4.256186,-119.9218,39.5239
0.38019884,-120.4549,38.57567
1.1809801,-120.094,38.62627
-0.12956679,-120.5208,38.8577
1.1809801,-120.1582,38.90858
-2.3395276,-119.795,38.9581
1.4876207,-120.223,39.19109
-1.7799573,-119.8581,39.24089
1.7766832,-120.2885,39.4738
-1.7789807,-119.9218,39.5239
0.70877075,-120.4549,38.57567
1.9499817,-120.094,38.62627
0.3425598,-120.5208,38.8577
1.9499817,-120.1582,38.90858
-0.53048706,-119.795,38.9581
1.7058411,-120.223,39.19109
-0.27267456,-119.8581,39.24089
2.1618958,-120.2885,39.4738
-0.27072144,-119.9218,39.5239
-0.57993126,-120.4549,38.57567
-1.6590328,-120.094,38.62627
-1.3133297,-120.5208,38.8577
-1.6580563,-120.1582,38.90858
-8.2479,-119.795,38.9581
-1.4832516,-120.223,39.19109
-6.301611,-119.8581,39.24089
0.5274906,-120.2885,39.4738
-6.2986813,-119.9218,39.5239
-0.38500977,-120.4549,38.57567
1.6638184,-120.094,38.62627
-1.2512207,-120.5208,38.8577
1.6628418,-120.1582,38.90858
-4.5021973,-119.795,38.9581
1.4187012,-120.223,39.19109
-4.295166,-119.8581,39.24089
-0.13598633,-120.2885,39.4738
-4.2941895,-119.9218,39.5239
0.9299482,-120.4549,38.57567
3.5861983,-120.094,38.62627
1.5852216,-120.5208,38.8577
3.5832686,-120.1582,38.90858
2.644792,-119.795,38.9581
