vstm,lon,lat
9.327729,-120.4549,38.57567
8.465229,-120.094,38.62627
9.440229,-120.5208,38.8577
8.477729,-120.1582,38.90858
8.115229,-119.795,38.9581
9.290228,-120.223,39.19109
8.565228,-119.8581,39.24089
9.527728,-120.2885,39.4738
8.565228,-119.9218,39.5239
7.007217,-120.4549,38.57567
7.457217,-120.094,38.62627
7.782218,-120.5208,38.8577
7.4822187,-120.1582,38.90858
6.582218,-119.795,38.9581
7.344717,-120.223,39.19109
7.5072184,-119.8581,39.24089
8.257218,-120.2885,39.4738
7.5072184,-119.9218,39.5239
-6.0949855,-120.4549,38.57567
-4.907486,-120.094,38.62627
-4.532485,-120.5208,38.8577
-4.894985,-120.1582,38.90858
-7.082485,-119.795,38.9581
-5.082485,-120.223,39.19109
-5.457485,-119.8581,39.24089
-3.8324852,-120.2885,39.4738
-5.457485,-119.9218,39.5239
-9.023642,-120.4549,38.57567
-9.411141,-120.094,38.62627
-8.936142,-120.5208,38.8577
-9.411141,-120.1582,38.90858
-10.473641,-119.795,38.9581
-9.748642,-120.223,39.19109
-10.186142,-119.8581,39.24089
-9.986141,-120.2885,39.4738
-10.186142,-119.9218,39.5239
-11.536728,-120.4549,38.57567
-10.774227,-120.094,38.62627
-11.111728,-120.5208,38.8577
-10.761728,-120.1582,38.90858
-10.274227,-119.795,38.9581
-10.599228,-120.223,39.19109
-10.199227,-119.8581,39.24089
-10.561728,-120.2885,39.4738
-10.199227,-119.9218,39.5239
-9.179263,-120.4549,38.57567
-8.579264,-120.094,38.62627
-9.016764,-120.5208,38.8577
-8.591763,-120.1582,38.90858
-8.191764,-119.795,38.9581
-8.666763,-120.223,39.19109
-8.1542635,-119.8581,39.24089
-8.666763,-120.2885,39.4738
-8.1542635,-119.9218,39.5239
-3.193512,-120.4549,38.57567
-3.181012,-120.094,38.62627
-2.3435123,-120.5208,38.8577
-3.1685119,-120.1582,38.90858
-4.568512,-119.795,38.9581
-2.856012,-120.223,39.19109
-3.343512,-119.8581,39.24089
-2.081012,-120.2885,39.4738
-3.3310122,-119.9218,39.5239
0.90089726,-120.4549,38.57567
0.90089726,-120.094,38.62627
1.2258971,-120.5208,38.8577
0.90089726,-120.1582,38.90858
-0.21160293,-119.795,38.9581
0.56339717,-120.223,39.19109
-0.21160293,-119.8581,39.24089
0.22589707,-120.2885,39.4738
-0.17410278,-119.9218,39.5239
7.505269,-120.4549,38.57567
6.6677694,-120.094,38.62627
7.1552696,-120.5208,38.8577
6.68027,-120.1582,38.90858
5.692769,-119.795,38.9581
6.1552687,-120.223,39.19109
5.005268,-119.8581,39.24089
6.205269,-120.2885,39.4738
5.005268,-119.9218,39.5239
-11.253254,-120.4549,38.57567
-10.165753,-120.094,38.62627
-9.653254,-120.5208,38.8577
-10.153253,-120.1582,38.90858
-11.065753,-119.795,38.9581
-10.590753,-120.223,39.19109
-11.553253,-119.8581,39.24089
