wcuflx,lon,lat
27830.926,-120.4549,38.57567
20070.926,-120.094,38.62627
30413.426,-120.5208,38.8577
21005.926,-120.1582,38.90858
13713.426,-119.795,38.9581
22290.926,-120.223,39.19109
13943.426,-119.8581,39.24089
22310.926,-120.2885,39.4738
14510.926,-119.9218,39.5239
74449.64,-120.4549,38.57567
87519.65,-120.094,38.62627
80859.65,-120.5208,38.8577
81967.15,-120.1582,38.90858
78169.65,-119.795,38.9581
82459.65,-120.223,39.19109
72824.64,-119.8581,39.24089
83762.15,-120.2885,39.4738
70077.14,-119.9218,39.5239
167736.53,-120.4549,38.57567
151099.03,-120.094,38.62627
189661.53,-120.5208,38.8577
164464.03,-120.1582,38.90858
124906.52,-119.795,38.9581
178416.53,-120.223,39.19109
137604.03,-119.8581,39.24089
179584.03,-120.2885,39.4738
142316.53,-119.9218,39.5239
97295.516,-120.4549,38.57567
87355.5,-120.094,38.62627
110050.516,-120.5208,38.8577
104210.516,-120.1582,38.90858
82518.0,-119.795,38.9581
110725.516,-120.223,39.19109
86805.5,-119.8581,39.24089
106865.516,-120.2885,39.4738
79435.5,-119.9218,39.5239
18098.617,-120.4549,38.57567
14651.117,-120.094,38.62627
16993.617,-120.5208,38.8577
15698.617,-120.1582,38.90858
15047.367,-119.795,38.9581
16796.117,-120.223,39.19109
15617.367,-119.8581,39.24089
17746.117,-120.2885,39.4738
17284.867,-119.9218,39.5239
11562.109,-120.4549,38.57567
9262.109,-120.094,38.62627
13482.109,-120.5208,38.8577
10849.609,-120.1582,38.90858
9327.109,-119.795,38.9581
12109.609,-120.223,39.19109
10524.609,-119.8581,39.24089
13414.609,-120.2885,39.4738
12249.609,-119.9218,39.5239
82034.34,-120.4549,38.57567
71194.34,-120.094,38.62627
87404.34,-120.5208,38.8577
75906.84,-120.1582,38.90858
64676.84,-119.795,38.9581
77659.34,-120.223,39.19109
66829.34,-119.8581,39.24089
77904.34,-120.2885,39.4738
68474.34,-119.9218,39.5239
110638.04,-120.4549,38.57567
115938.04,-120.094,38.62627
107675.54,-120.5208,38.8577
115175.54,-120.1582,38.90858
106150.54,-119.795,38.9581
115150.54,-120.223,39.19109
105450.54,-119.8581,39.24089
113213.04,-120.2885,39.4738
100325.54,-119.9218,39.5239
89696.984,-120.4549,38.57567
94084.484,-120.094,38.62627
78946.99,-120.5208,38.8577
80159.49,-120.1582,38.90858
69121.984,-119.795,38.9581
67634.484,-120.223,39.19109
60446.99,-119.8581,39.24089
63659.49,-120.2885,39.4738
55859.49,-119.9218,39.5239
52705.71,-120.4549,38.57567
60693.21,-120.094,38.62627
53205.71,-120.5208,38.8577
57275.71,-120.1582,38.90858
52795.71,-119.795,38.9581
49160.71,-120.223,39.19109
42485.715,-119.8581,39.24089
38480.715,-120.2885,39.4738
33913.21,-119.9218,39.5239
69800.78,-120.4549,38.57567
64337.027,-120.094,38.62627
71684.53,-120.5208,38.8577
65922.03,-120.1582,38.90858
54054.527,-119.795,38.9581
65687.03,-120.223,39.19109
55018.277,-119.8581,39.24089
62657.027,-120.2885,39.4738
54005.777,-119.9218,39.5239
26671.34,-120.4549,38.57567
36631.34,-120.094,38.62627
27878.84,-120.5208,38.8577
35513.84,-120.1582,38.90858
34446.34,-119.795,38.9581
30793.84,-120.223,39.19109
30651.34,-119.8581,39.24089
26716.34,-120.2885,39.4738
26486.34,-119.9218,39.5239
39773.492,-120.4549,38.57567
40655.992,-120.094,38.62627
40408.492,-120.5208,38.8577
40273.492,-120.1582,38.90858
36143.492,-119.795,38.9581
36023.492,-120.223,39.19109
30540.992,-119.8581,39.24089
32110.992,-120.2885,39.4738
27638.492,-119.9218,39.5239
43230.11,-120.4549,38.57567
42307.61,-120.094,38.62627
41777.61,-120.5208,38.8577
41665.11,-120.1582,38.90858
41460.11,-119.795,38.9581
40435.11,-120.223,39.19109
40605.11,-119.8581,39.24089
39182.61,-120.2885,39.4738
39232.61,-119.9218,39.5239
19093.965,-120.4549,38.57567
22403.965,-120.094,38.62627
17231.465,-120.5208,38.8577
21466.465,-120.1582,38.90858
24188.965,-119.795,38.9581
18816.465,-120.223,39.19109
22913.965,-119.8581,39.24089
15291.465,-120.2885,39.4738
18276.465,-119.9218,39.5239
2210.6797,-120.4549,38.57567
5060.6797,-120.094,38.62627
2300.6797,-120.5208,38.8577
4108.1797,-120.1582,38.90858
4130.6797,-119.795,38.9581
2175.6797,-120.223,39.19109
2460.6797,-119.8581,39.24089
670.6797,-120.2885,39.4738
898.1797,-119.9218,39.5239
5221.8926,-120.4549,38.57567
5144.3926,-120.094,38.62627
5896.8926,-120.5208,38.8577
5539.3926,-120.1582,38.90858
4509.3926,-119.795,38.9581
5466.8926,-120.223,39.19109
4411.8926,-119.8581,39.24089
5521.8926,-120.2885,39.4738
5431.8926,-119.9218,39.5239
7483.8945,-120.4549,38.57567
7828.8945,-120.094,38.62627
7603.8945,-120.5208,38.8577
8868.895,-120.1582,38.90858
9488.895,-119.795,38.9581
9343.895,-120.223,39.19109
10206.395,-119.8581,39.24089
10153.895,-120.2885,39.4738
10508.895,-119.9218,39.5239
24191.137,-120.4549,38.57567
22983.637,-120.094,38.62627
23093.637,-120.5208,38.8577
22006.137,-120.1582,38.90858
20051.137,-119.795,38.9581
20823.637,-120.223,39.19109
19281.137,-119.8581,39.24089
20318.637,-120.2885,39.4738
18876.137,-119.9218,39.5239
15243.805,-120.4549,38.57567
14743.805,-120.094,38.62627
15643.805,-120.5208,38.8577
13956.305,-120.1582,38.90858
13543.805,-119.795,38.9581
13718.805,-120.223,39.19109
12193.805,-119.8581,39.24089
13581.305,-120.2885,39.4738
12531.305,-119.9218,39.5239
410.09375,-120.4549,38.57567
160.09375,-120.094,38.62627
1047.5938,-120.5208,38.8577
572.59375,-120.1582,38.90858
372.59375,-119.795,38.9581
1285.0938,-120.223,39.19109
1060.0938,-119.8581,39.24089
2385.0938,-120.2885,39.4738
2085.0938,-119.9218,39.5239
18833.95,-120.4549,38.57567
17646.45,-120.094,38.62627
21046.45,-120.5208,38.8577
19033.95,-120.1582,38.90858
16083.949,-119.795,38.9581
21321.45,-120.223,39.19109
18446.45,-119.8581,39.24089
24658.95,-120.2885,39.4738
20796.45,-119.9218,39.5239
25099.863,-120.4549,38.57567
23587.363,-120.094,38.62627
28749.863,-120.5208,38.8577
26224.863,-120.1582,38.90858
24012.363,-119.795,38.9581
28387.363,-120.223,39.19109
26237.363,-119.8581,39.24089
30287.363,-120.2885,39.4738
29624.863,-119.9218,39.5239
29128.83,-120.4549,38.57567
20703.83,-120.094,38.62627
29403.83,-120.5208,38.8577
20778.83,-120.1582,38.90858
11116.33,-119.795,38.9581
20741.33,-120.223,39.19109
10978.83,-119.8581,39.24089
19278.83,-120.2885,39.4738
12403.83,-119.9218,39.5239
15957.605,-120.4549,38.57567
10720.105,-120.094,38.62627
24532.605,-120.5208,38.8577
15532.605,-120.1582,38.90858
8907.605,-119.795,38.9581
22770.105,-120.223,39.19109
11195.105,-119.8581,39.24089
32770.105,-120.2885,39.4738
17282.605,-119.9218,39.5239
18280.791,-120.4549,38.57567
12178.291,-120.094,38.62627
21350.791,-120.5208,38.8577
13635.791,-120.1582,38.90858
6688.291,-119.795,38.9581
16425.791,-120.223,39.19109
