wvvflx,lon,lat
1490139.6,-120.4549,38.57567
1035764.6,-120.094,38.62627
1487264.6,-120.5208,38.8577
1102264.6,-120.1582,38.90858
900764.6,-119.795,38.9581
1163264.6,-120.223,39.19109
961389.6,-119.8581,39.24089
1213264.6,-120.2885,39.4738
1031264.6,-119.9218,39.5239
1025712.6,-120.4549,38.57567
824562.6,-120.094,38.62627
1039987.6,-120.5208,38.8577
864562.6,-120.1582,38.90858
777762.6,-119.795,38.9581
903737.6,-120.223,39.19109
827462.6,-119.8581,39.24089
939637.6,-120.2885,39.4738
869837.6,-119.9218,39.5239
462067.88,-120.4549,38.57567
274442.88,-120.094,38.62627
592692.9,-120.5208,38.8577
354317.88,-120.1582,38.90858
219817.88,-119.795,38.9581
439692.88,-120.223,39.19109
273817.88,-119.8581,39.24089
499567.88,-120.2885,39.4738
321942.88,-119.9218,39.5239
-423797.6,-120.4549,38.57567
-424172.6,-120.094,38.62627
-356047.6,-120.5208,38.8577
-432297.6,-120.1582,38.90858
-502672.6,-119.795,38.9581
-450922.6,-120.223,39.19109
-536297.6,-119.8581,39.24089
-482672.6,-120.2885,39.4738
-573297.6,-119.9218,39.5239
-455215.62,-120.4549,38.57567
-321090.62,-120.094,38.62627
-431340.62,-120.5208,38.8577
-333215.62,-120.1582,38.90858
-279590.62,-119.795,38.9581
-340840.62,-120.223,39.19109
-280840.62,-119.8581,39.24089
-340715.62,-120.2885,39.4738
-278215.62,-119.9218,39.5239
-252120.66,-120.4549,38.57567
-251995.66,-120.094,38.62627
-252995.66,-120.5208,38.8577
-242120.66,-120.1582,38.90858
-219370.66,-119.795,38.9581
-236995.66,-120.223,39.19109
-209620.66,-119.8581,39.24089
-232370.66,-120.2885,39.4738
-191995.66,-119.9218,39.5239
638743.75,-120.4549,38.57567
421993.72,-120.094,38.62627
740368.7,-120.5208,38.8577
523368.72,-120.1582,38.90858
390118.72,-119.795,38.9581
624743.75,-120.223,39.19109
482493.72,-119.8581,39.24089
