wvuflx,lon,lat
428216.25,-120.4549,38.57567
448716.25,-120.094,38.62627
495716.25,-120.5208,38.8577
486341.25,-120.1582,38.90858
441716.25,-119.795,38.9581
502591.25,-120.223,39.19109
460091.25,-119.8581,39.24089
510716.25,-120.2885,39.4738
458091.25,-119.9218,39.5239
926916.06,-120.4549,38.57567
932291.06,-120.094,38.62627
1012291.06,-120.5208,38.8577
1027666.06,-120.1582,38.90858
1026541.06,-119.795,38.9581
1056041.0,-120.223,39.19109
1066041.0,-119.8581,39.24089
1078041.0,-120.2885,39.4738
1071541.0,-119.9218,39.5239
2098021.5,-120.4549,38.57567
1973271.5,-120.094,38.62627
2278146.5,-120.5208,38.8577
2217521.5,-120.1582,38.90858
2229396.5,-119.795,38.9581
2382021.5,-120.223,39.19109
2388771.5,-119.8581,39.24089
2506146.5,-120.2885,39.4738
2519021.5,-119.9218,39.5239
1446529.8,-120.4549,38.57567
1390279.8,-120.094,38.62627
1549029.8,-120.5208,38.8577
1579154.8,-120.1582,38.90858
1654154.8,-119.795,38.9581
1659904.8,-120.223,39.19109
1732154.8,-119.8581,39.24089
1697904.8,-120.2885,39.4738
1777279.8,-119.9218,39.5239
439094.7,-120.4549,38.57567
407469.7,-120.094,38.62627
428469.7,-120.5208,38.8577
404219.7,-120.1582,38.90858
388219.7,-119.795,38.9581
390219.7,-120.223,39.19109
369469.7,-119.8581,39.24089
367219.7,-120.2885,39.4738
332469.7,-119.9218,39.5239
288838.44,-120.4549,38.57567
273963.44,-120.094,38.62627
318713.44,-120.5208,38.8577
298338.44,-120.1582,38.90858
273838.44,-119.795,38.9581
323963.44,-120.223,39.19109
298338.44,-119.8581,39.24089
355588.44,-120.2885,39.4738
313088.44,-119.9218,39.5239
1644201.8,-120.4549,38.57567
1566326.8,-120.094,38.62627
1776451.8,-120.5208,38.8577
1717826.8,-120.1582,38.90858
1656451.8,-119.795,38.9581
1823326.8,-120.223,39.19109
1773951.8,-119.8581,39.24089
1915451.8,-120.2885,39.4738
1853326.8,-119.9218,39.5239
1827490.2,-120.4549,38.57567
1801365.2,-120.094,38.62627
1821240.2,-120.5208,38.8577
1840365.2,-120.1582,38.90858
1869740.2,-119.795,38.9581
1789990.2,-120.223,39.19109
1841990.2,-119.8581,39.24089
1700240.2,-120.2885,39.4738
1747615.2,-119.9218,39.5239
747628.9,-120.4549,38.57567
789128.9,-120.094,38.62627
721753.9,-120.5208,38.8577
770378.9,-120.1582,38.90858
768503.9,-119.795,38.9581
705503.9,-120.223,39.19109
