air,lon,lat
282.84976,-120.4549,38.57567
273.39664,-120.094,38.62627
281.60757,-120.5208,38.8577
274.15445,-120.1582,38.90858
274.70914,-119.795,38.9581
275.73257,-120.223,39.19109
273.95132,-119.8581,39.24089
272.9904,-120.2885,39.4738
275.131,-119.9218,39.5239
276.8833,-120.4549,38.57567
265.04736,-120.094,38.62627
274.7505,-120.5208,38.8577
265.8208,-120.1582,38.90858
267.15674,-119.795,38.9581
268.1255,-120.223,39.19109
266.48486,-119.8581,39.24089
265.53955,-120.2885,39.4738
269.93018,-119.9218,39.5239
276.06006,-120.4549,38.57567
266.54443,-120.094,38.62627
274.88037,-120.5208,38.8577
267.68506,-120.1582,38.90858
269.16162,-119.795,38.9581
269.41943,-120.223,39.19109
269.54443,-119.8581,39.24089
267.48193,-120.2885,39.4738
271.34912,-119.9218,39.5239
274.51685,-120.4549,38.57567
263.18872,-120.094,38.62627
273.27466,-120.5208,38.8577
264.9231,-120.1582,38.90858
266.7356,-119.795,38.9581
266.90747,-120.223,39.19109
266.79028,-119.8581,39.24089
264.57935,-120.2885,39.4738
269.39185,-119.9218,39.5239
274.36737,-120.4549,38.57567
263.92987,-120.094,38.62627
272.71893,-120.5208,38.8577
265.16425,-120.1582,38.90858
266.66425,-119.795,38.9581
267.06268,-120.223,39.19109
266.3205,-119.8581,39.24089
264.43768,-120.2885,39.4738
268.46112,-119.9218,39.5239
274.9836,-120.4549,38.57567
262.9836,-120.094,38.62627
273.81174,-120.5208,38.8577
263.8586,-120.1582,38.90858
263.44455,-119.795,38.9581
266.69455,-120.223,39.19109
263.7336,-119.8581,39.24089
263.31955,-120.2885,39.4738
266.4133,-119.9218,39.5239
278.6618,-120.4549,38.57567
273.26337,-120.094,38.62627
278.6618,-120.5208,38.8577
273.5993,-120.1582,38.90858
270.10712,-119.795,38.9581
274.8415,-120.223,39.19109
271.27118,-119.8581,39.24089
273.51337,-120.2885,39.4738
270.8493,-119.9218,39.5239
280.65503,-120.4549,38.57567
274.7566,-120.094,38.62627
281.43628,-120.5208,38.8577
