omega,lon,lat
-0.059367992,-120.4549,38.57567
-0.16630158,-120.094,38.62627
-0.030559398,-120.5208,38.8577
-0.07694612,-120.1582,38.90858
0.014362477,-119.795,38.9581
-0.05106721,-120.223,39.19109
0.016315602,-119.8581,39.24089
-0.09696565,-120.2885,39.4738
-0.03934846,-119.9218,39.5239
-0.1326541,-120.4549,38.57567
-0.11849394,-120.094,38.62627
-0.13216582,-120.5208,38.8577
-0.10726347,-120.1582,38.90858
-0.10140409,-119.795,38.9581
-0.10775175,-120.223,39.19109
-0.09700956,-119.8581,39.24089
-0.13216582,-120.2885,39.4738
-0.11556425,-119.9218,39.5239
-0.084779926,-120.4549,38.57567
-0.049623676,-120.094,38.62627
-0.09112758,-120.5208,38.8577
-0.007631488,-120.1582,38.90858
0.1744974,-119.795,38.9581
-0.013979144,-120.223,39.19109
0.16619664,-119.8581,39.24089
0.10516148,-120.2885,39.4738
0.1925638,-119.9218,39.5239
-0.09868738,-120.4549,38.57567
-0.037163943,-120.094,38.62627
-0.072808474,-120.5208,38.8577
-0.09575769,-120.1582,38.90858
-0.081109256,-119.795,38.9581
-0.10259363,-120.223,39.19109
-0.06401941,-119.8581,39.24089
-0.061578006,-120.2885,39.4738
-0.10161707,-119.9218,39.5239
0.023653395,-120.4549,38.57567
-0.01785051,-120.094,38.62627
0.009493239,-120.5208,38.8577
0.0099815205,-120.1582,38.90858
0.0417198,-119.795,38.9581
0.018282302,-120.223,39.19109
0.043672927,-119.8581,39.24089
0.023165114,-120.2885,39.4738
0.026094802,-119.9218,39.5239
0.018223181,-120.4549,38.57567
0.039707556,-120.094,38.62627
0.014316931,-120.5208,38.8577
0.059238806,-120.1582,38.90858
0.066563025,-119.795,38.9581
0.022129431,-120.223,39.19109
0.07925834,-119.8581,39.24089
0.04556693,-120.2885,39.4738
0.057773963,-119.9218,39.5239
-0.011660248,-120.4549,38.57567
0.03472647,-120.094,38.62627
0.009335846,-120.5208,38.8577
0.031796783,-120.1582,38.90858
-0.008730561,-119.795,38.9581
-0.03265634,-120.223,39.19109
-0.001894623,-119.8581,39.24089
0.058652252,-120.2885,39.4738
-0.037050873,-119.9218,39.5239
0.03170851,-120.4549,38.57567
0.0136421025,-120.094,38.62627
0.005341321,-120.5208,38.8577
0.029755384,-120.1582,38.90858
0.01266554,-119.795,38.9581
0.018524915,-120.223,39.19109
0.069306165,-119.8581,39.24089
0.065888196,-120.2885,39.4738
0.058075696,-119.9218,39.5239
-0.011045486,-120.4549,38.57567
0.052919358,-120.094,38.62627
-0.02471736,-120.5208,38.8577
-0.0046978295,-120.1582,38.90858
-0.019834548,-119.795,38.9581
-0.036924392,-120.223,39.19109
-0.057920486,-119.8581,39.24089
-0.02081111,-120.2885,39.4738
-0.025693923,-119.9218,39.5239
0.010145932,-120.4549,38.57567
0.0448139,-120.094,38.62627
0.010145932,-120.5208,38.8577
0.016005307,-120.1582,38.90858
-0.00254938,-119.795,38.9581
-0.007920474,-120.223,39.19109
0.010634214,-119.8581,39.24089
0.0013568699,-120.2885,39.4738
-0.00059625506,-119.9218,39.5239
0.058352478,-120.4549,38.57567
0.01977826,-120.094,38.62627
-0.011960022,-120.5208,38.8577
0.07153607,-120.1582,38.90858
0.07446576,-119.795,38.9581
0.027102478,-120.223,39.19109
0.096438415,-119.8581,39.24089
0.045657165,-120.2885,39.4738
0.022707947,-119.9218,39.5239
-0.064590275,-120.4549,38.57567
0.032089412,-120.094,38.62627
-0.053848088,-120.5208,38.8577
-0.003555119,-120.1582,38.90858
-0.008926213,-119.795,38.9581
-0.053359807,-120.223,39.19109
-0.025039494,-119.8581,39.24089
-0.0059965253,-120.2885,39.4738
-0.025527775,-119.9218,39.5239
-0.016092695,-120.4549,38.57567
-0.054178633,-120.094,38.62627
-0.06443254,-120.5208,38.8577
0.08351668,-120.1582,38.90858
0.0752159,-119.795,38.9581
0.026876055,-120.223,39.19109
0.0517784,-119.8581,39.24089
0.06691512,-120.2885,39.4738
0.113301836,-119.9218,39.5239
-0.092203125,-120.4549,38.57567
-0.0033359379,-120.094,38.62627
-0.1732578,-120.5208,38.8577
-0.0018710941,-120.1582,38.90858
0.1602383,-119.795,38.9581
-0.045328125,-120.223,39.19109
0.087484375,-119.8581,39.24089
0.045492187,-120.2885,39.4738
0.0269375,-119.9218,39.5239
-0.01046969,-120.4549,38.57567
0.038358435,-120.094,38.62627
-0.0075400025,-120.5208,38.8577
0.010526404,-120.1582,38.90858
-0.00021578372,-119.795,38.9581
-0.009004846,-120.223,39.19109
-0.01437594,-119.8581,39.24089
-0.013399377,-120.2885,39.4738
-0.02609469,-119.9218,39.5239
-0.07445062,-120.4549,38.57567
-0.056872495,-120.094,38.62627
-0.080798276,-120.5208,38.8577
-0.03929437,-120.1582,38.90858
-0.034411557,-119.795,38.9581
-0.06273187,-120.223,39.19109
-0.0515014,-119.8581,39.24089
-0.09495843,-120.2885,39.4738
-0.084216245,-119.9218,39.5239
-0.011354938,-120.4549,38.57567
0.022336468,-120.094,38.62627
0.0071997494,-120.5208,38.8577
0.047727093,-120.1582,38.90858
0.07800053,-119.795,38.9581
0.0013403744,-120.223,39.19109
0.106809124,-119.8581,39.24089
0.033566937,-120.2885,39.4738
0.060422406,-119.9218,39.5239
-0.066698074,-120.4549,38.57567
-0.054491043,-120.094,38.62627
-0.10038948,-120.5208,38.8577
-0.034959793,-120.1582,38.90858
0.09101677,-119.795,38.9581
-0.06913948,-120.223,39.19109
0.11982536,-119.8581,39.24089
0.04755974,-120.2885,39.4738
0.05244255,-119.9218,39.5239
-0.09377427,-120.4549,38.57567
-0.14553207,-120.094,38.62627
-0.11184067,-120.5208,38.8577
-0.07814927,-120.1582,38.90858
0.005346827,-119.795,38.9581
-0.07521958,-120.223,39.19109
0.05271011,-119.8581,39.24089
-0.027856298,-120.2885,39.4738
-0.010766454,-119.9218,39.5239
-0.07842772,-120.4549,38.57567
-0.12920898,-120.094,38.62627
-0.10674804,-120.5208,38.8577
-0.039365217,-120.1582,38.90858
0.09198244,-119.795,38.9581
-0.050595686,-120.223,39.19109
0.102236345,-119.8581,39.24089
-0.038388655,-120.2885,39.4738
-0.0071386546,-119.9218,39.5239
-0.085619956,-120.4549,38.57567
-0.17399886,-120.094,38.62627
-0.0948973,-120.5208,38.8577
-0.100268394,-120.1582,38.90858
-0.0074949563,-119.795,38.9581
-0.089037925,-120.223,39.19109
-0.0011473,-119.8581,39.24089
-0.116381675,-120.2885,39.4738
-0.05925277,-119.9218,39.5239
-0.024526924,-120.4549,38.57567
0.013559014,-120.094,38.62627
-0.017202705,-120.5208,38.8577
0.009164482,-120.1582,38.90858
-0.028433174,-119.795,38.9581
0.015512139,-120.223,39.19109
-0.022573799,-119.8581,39.24089
0.009164482,-120.2885,39.4738
-0.022085518,-119.9218,39.5239
-0.09694915,-120.4549,38.57567
-0.024683528,-120.094,38.62627
