hcdc,lon,lat
7.625,-120.4549,38.57567
6.25,-120.094,38.62627
7.875,-120.5208,38.8577
6.625,-120.1582,38.90858
5.375,-119.795,38.9581
6.625,-120.223,39.19109
5.0,-119.8581,39.24089
6.125,-120.2885,39.4738
4.25,-119.9218,39.5239
36.0,-120.4549,38.57567
28.5,-120.094,38.62627
35.125,-120.5208,38.8577
31.0,-120.1582,38.90858
29.0,-119.795,38.9581
33.0,-120.223,39.19109
31.125,-119.8581,39.24089
37.5,-120.2885,39.4738
33.75,-119.9218,39.5239
0.875,-120.4549,38.57567
1.25,-120.094,38.62627
0.625,-120.5208,38.8577
0.5,-120.1582,38.90858
1.375,-119.795,38.9581
0.125,-120.223,39.19109
0.5,-119.8581,39.24089
0.5,-120.2885,39.4738
1.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.5,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
44.875,-120.4549,38.57567
41.625,-120.094,38.62627
43.25,-120.5208,38.8577
40.75,-120.1582,38.90858
35.625,-119.795,38.9581
36.875,-120.223,39.19109
34.125,-119.8581,39.24089
32.875,-120.2885,39.4738
31.25,-119.9218,39.5239
98.125,-120.4549,38.57567
92.125,-120.094,38.62627
97.0,-120.5208,38.8577
93.625,-120.1582,38.90858
95.0,-119.795,38.9581
89.75,-120.223,39.19109
95.375,-119.8581,39.24089
87.75,-120.2885,39.4738
92.625,-119.9218,39.5239
82.5,-120.4549,38.57567
91.125,-120.094,38.62627
77.375,-120.5208,38.8577
83.25,-120.1582,38.90858
91.25,-119.795,38.9581
78.5,-120.223,39.19109
82.5,-119.8581,39.24089
79.25,-120.2885,39.4738
80.25,-119.9218,39.5239
13.25,-120.4549,38.57567
15.625,-120.094,38.62627
10.25,-120.5208,38.8577
18.875,-120.1582,38.90858
23.25,-119.795,38.9581
16.75,-120.223,39.19109
25.5,-119.8581,39.24089
13.75,-120.2885,39.4738
18.125,-119.9218,39.5239
69.25,-120.4549,38.57567
67.375,-120.094,38.62627
69.25,-120.5208,38.8577
65.125,-120.1582,38.90858
63.0,-119.795,38.9581
62.625,-120.223,39.19109
60.25,-119.8581,39.24089
60.5,-120.2885,39.4738
57.75,-119.9218,39.5239
9.375,-120.4549,38.57567
11.625,-120.094,38.62627
9.75,-120.5208,38.8577
10.875,-120.1582,38.90858
11.875,-119.795,38.9581
13.25,-120.223,39.19109
15.125,-119.8581,39.24089
15.25,-120.2885,39.4738
16.375,-119.9218,39.5239
13.625,-120.4549,38.57567
12.875,-120.094,38.62627
14.375,-120.5208,38.8577
15.625,-120.1582,38.90858
20.875,-119.795,38.9581
20.5,-120.223,39.19109
24.625,-119.8581,39.24089
25.875,-120.2885,39.4738
30.125,-119.9218,39.5239
6.375,-120.4549,38.57567
3.875,-120.094,38.62627
6.25,-120.5208,38.8577
4.875,-120.1582,38.90858
3.875,-119.795,38.9581
7.875,-120.223,39.19109
5.75,-119.8581,39.24089
23.375,-120.2885,39.4738
21.0,-119.9218,39.5239
7.375,-120.4549,38.57567
8.875,-120.094,38.62627
7.125,-120.5208,38.8577
9.0,-120.1582,38.90858
9.75,-119.795,38.9581
13.0,-120.223,39.19109
15.375,-119.8581,39.24089
27.5,-120.2885,39.4738
30.75,-119.9218,39.5239
2.0,-120.4549,38.57567
1.625,-120.094,38.62627
2.125,-120.5208,38.8577
1.375,-120.1582,38.90858
1.375,-119.795,38.9581
1.75,-120.223,39.19109
1.25,-119.8581,39.24089
2.0,-120.2885,39.4738
1.75,-119.9218,39.5239
33.375,-120.4549,38.57567
29.125,-120.094,38.62627
33.625,-120.5208,38.8577
28.125,-120.1582,38.90858
27.625,-119.795,38.9581
28.0,-120.223,39.19109
25.75,-119.8581,39.24089
27.75,-120.2885,39.4738
26.5,-119.9218,39.5239
39.5,-120.4549,38.57567
34.375,-120.094,38.62627
38.375,-120.5208,38.8577
37.125,-120.1582,38.90858
34.875,-119.795,38.9581
37.75,-120.223,39.19109
38.375,-119.8581,39.24089
39.25,-120.2885,39.4738
39.75,-119.9218,39.5239
57.75,-120.4549,38.57567
51.125,-120.094,38.62627
62.125,-120.5208,38.8577
55.25,-120.1582,38.90858
55.0,-119.795,38.9581
59.5,-120.223,39.19109
57.625,-119.8581,39.24089
64.5,-120.2885,39.4738
68.125,-119.9218,39.5239
80.125,-120.4549,38.57567
72.0,-120.094,38.62627
82.625,-120.5208,38.8577
77.375,-120.1582,38.90858
74.625,-119.795,38.9581
82.75,-120.223,39.19109
79.75,-119.8581,39.24089
88.25,-120.2885,39.4738
87.5,-119.9218,39.5239
43.625,-120.4549,38.57567
36.0,-120.094,38.62627
35.375,-120.5208,38.8577
26.375,-120.1582,38.90858
23.625,-119.795,38.9581
20.75,-120.223,39.19109
18.125,-119.8581,39.24089
17.0,-120.2885,39.4738
15.875,-119.9218,39.5239
3.25,-120.4549,38.57567
2.5,-120.094,38.62627
3.125,-120.5208,38.8577
2.625,-120.1582,38.90858
2.375,-119.795,38.9581
3.0,-120.223,39.19109
3.125,-119.8581,39.24089
3.25,-120.2885,39.4738
2.5,-119.9218,39.5239
5.5,-120.4549,38.57567
3.375,-120.094,38.62627
3.75,-120.5208,38.8577
3.0,-120.1582,38.90858
2.75,-119.795,38.9581
3.0,-120.223,39.19109
3.25,-119.8581,39.24089
3.375,-120.2885,39.4738
3.75,-119.9218,39.5239
50.125,-120.4549,38.57567
50.25,-120.094,38.62627
49.875,-120.5208,38.8577
47.375,-120.1582,38.90858
49.625,-119.795,38.9581
47.75,-120.223,39.19109
50.75,-119.8581,39.24089
50.625,-120.2885,39.4738
50.75,-119.9218,39.5239
29.125,-120.4549,38.57567
30.875,-120.094,38.62627
32.5,-120.5208,38.8577
39.625,-120.1582,38.90858
45.75,-119.795,38.9581
48.25,-120.223,39.19109
53.0,-119.8581,39.24089
53.5,-120.2885,39.4738
53.75,-119.9218,39.5239
19.625,-120.4549,38.57567
17.375,-120.094,38.62627
20.875,-120.5208,38.8577
19.25,-120.1582,38.90858
16.375,-119.795,38.9581
