prmsl,lon,lat
101698.02,-120.4549,38.57567
101699.65,-120.094,38.62627
101743.27,-120.5208,38.8577
101749.27,-120.1582,38.90858
101762.77,-119.795,38.9581
101805.65,-120.223,39.19109
101819.65,-119.8581,39.24089
101865.52,-120.2885,39.4738
101888.27,-119.9218,39.5239
101717.57,-120.4549,38.57567
101792.07,-120.094,38.62627
101769.32,-120.5208,38.8577
101850.945,-120.1582,38.90858
101927.82,-119.795,38.9581
101879.945,-120.223,39.19109
101931.445,-119.8581,39.24089
101894.445,-120.2885,39.4738
101927.07,-119.9218,39.5239
100051.875,-120.4549,38.57567
99895.875,-120.094,38.62627
100001.0,-120.5208,38.8577
99836.875,-120.1582,38.90858
99749.375,-119.795,38.9581
99772.375,-120.223,39.19109
99680.125,-119.8581,39.24089
99666.625,-120.2885,39.4738
99622.875,-119.9218,39.5239
100258.28,-120.4549,38.57567
100264.16,-120.094,38.62627
100289.28,-120.5208,38.8577
100279.53,-120.1582,38.90858
100255.03,-119.795,38.9581
100293.16,-120.223,39.19109
100253.91,-119.8581,39.24089
100299.41,-120.2885,39.4738
100274.91,-119.9218,39.5239
100533.664,-120.4549,38.57567
100468.79,-120.094,38.62627
100542.914,-120.5208,38.8577
100490.54,-120.1582,38.90858
100480.664,-119.795,38.9581
100501.54,-120.223,39.19109
100488.914,-119.8581,39.24089
100510.914,-120.2885,39.4738
100534.54,-119.9218,39.5239
101650.984,-120.4549,38.57567
101703.484,-120.094,38.62627
101672.86,-120.5208,38.8577
101732.734,-120.1582,38.90858
101794.61,-119.795,38.9581
101736.234,-120.223,39.19109
101773.484,-119.8581,39.24089
101725.734,-120.2885,39.4738
101760.36,-119.9218,39.5239
101334.58,-120.4549,38.57567
101163.95,-120.094,38.62627
101291.83,-120.5208,38.8577
101165.33,-120.1582,38.90858
101241.2,-119.795,38.9581
101139.2,-120.223,39.19109
101221.83,-119.8581,39.24089
101092.58,-120.2885,39.4738
101311.95,-119.9218,39.5239
101685.234,-120.4549,38.57567
101563.36,-120.094,38.62627
101672.61,-120.5208,38.8577
101598.61,-120.1582,38.90858
101658.86,-119.795,38.9581
101617.86,-120.223,39.19109
101687.11,-119.8581,39.24089
101631.61,-120.2885,39.4738
101799.484,-119.9218,39.5239
102023.516,-120.4549,38.57567
102023.266,-120.094,38.62627
102027.516,-120.5208,38.8577
102033.89,-120.1582,38.90858
102096.016,-119.795,38.9581
102054.39,-120.223,39.19109
102109.516,-119.8581,39.24089
102088.39,-120.2885,39.4738
102221.14,-119.9218,39.5239
101234.766,-120.4549,38.57567
101202.266,-120.094,38.62627
101245.39,-120.5208,38.8577
101228.266,-120.1582,38.90858
101281.016,-119.795,38.9581
101261.89,-120.223,39.19109
101310.64,-119.8581,39.24089
101311.14,-120.2885,39.4738
101429.64,-119.9218,39.5239
101601.61,-120.4549,38.57567
101544.36,-120.094,38.62627
101612.734,-120.5208,38.8577
101567.86,-120.1582,38.90858
101596.86,-119.795,38.9581
101575.86,-120.223,39.19109
101583.734,-119.8581,39.24089
101571.984,-120.2885,39.4738
101626.61,-119.9218,39.5239
101702.914,-120.4549,38.57567
101623.164,-120.094,38.62627
101697.29,-120.5208,38.8577
101628.414,-120.1582,38.90858
101642.79,-119.795,38.9581
101633.914,-120.223,39.19109
101646.54,-119.8581,39.24089
101631.54,-120.2885,39.4738
101719.54,-119.9218,39.5239
101427.234,-120.4549,38.57567
101315.984,-120.094,38.62627
101395.234,-120.5208,38.8577
101277.61,-120.1582,38.90858
101208.484,-119.795,38.9581
101240.86,-120.223,39.19109
101162.61,-119.8581,39.24089
101167.86,-120.2885,39.4738
101146.61,-119.9218,39.5239
101443.32,-120.4549,38.57567
101355.695,-120.094,38.62627
101420.82,-120.5208,38.8577
101320.32,-120.1582,38.90858
101259.32,-119.795,38.9581
101294.82,-120.223,39.19109
101220.445,-119.8581,39.24089
101257.195,-120.2885,39.4738
101223.82,-119.9218,39.5239
101925.15,-120.4549,38.57567
101942.77,-120.094,38.62627
101954.02,-120.5208,38.8577
101988.65,-120.1582,38.90858
102098.27,-119.795,38.9581
102010.52,-120.223,39.19109
102090.77,-119.8581,39.24089
102032.77,-120.2885,39.4738
102139.65,-119.9218,39.5239
102164.77,-120.4549,38.57567
102090.4,-120.094,38.62627
102168.65,-120.5208,38.8577
102099.77,-120.1582,38.90858
102154.15,-119.795,38.9581
102114.15,-120.223,39.19109
