mcdc,lon,lat
0.0,-120.4549,38.57567
0.125,-120.094,38.62627
0.0,-120.5208,38.8577
0.125,-120.1582,38.90858
0.25,-119.795,38.9581
0.375,-120.223,39.19109
0.25,-119.8581,39.24089
1.875,-120.2885,39.4738
1.75,-119.9218,39.5239
33.5,-120.4549,38.57567
27.25,-120.094,38.62627
33.25,-120.5208,38.8577
30.625,-120.1582,38.90858
28.875,-119.795,38.9581
30.875,-120.223,39.19109
30.625,-119.8581,39.24089
33.0,-120.2885,39.4738
31.625,-119.9218,39.5239
96.375,-120.4549,38.57567
97.875,-120.094,38.62627
89.875,-120.5208,38.8577
90.0,-120.1582,38.90858
84.25,-119.795,38.9581
81.375,-120.223,39.19109
80.75,-119.8581,39.24089
68.5,-120.2885,39.4738
64.875,-119.9218,39.5239
71.625,-120.4549,38.57567
77.25,-120.094,38.62627
79.0,-120.5208,38.8577
84.125,-120.1582,38.90858
80.75,-119.795,38.9581
82.875,-120.223,39.19109
87.75,-119.8581,39.24089
79.0,-120.2885,39.4738
78.625,-119.9218,39.5239
65.75,-120.4549,38.57567
91.5,-120.094,38.62627
56.75,-120.5208,38.8577
81.875,-120.1582,38.90858
89.625,-119.795,38.9581
75.25,-120.223,39.19109
85.625,-119.8581,39.24089
68.875,-120.2885,39.4738
72.5,-119.9218,39.5239
54.375,-120.4549,38.57567
53.125,-120.094,38.62627
52.75,-120.5208,38.8577
51.625,-120.1582,38.90858
47.375,-119.795,38.9581
52.875,-120.223,39.19109
48.0,-119.8581,39.24089
48.75,-120.2885,39.4738
45.75,-119.9218,39.5239
97.75,-120.4549,38.57567
88.625,-120.094,38.62627
98.125,-120.5208,38.8577
90.25,-120.1582,38.90858
81.125,-119.795,38.9581
87.375,-120.223,39.19109
82.25,-119.8581,39.24089
84.125,-120.2885,39.4738
80.25,-119.9218,39.5239
98.625,-120.4549,38.57567
98.875,-120.094,38.62627
94.25,-120.5208,38.8577
98.0,-120.1582,38.90858
99.375,-119.795,38.9581
92.0,-120.223,39.19109
99.375,-119.8581,39.24089
89.5,-120.2885,39.4738
92.75,-119.9218,39.5239
57.375,-120.4549,38.57567
50.125,-120.094,38.62627
55.25,-120.5208,38.8577
55.25,-120.1582,38.90858
51.25,-119.795,38.9581
53.25,-120.223,39.19109
51.375,-119.8581,39.24089
44.375,-120.2885,39.4738
51.0,-119.9218,39.5239
70.875,-120.4549,38.57567
69.75,-120.094,38.62627
69.625,-120.5208,38.8577
69.125,-120.1582,38.90858
73.875,-119.795,38.9581
66.125,-120.223,39.19109
70.125,-119.8581,39.24089
65.5,-120.2885,39.4738
66.5,-119.9218,39.5239
25.75,-120.4549,38.57567
23.875,-120.094,38.62627
31.25,-120.5208,38.8577
25.125,-120.1582,38.90858
20.625,-119.795,38.9581
37.125,-120.223,39.19109
24.125,-119.8581,39.24089
42.5,-120.2885,39.4738
35.125,-119.9218,39.5239
26.75,-120.4549,38.57567
19.0,-120.094,38.62627
29.125,-120.5208,38.8577
24.125,-120.1582,38.90858
21.625,-119.795,38.9581
26.25,-120.223,39.19109
22.625,-119.8581,39.24089
25.875,-120.2885,39.4738
24.875,-119.9218,39.5239
82.5,-120.4549,38.57567
63.75,-120.094,38.62627
81.25,-120.5208,38.8577
54.125,-120.1582,38.90858
27.625,-119.795,38.9581
51.75,-120.223,39.19109
32.375,-119.8581,39.24089
49.75,-120.2885,39.4738
36.0,-119.9218,39.5239
67.875,-120.4549,38.57567
76.625,-120.094,38.62627
72.875,-120.5208,38.8577
70.0,-120.1582,38.90858
72.625,-119.795,38.9581
68.75,-120.223,39.19109
66.875,-119.8581,39.24089
63.125,-120.2885,39.4738
66.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.5,-119.795,38.9581
0.0,-120.223,39.19109
0.25,-119.8581,39.24089
0.25,-120.2885,39.4738
0.625,-119.9218,39.5239
27.5,-120.4549,38.57567
23.625,-120.094,38.62627
27.75,-120.5208,38.8577
22.875,-120.1582,38.90858
19.25,-119.795,38.9581
21.75,-120.223,39.19109
20.0,-119.8581,39.24089
20.125,-120.2885,39.4738
19.5,-119.9218,39.5239
47.375,-120.4549,38.57567
33.375,-120.094,38.62627
47.875,-120.5208,38.8577
42.625,-120.1582,38.90858
34.5,-119.795,38.9581
45.75,-120.223,39.19109
38.25,-119.8581,39.24089
47.0,-120.2885,39.4738
47.125,-119.9218,39.5239
83.375,-120.4549,38.57567
67.0,-120.094,38.62627
86.0,-120.5208,38.8577
70.375,-120.1582,38.90858
58.375,-119.795,38.9581
74.5,-120.223,39.19109
61.25,-119.8581,39.24089
72.0,-120.2885,39.4738
69.125,-119.9218,39.5239
95.0,-120.4549,38.57567
89.25,-120.094,38.62627
95.125,-120.5208,38.8577
90.0,-120.1582,38.90858
87.375,-119.795,38.9581
92.375,-120.223,39.19109
89.875,-119.8581,39.24089
95.375,-120.2885,39.4738
95.125,-119.9218,39.5239
41.5,-120.4549,38.57567
38.375,-120.094,38.62627
34.375,-120.5208,38.8577
32.0,-120.1582,38.90858
26.125,-119.795,38.9581
27.5,-120.223,39.19109
25.0,-119.8581,39.24089
28.5,-120.2885,39.4738
29.625,-119.9218,39.5239
25.875,-120.4549,38.57567
31.875,-120.094,38.62627
29.625,-120.5208,38.8577
31.375,-120.1582,38.90858
32.75,-119.795,38.9581
38.875,-120.223,39.19109
37.125,-119.8581,39.24089
45.625,-120.2885,39.4738
41.25,-119.9218,39.5239
6.75,-120.4549,38.57567
4.375,-120.094,38.62627
5.75,-120.5208,38.8577
4.0,-120.1582,38.90858
3.375,-119.795,38.9581
3.75,-120.223,39.19109
3.5,-119.8581,39.24089
3.75,-120.2885,39.4738
3.375,-119.9218,39.5239
47.625,-120.4549,38.57567
47.875,-120.094,38.62627
46.875,-120.5208,38.8577
45.375,-120.1582,38.90858
43.75,-119.795,38.9581
44.5,-120.223,39.19109
43.125,-119.8581,39.24089
47.75,-120.2885,39.4738
41.875,-119.9218,39.5239
42.25,-120.4549,38.57567
20.75,-120.094,38.62627
40.75,-120.5208,38.8577
29.75,-120.1582,38.90858
35.125,-119.795,38.9581
39.375,-120.223,39.19109
44.375,-119.8581,39.24089
45.375,-120.2885,39.4738
50.375,-119.9218,39.5239
37.5,-120.4549,38.57567
32.5,-120.094,38.62627
40.75,-120.5208,38.8577
38.25,-120.1582,38.90858
33.875,-119.795,38.9581
42.5,-120.223,39.19109
38.25,-119.8581,39.24089
47.5,-120.2885,39.4738
42.5,-119.9218,39.5239
51.875,-120.4549,38.57567
45.875,-120.094,38.62627
51.375,-120.5208,38.8577
49.625,-120.1582,38.90858
57.625,-119.795,38.9581
53.375,-120.223,39.19109
65.0,-119.8581,39.24089
56.25,-120.2885,39.4738
