cdlyr,lon,lat
7.5,-120.4549,38.57567
5.5,-120.094,38.62627
8.0,-120.5208,38.8577
5.75,-120.1582,38.90858
4.625,-119.795,38.9581
6.0,-120.223,39.19109
5.125,-119.8581,39.24089
6.375,-120.2885,39.4738
22.75,-119.9218,39.5239
35.375,-120.4549,38.57567
31.625,-120.094,38.62627
36.0,-120.5208,38.8577
33.5,-120.1582,38.90858
31.125,-119.795,38.9581
34.5,-120.223,39.19109
33.125,-119.8581,39.24089
36.75,-120.2885,39.4738
49.375,-119.9218,39.5239
72.25,-120.4549,38.57567
69.75,-120.094,38.62627
74.375,-120.5208,38.8577
78.875,-120.1582,38.90858
72.0,-119.795,38.9581
67.75,-120.223,39.19109
68.75,-119.8581,39.24089
69.875,-120.2885,39.4738
67.875,-119.9218,39.5239
54.125,-120.4549,38.57567
73.0,-120.094,38.62627
75.5,-120.5208,38.8577
79.75,-120.1582,38.90858
81.0,-119.795,38.9581
78.875,-120.223,39.19109
85.0,-119.8581,39.24089
77.0,-120.2885,39.4738
79.5,-119.9218,39.5239
85.625,-120.4549,38.57567
85.625,-120.094,38.62627
91.875,-120.5208,38.8577
82.0,-120.1582,38.90858
76.125,-119.795,38.9581
76.75,-120.223,39.19109
88.75,-119.8581,39.24089
75.75,-120.2885,39.4738
78.0,-119.9218,39.5239
71.25,-120.4549,38.57567
57.875,-120.094,38.62627
69.75,-120.5208,38.8577
57.0,-120.1582,38.90858
51.0,-119.795,38.9581
57.125,-120.223,39.19109
52.5,-119.8581,39.24089
51.0,-120.2885,39.4738
43.75,-119.9218,39.5239
99.5,-120.4549,38.57567
92.875,-120.094,38.62627
99.625,-120.5208,38.8577
98.0,-120.1582,38.90858
96.75,-119.795,38.9581
89.625,-120.223,39.19109
97.375,-119.8581,39.24089
89.625,-120.2885,39.4738
94.5,-119.9218,39.5239
99.625,-120.4549,38.57567
99.375,-120.094,38.62627
93.125,-120.5208,38.8577
99.75,-120.1582,38.90858
99.875,-119.795,38.9581
97.375,-120.223,39.19109
99.75,-119.8581,39.24089
94.125,-120.2885,39.4738
96.25,-119.9218,39.5239
68.375,-120.4549,38.57567
56.75,-120.094,38.62627
64.375,-120.5208,38.8577
58.125,-120.1582,38.90858
56.5,-119.795,38.9581
54.875,-120.223,39.19109
55.375,-119.8581,39.24089
46.5,-120.2885,39.4738
53.875,-119.9218,39.5239
77.875,-120.4549,38.57567
75.25,-120.094,38.62627
73.5,-120.5208,38.8577
71.875,-120.1582,38.90858
74.75,-119.795,38.9581
69.25,-120.223,39.19109
68.875,-119.8581,39.24089
68.375,-120.2885,39.4738
69.125,-119.9218,39.5239
57.25,-120.4549,38.57567
30.5,-120.094,38.62627
66.375,-120.5208,38.8577
41.25,-120.1582,38.90858
34.5,-119.795,38.9581
49.25,-120.223,39.19109
44.25,-119.8581,39.24089
51.375,-120.2885,39.4738
51.625,-119.9218,39.5239
40.0,-120.4549,38.57567
31.875,-120.094,38.62627
43.875,-120.5208,38.8577
38.5,-120.1582,38.90858
42.5,-119.795,38.9581
42.625,-120.223,39.19109
46.0,-119.8581,39.24089
46.625,-120.2885,39.4738
52.25,-119.9218,39.5239
70.75,-120.4549,38.57567
55.375,-120.094,38.62627
81.625,-120.5208,38.8577
55.25,-120.1582,38.90858
34.375,-119.795,38.9581
57.375,-120.223,39.19109
37.125,-119.8581,39.24089
56.25,-120.2885,39.4738
43.0,-119.9218,39.5239
66.75,-120.4549,38.57567
72.25,-120.094,38.62627
92.875,-120.5208,38.8577
86.625,-120.1582,38.90858
72.375,-119.795,38.9581
87.875,-120.223,39.19109
81.875,-119.8581,39.24089
87.25,-120.2885,39.4738
86.0,-119.9218,39.5239
3.5,-120.4549,38.57567
2.375,-120.094,38.62627
3.125,-120.5208,38.8577
2.75,-120.1582,38.90858
3.375,-119.795,38.9581
3.0,-120.223,39.19109
3.25,-119.8581,39.24089
2.375,-120.2885,39.4738
3.125,-119.9218,39.5239
39.375,-120.4549,38.57567
36.125,-120.094,38.62627
39.25,-120.5208,38.8577
36.0,-120.1582,38.90858
33.375,-119.795,38.9581
34.875,-120.223,39.19109
33.0,-119.8581,39.24089
34.25,-120.2885,39.4738
32.5,-119.9218,39.5239
77.25,-120.4549,38.57567
54.75,-120.094,38.62627
81.5,-120.5208,38.8577
60.625,-120.1582,38.90858
49.625,-119.795,38.9581
61.25,-120.223,39.19109
53.0,-119.8581,39.24089
60.625,-120.2885,39.4738
58.25,-119.9218,39.5239
84.5,-120.4549,38.57567
66.5,-120.094,38.62627
87.375,-120.5208,38.8577
79.25,-120.1582,38.90858
67.75,-119.795,38.9581
79.875,-120.223,39.19109
70.875,-119.8581,39.24089
77.75,-120.2885,39.4738
73.0,-119.9218,39.5239
88.75,-120.4549,38.57567
85.5,-120.094,38.62627
89.625,-120.5208,38.8577
87.375,-120.1582,38.90858
86.5,-119.795,38.9581
88.875,-120.223,39.19109
87.875,-119.8581,39.24089
89.75,-120.2885,39.4738
91.125,-119.9218,39.5239
76.75,-120.4549,38.57567
57.625,-120.094,38.62627
71.625,-120.5208,38.8577
66.125,-120.1582,38.90858
56.125,-119.795,38.9581
61.5,-120.223,39.19109
56.875,-119.8581,39.24089
55.5,-120.2885,39.4738
56.125,-119.9218,39.5239
41.75,-120.4549,38.57567
40.0,-120.094,38.62627
47.25,-120.5208,38.8577
48.625,-120.1582,38.90858
51.25,-119.795,38.9581
51.625,-120.223,39.19109
53.625,-119.8581,39.24089
53.75,-120.2885,39.4738
51.875,-119.9218,39.5239
9.75,-120.4549,38.57567
6.125,-120.094,38.62627
8.875,-120.5208,38.8577
5.75,-120.1582,38.90858
4.75,-119.795,38.9581
5.625,-120.223,39.19109
4.875,-119.8581,39.24089
5.75,-120.2885,39.4738
5.125,-119.9218,39.5239
49.125,-120.4549,38.57567
48.0,-120.094,38.62627
48.75,-120.5208,38.8577
47.25,-120.1582,38.90858
45.625,-119.795,38.9581
46.5,-120.223,39.19109
45.125,-119.8581,39.24089
46.625,-120.2885,39.4738
45.0,-119.9218,39.5239
81.5,-120.4549,38.57567
48.25,-120.094,38.62627
84.375,-120.5208,38.8577
60.125,-120.1582,38.90858
56.875,-119.795,38.9581
68.125,-120.223,39.19109
62.125,-119.8581,39.24089
65.25,-120.2885,39.4738
65.25,-119.9218,39.5239
74.375,-120.4549,38.57567
44.75,-120.094,38.62627
78.875,-120.5208,38.8577
53.25,-120.1582,38.90858
40.125,-119.795,38.9581
56.625,-120.223,39.19109
44.625,-119.8581,39.24089
58.5,-120.2885,39.4738
53.0,-119.9218,39.5239
66.625,-120.4549,38.57567
61.875,-120.094,38.62627
67.75,-120.5208,38.8577
66.625,-120.1582,38.90858
67.5,-119.795,38.9581
69.375,-120.223,39.19109
71.375,-119.8581,39.24089
73.25,-120.2885,39.4738
72.875,-119.9218,39.5239
