pr_wtr,lon,lat
6.2461915,-120.4549,38.57567
3.9493158,-120.094,38.62627
6.1680665,-120.5208,38.8577
4.402441,-120.1582,38.90858
4.3399405,-119.795,38.9581
4.480566,-120.223,39.19109
4.511816,-119.8581,39.24089
4.2774405,-120.2885,39.4738
5.199316,-119.9218,39.5239
5.01313,-120.4549,38.57567
3.5756297,-120.094,38.62627
5.10688,-120.5208,38.8577
3.9037547,-120.1582,38.90858
3.8256297,-119.795,38.9581
4.0131297,-120.223,39.19109
3.9662547,-119.8581,39.24089
4.0287547,-120.2885,39.4738
4.435005,-119.9218,39.5239
8.356167,-120.4549,38.57567
5.324917,-120.094,38.62627
8.074917,-120.5208,38.8577
5.824917,-120.1582,38.90858
5.684292,-119.795,38.9581
5.699917,-120.223,39.19109
5.684292,-119.8581,39.24089
5.199917,-120.2885,39.4738
6.090542,-119.9218,39.5239
6.2919674,-120.4549,38.57567
3.6669672,-120.094,38.62627
6.2450924,-120.5208,38.8577
4.2450924,-120.1582,38.90858
3.9794672,-119.795,38.9581
4.1669674,-120.223,39.19109
4.1513424,-119.8581,39.24089
3.776342,-120.2885,39.4738
4.4794674,-119.9218,39.5239
6.4858923,-120.4549,38.57567
4.110892,-120.094,38.62627
6.235892,-120.5208,38.8577
4.501517,-120.1582,38.90858
4.548392,-119.795,38.9581
4.423392,-120.223,39.19109
4.548392,-119.8581,39.24089
4.079642,-120.2885,39.4738
4.939017,-119.9218,39.5239
7.1012287,-120.4549,38.57567
4.5231037,-120.094,38.62627
6.8356037,-120.5208,38.8577
4.8512287,-120.1582,38.90858
4.4137287,-119.795,38.9581
4.7731037,-120.223,39.19109
4.3668537,-119.8581,39.24089
4.3043537,-120.2885,39.4738
4.5231037,-119.9218,39.5239
15.640789,-120.4549,38.57567
10.797039,-120.094,38.62627
15.390789,-120.5208,38.8577
11.656414,-120.1582,38.90858
11.172039,-119.795,38.9581
11.515789,-120.223,39.19109
11.297039,-119.8581,39.24089
10.937664,-120.2885,39.4738
11.859539,-119.9218,39.5239
17.818878,-120.4549,38.57567
12.178253,-120.094,38.62627
17.209503,-120.5208,38.8577
12.959503,-120.1582,38.90858
12.803253,-119.795,38.9581
12.553253,-120.223,39.19109
12.678253,-119.8581,39.24089
11.537628,-120.2885,39.4738
13.084502,-119.9218,39.5239
15.017132,-120.4549,38.57567
9.329632,-120.094,38.62627
14.642132,-120.5208,38.8577
10.360882,-120.1582,38.90858
9.985882,-119.795,38.9581
10.251507,-120.223,39.19109
10.095257,-119.8581,39.24089
9.392132,-120.2885,39.4738
10.860882,-119.9218,39.5239
14.688131,-120.4549,38.57567
9.485007,-120.094,38.62627
14.406881,-120.5208,38.8577
10.125632,-120.1582,38.90858
9.703757,-119.795,38.9581
9.938132,-120.223,39.19109
9.594382,-119.8581,39.24089
9.156882,-120.2885,39.4738
10.188132,-119.9218,39.5239
13.263689,-120.4549,38.57567
8.279314,-120.094,38.62627
13.466814,-120.5208,38.8577
9.498064,-120.1582,38.90858
9.169939,-119.795,38.9581
9.966814,-120.223,39.19109
9.685564,-119.8581,39.24089
9.576189,-120.2885,39.4738
10.779314,-119.9218,39.5239
12.219999,-120.4549,38.57567
6.75125,-120.094,38.62627
12.141874,-120.5208,38.8577
7.5325,-120.1582,38.90858
6.595,-119.795,38.9581
7.72,-120.223,39.19109
6.87625,-119.8581,39.24089
7.345,-120.2885,39.4738
7.9075,-119.9218,39.5239
13.335398,-120.4549,38.57567
8.069773,-120.094,38.62627
13.007273,-120.5208,38.8577
8.679148,-120.1582,38.90858
7.8353972,-119.795,38.9581
8.679148,-120.223,39.19109
8.085398,-119.8581,39.24089
8.272898,-120.2885,39.4738
9.054148,-119.9218,39.5239
12.666343,-120.4549,38.57567
7.9944687,-120.094,38.62627
13.041343,-120.5208,38.8577
9.010094,-120.1582,38.90858
8.556969,-119.795,38.9581
9.010094,-120.223,39.19109
8.775719,-119.8581,39.24089
8.322594,-120.2885,39.4738
9.744469,-119.9218,39.5239
6.769023,-120.4549,38.57567
3.7377727,-120.094,38.62627
6.628398,-120.5208,38.8577
4.315898,-120.1582,38.90858
4.550273,-119.795,38.9581
4.347148,-120.223,39.19109
4.659648,-119.8581,39.24089
4.065898,-120.2885,39.4738
5.487773,-119.9218,39.5239
5.7165184,-120.4549,38.57567
3.0446436,-120.094,38.62627
5.5758934,-120.5208,38.8577
3.3727686,-120.1582,38.90858
3.2008936,-119.795,38.9581
3.4196436,-120.223,39.19109
3.2946436,-119.8581,39.24089
3.2633936,-120.2885,39.4738
4.044644,-119.9218,39.5239
10.8214245,-120.4549,38.57567
6.8370495,-120.094,38.62627
11.0714245,-120.5208,38.8577
7.6182995,-120.1582,38.90858
6.9151745,-119.795,38.9581
7.9307995,-120.223,39.19109
7.2745495,-119.8581,39.24089
7.7901745,-120.2885,39.4738
8.2432995,-119.9218,39.5239
18.225826,-120.4549,38.57567
12.007075,-120.094,38.62627
18.155514,-120.5208,38.8577
13.171138,-120.1582,38.90858
12.55395,-119.795,38.9581
13.233638,-120.223,39.19109
12.858638,-119.8581,39.24089
12.49145,-120.2885,39.4738
13.452388,-119.9218,39.5239
16.838022,-120.4549,38.57567
11.463022,-120.094,38.62627
16.525522,-120.5208,38.8577
12.119272,-120.1582,38.90858
11.634897,-119.795,38.9581
11.978647,-120.223,39.19109
11.572397,-119.8581,39.24089
11.134897,-120.2885,39.4738
12.119272,-119.9218,39.5239
12.170118,-120.4549,38.57567
7.716995,-120.094,38.62627
11.591993,-120.5208,38.8577
8.20137,-120.1582,38.90858
7.935745,-119.795,38.9581
7.966995,-120.223,39.19109
7.92012,-119.8581,39.24089
7.373245,-120.2885,39.4738
8.38887,-119.9218,39.5239
7.088966,-120.4549,38.57567
4.2295904,-120.094,38.62627
7.010841,-120.5208,38.8577
4.745216,-120.1582,38.90858
4.713966,-119.795,38.9581
4.870216,-120.223,39.19109
4.823341,-119.8581,39.24089
4.604591,-120.2885,39.4738
5.323341,-119.9218,39.5239
4.476329,-120.4549,38.57567
2.6013296,-120.094,38.62627
4.335704,-120.5208,38.8577
2.8200793,-120.1582,38.90858
2.7107043,-119.795,38.9581
2.8044543,-120.223,39.19109
2.7263293,-119.8581,39.24089
2.6013296,-120.2885,39.4738
3.1638293,-119.9218,39.5239
3.6244073,-120.4549,38.57567
2.2962823,-120.094,38.62627
3.6556573,-120.5208,38.8577
2.5306573,-120.1582,38.90858
2.2494073,-119.795,38.9581
2.5931573,-120.223,39.19109
2.2962823,-119.8581,39.24089
2.3900323,-120.2885,39.4738
2.6244073,-119.9218,39.5239
6.669544,-120.4549,38.57567
4.0132937,-120.094,38.62627
6.607044,-120.5208,38.8577
4.3882937,-120.1582,38.90858
3.903919,-119.795,38.9581
4.4507937,-120.223,39.19109
4.0445437,-119.8581,39.24089
4.2632937,-120.2885,39.4738
4.4664187,-119.9218,39.5239
11.521104,-120.4549,38.57567
6.942978,-120.094,38.62627
11.567979,-120.5208,38.8577
7.708604,-120.1582,38.90858
7.114853,-119.795,38.9581
7.896104,-120.223,39.19109
7.427354,-119.8581,39.24089
7.599229,-120.2885,39.4738
8.114854,-119.9218,39.5239
9.091917,-120.4549,38.57567
5.4512925,-120.094,38.62627
9.482543,-120.5208,38.8577
6.2481675,-120.1582,38.90858
5.7325425,-119.795,38.9581
6.6231675,-120.223,39.19109
6.1387925,-119.8581,39.24089
6.5762925,-120.2885,39.4738
7.1231675,-119.9218,39.5239
6.5220013,-120.4549,38.57567
3.9126267,-120.094,38.62627
7.0063763,-120.5208,38.8577
4.4126267,-120.1582,38.90858
3.8345017,-119.795,38.9581
4.7407517,-120.223,39.19109
4.0845017,-119.8581,39.24089
4.6626267,-120.2885,39.4738
4.7251267,-119.9218,39.5239
8.011087,-120.4549,38.57567
4.7454624,-120.094,38.62627
8.276712,-120.5208,38.8577
5.1360874,-120.1582,38.90858
4.3548374,-119.795,38.9581
5.3548374,-120.223,39.19109
4.5423374,-119.8581,39.24089
5.0579624,-120.2885,39.4738
5.0735874,-119.9218,39.5239
10.060125,-120.4549,38.57567
6.6382504,-120.094,38.62627
9.76325,-120.5208,38.8577
7.3413754,-120.1582,38.90858
7.3257504,-119.795,38.9581
7.1382504,-120.223,39.19109
7.4351254,-119.8581,39.24089
6.5288754,-120.2885,39.4738
7.857001,-119.9218,39.5239
7.5741224,-120.4549,38.57567
4.839748,-120.094,38.62627
7.3084974,-120.5208,38.8577
5.2616224,-120.1582,38.90858
5.5584974,-119.795,38.9581
5.1522474,-120.223,39.19109
5.5584974,-119.8581,39.24089
4.636623,-120.2885,39.4738
6.0741224,-119.9218,39.5239
6.6134114,-120.4549,38.57567
3.7540364,-120.094,38.62627
6.4415364,-120.5208,38.8577
4.2071614,-120.1582,38.90858
4.0352864,-119.795,38.9581
4.3165364,-120.223,39.19109
4.2071614,-119.8581,39.24089
4.1446614,-120.2885,39.4738
4.6134114,-119.9218,39.5239
6.103636,-120.4549,38.57567
3.9161363,-120.094,38.62627
5.697386,-120.5208,38.8577
4.3067613,-120.1582,38.90858
4.4630113,-119.795,38.9581
4.1661363,-120.223,39.19109
4.3536363,-119.8581,39.24089
3.6348863,-120.2885,39.4738
4.556761,-119.9218,39.5239
4.1694307,-120.4549,38.57567
2.7788055,-120.094,38.62627
4.1850557,-120.5208,38.8577
3.1538055,-120.1582,38.90858
3.3881805,-119.795,38.9581
3.1850555,-120.223,39.19109
3.4663055,-119.8581,39.24089
2.9975555,-120.2885,39.4738
3.9038055,-119.9218,39.5239
6.682618,-120.4549,38.57567
5.073243,-120.094,38.62627
6.838868,-120.5208,38.8577
5.463868,-120.1582,38.90858
5.354493,-119.795,38.9581
5.666993,-120.223,39.19109
5.541993,-119.8581,39.24089
5.620118,-120.2885,39.4738
6.151368,-119.9218,39.5239
10.144066,-120.4549,38.57567
7.175316,-120.094,38.62627
10.253441,-120.5208,38.8577
7.847191,-120.1582,38.90858
7.675316,-119.795,38.9581
8.019066,-120.223,39.19109
7.878441,-119.8581,39.24089
7.800316,-120.2885,39.4738
8.534691,-119.9218,39.5239
9.653843,-120.4549,38.57567
6.356968,-120.094,38.62627
9.481968,-120.5208,38.8577
7.044468,-120.1582,38.90858
7.169468,-119.795,38.9581
7.185093,-120.223,39.19109
