rhum,lon,lat
36.656788,-120.4549,38.57567
39.547413,-120.094,38.62627
37.2271,-120.5208,38.8577
43.59429,-120.1582,38.90858
42.914604,-119.795,38.9581
44.109917,-120.223,39.19109
50.883354,-119.8581,39.24089
49.664604,-120.2885,39.4738
55.71929,-119.9218,39.5239
33.04637,-120.4549,38.57567
49.10106,-120.094,38.62627
38.780746,-120.5208,38.8577
53.81981,-120.1582,38.90858
54.280746,-119.795,38.9581
51.061996,-120.223,39.19109
63.35106,-119.8581,39.24089
59.468246,-120.2885,39.4738
53.07762,-119.9218,39.5239
75.17969,-120.4549,38.57567
85.703125,-120.094,38.62627
78.88281,-120.5208,38.8577
85.44531,-120.1582,38.90858
81.609375,-119.795,38.9581
88.86719,-120.223,39.19109
78.39844,-119.8581,39.24089
85.53906,-120.2885,39.4738
73.34375,-119.9218,39.5239
80.38066,-120.4549,38.57567
84.9041,-120.094,38.62627
83.70097,-120.5208,38.8577
87.60722,-120.1582,38.90858
81.06816,-119.795,38.9581
88.69316,-120.223,39.19109
81.43535,-119.8581,39.24089
85.79472,-120.2885,39.4738
80.271286,-119.9218,39.5239
78.99901,-120.4549,38.57567
88.13963,-120.094,38.62627
78.42088,-120.5208,38.8577
88.85838,-120.1582,38.90858
88.28807,-119.795,38.9581
85.23338,-120.223,39.19109
87.54588,-119.8581,39.24089
88.147446,-120.2885,39.4738
88.32713,-119.9218,39.5239
75.1063,-120.4549,38.57567
75.85631,-120.094,38.62627
74.028175,-120.5208,38.8577
77.067245,-120.1582,38.90858
71.75474,-119.795,38.9581
79.13756,-120.223,39.19109
74.09849,-119.8581,39.24089
77.45006,-120.2885,39.4738
76.27036,-119.9218,39.5239
81.401596,-120.4549,38.57567
92.47191,-120.094,38.62627
86.26097,-120.5208,38.8577
92.03441,-120.1582,38.90858
90.40941,-119.795,38.9581
91.66722,-120.223,39.19109
88.73753,-119.8581,39.24089
92.07347,-120.2885,39.4738
86.73753,-119.9218,39.5239
