snod,lon,lat
3.84e-05,-120.4549,38.57567
0.0,-120.094,38.62627
5.7600002e-05,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0033024,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
1.92e-05,-120.094,38.62627
0.0,-120.5208,38.8577
7.04e-05,-120.1582,38.90858
6.4e-06,-119.795,38.9581
3.84e-05,-120.223,39.19109
0.00352,-119.8581,39.24089
8.32e-05,-120.2885,39.4738
6.4e-06,-119.9218,39.5239
0.010924799,-120.4549,38.57567
0.2586112,-120.094,38.62627
0.0037119999,-120.5208,38.8577
0.1777408,-120.1582,38.90858
0.1226944,-119.795,38.9581
0.17834242,-120.223,39.19109
0.12704639,-119.8581,39.24089
0.1626368,-120.2885,39.4738
0.0343552,-119.9218,39.5239
0.024307203,-120.4549,38.57567
0.196864,-120.094,38.62627
0.036947202,-120.5208,38.8577
0.18315521,-120.1582,38.90858
0.17545602,-119.795,38.9581
0.3241856,-120.223,39.19109
0.18362239,-119.8581,39.24089
0.2487296,-120.2885,39.4738
0.027520001,-119.9218,39.5239
0.011328,-120.4549,38.57567
0.18919681,-120.094,38.62627
0.018201603,-120.5208,38.8577
0.15510401,-120.1582,38.90858
0.1580992,-119.795,38.9581
0.2806208,-120.223,39.19109
0.22102399,-119.8581,39.24089
0.2551296,-120.2885,39.4738
0.030796802,-119.9218,39.5239
0.008678401,-120.4549,38.57567
0.22202879,-120.094,38.62627
0.007884799,-120.5208,38.8577
0.09993599,-120.1582,38.90858
0.18388481,-119.795,38.9581
0.2659456,-120.223,39.19109
0.1400064,-119.8581,39.24089
0.26102403,-120.2885,39.4738
0.043840002,-119.9218,39.5239
0.010515201,-120.4549,38.57567
0.1533248,-120.094,38.62627
0.0006272,-120.5208,38.8577
0.1086272,-120.1582,38.90858
0.1977216,-119.795,38.9581
0.16515201,-120.223,39.19109
0.1734912,-119.8581,39.24089
0.2068608,-120.2885,39.4738
0.064096,-119.9218,39.5239
0.014771199,-120.4549,38.57567
0.0890048,-120.094,38.62627
0.0006272,-120.5208,38.8577
0.025683198,-120.1582,38.90858
0.1590336,-119.795,38.9581
0.0573696,-120.223,39.19109
0.118144006,-119.8581,39.24089
0.114656,-120.2885,39.4738
0.10364799,-119.9218,39.5239
0.0160576,-120.4549,38.57567
0.052383997,-120.094,38.62627
0.0006272,-120.5208,38.8577
0.020544,-120.1582,38.90858
0.106214404,-119.795,38.9581
0.102329604,-120.223,39.19109
0.060972802,-119.8581,39.24089
0.21456,-120.2885,39.4738
0.0637184,-119.9218,39.5239
0.0,-120.4549,38.57567
0.28301442,-120.094,38.62627
0.0,-120.5208,38.8577
0.023475202,-120.1582,38.90858
0.27427843,-119.795,38.9581
0.13086079,-120.223,39.19109
0.0534784,-119.8581,39.24089
0.299456,-120.2885,39.4738
0.0232064,-119.9218,39.5239
0.0,-120.4549,38.57567
0.25347844,-120.094,38.62627
0.0,-120.5208,38.8577
0.070732795,-120.1582,38.90858
0.23749122,-119.795,38.9581
0.0949632,-120.223,39.19109
0.115584,-119.8581,39.24089
0.26697603,-120.2885,39.4738
0.0189504,-119.9218,39.5239
0.0,-120.4549,38.57567
0.2525568,-120.094,38.62627
0.0,-120.5208,38.8577
0.06797439,-120.1582,38.90858
0.2532544,-119.795,38.9581
0.067142405,-120.223,39.19109
0.16158082,-119.8581,39.24089
0.22895999,-120.2885,39.4738
0.0272448,-119.9218,39.5239
0.0,-120.4549,38.57567
0.2328064,-120.094,38.62627
0.0,-120.5208,38.8577
0.0611072,-120.1582,38.90858
0.1773632,-119.795,38.9581
0.041491196,-120.223,39.19109
0.07248639,-119.8581,39.24089
0.2110336,-120.2885,39.4738
0.0022656003,-119.9218,39.5239
0.0,-120.4549,38.57567
0.3720192,-120.094,38.62627
0.0,-120.5208,38.8577
0.1319488,-120.1582,38.90858
0.18500477,-119.795,38.9581
0.0683008,-120.223,39.19109
0.0667072,-119.8581,39.24089
0.308128,-120.2885,39.4738
0.0020607999,-119.9218,39.5239
1.92e-05,-120.4549,38.57567
0.34654722,-120.094,38.62627
0.0001344,-120.5208,38.8577
0.21419519,-120.1582,38.90858
0.2606976,-119.795,38.9581
0.0929216,-120.223,39.19109
0.13891199,-119.8581,39.24089
0.28526083,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0001856,-120.4549,38.57567
0.2625472,-120.094,38.62627
0.0001344,-120.5208,38.8577
0.18771201,-120.1582,38.90858
0.2415616,-119.795,38.9581
0.15632641,-120.223,39.19109
0.115328,-119.8581,39.24089
0.37214082,-120.2885,39.4738
0.000128,-119.9218,39.5239
0.0,-120.4549,38.57567
0.4086528,-120.094,38.62627
0.0,-120.5208,38.8577
0.23644799,-120.1582,38.90858
0.41258243,-119.795,38.9581
0.1512896,-120.223,39.19109
0.051545605,-119.8581,39.24089
0.3447808,-120.2885,39.4738
5.7600002e-05,-119.9218,39.5239
0.0,-120.4549,38.57567
0.20219521,-120.094,38.62627
0.0,-120.5208,38.8577
0.11936,-120.1582,38.90858
0.1777216,-119.795,38.9581
0.077472,-120.223,39.19109
0.1088384,-119.8581,39.24089
0.1444992,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.27397758,-120.094,38.62627
0.0,-120.5208,38.8577
0.1720448,-120.1582,38.90858
0.28070402,-119.795,38.9581
0.0057344,-120.223,39.19109
0.21534081,-119.8581,39.24089
0.0371776,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.361344,-120.094,38.62627
0.0,-120.5208,38.8577
0.28624,-120.1582,38.90858
0.23039998,-119.795,38.9581
0.0092672,-120.223,39.19109
0.21217279,-119.8581,39.24089
0.053958397,-120.2885,39.4738
0.0001984,-119.9218,39.5239
6.4e-05,-120.4549,38.57567
0.3858688,-120.094,38.62627
6.4e-06,-120.5208,38.8577
0.40097278,-120.1582,38.90858
0.35623682,-119.795,38.9581
0.051398404,-120.223,39.19109
0.031872,-119.8581,39.24089
0.0732928,-120.2885,39.4738
0.0064704,-119.9218,39.5239
0.0001536,-120.4549,38.57567
0.47908485,-120.094,38.62627
0.0001024,-120.5208,38.8577
0.4650304,-120.1582,38.90858
0.4759872,-119.795,38.9581
0.036224,-120.223,39.19109
0.22895999,-119.8581,39.24089
0.0670528,-120.2885,39.4738
0.0191424,-119.9218,39.5239
0.0,-120.4549,38.57567
0.46974725,-120.094,38.62627
0.0,-120.5208,38.8577
0.4287936,-120.1582,38.90858
0.470528,-119.795,38.9581
0.0116096,-120.223,39.19109
0.17408639,-119.8581,39.24089
0.0548544,-120.2885,39.4738
0.01872,-119.9218,39.5239
0.0,-120.4549,38.57567
0.4249664,-120.094,38.62627
0.0,-120.5208,38.8577
0.29605758,-120.1582,38.90858
0.4244096,-119.795,38.9581
0.1259392,-120.223,39.19109
0.11150081,-119.8581,39.24089
0.0686784,-120.2885,39.4738
0.0166016,-119.9218,39.5239
0.0,-120.4549,38.57567
0.3982464,-120.094,38.62627
0.0,-120.5208,38.8577
0.267744,-120.1582,38.90858
0.3968896,-119.795,38.9581
0.1289536,-120.223,39.19109
0.0696384,-119.8581,39.24089
0.0667072,-120.2885,39.4738
0.0167744,-119.9218,39.5239
1.92e-05,-120.4549,38.57567
0.29425278,-120.094,38.62627
5.7600002e-05,-120.5208,38.8577
0.26744962,-120.1582,38.90858
0.28535682,-119.795,38.9581
0.12759039,-120.223,39.19109
0.024319999,-119.8581,39.24089
0.0730752,-120.2885,39.4738
0.0177472,-119.9218,39.5239
0.0,-120.4549,38.57567
0.25429755,-120.094,38.62627
0.0,-120.5208,38.8577
0.2655872,-120.1582,38.90858
0.2559808,-119.795,38.9581
0.30799997,-120.223,39.19109
0.0,-119.8581,39.24089
