dlwrf,lon,lat
237.5,-120.4549,38.57567
184.73438,-120.094,38.62627
231.82031,-120.5208,38.8577
191.5,-120.1582,38.90858
200.97656,-119.795,38.9581
203.11719,-120.223,39.19109
196.39062,-119.8581,39.24089
189.10156,-120.2885,39.4738
233.36719,-119.9218,39.5239
238.14062,-120.4549,38.57567
185.5625,-120.094,38.62627
233.78125,-120.5208,38.8577
193.79688,-120.1582,38.90858
196.92188,-119.795,38.9581
206.49219,-120.223,39.19109
197.99219,-119.8581,39.24089
196.1875,-120.2885,39.4738
232.61719,-119.9218,39.5239
302.35938,-120.4549,38.57567
234.59375,-120.094,38.62627
294.14844,-120.5208,38.8577
239.82812,-120.1582,38.90858
256.9375,-119.795,38.9581
253.26562,-120.223,39.19109
246.53906,-119.8581,39.24089
238.45312,-120.2885,39.4738
247.89844,-119.9218,39.5239
275.82812,-120.4549,38.57567
216.41406,-120.094,38.62627
272.89062,-120.5208,38.8577
237.78125,-120.1582,38.90858
241.80469,-119.795,38.9581
241.36719,-120.223,39.19109
247.17969,-119.8581,39.24089
235.52344,-120.2885,39.4738
256.10156,-119.9218,39.5239
289.0625,-120.4549,38.57567
227.54688,-120.094,38.62627
272.54688,-120.5208,38.8577
231.05469,-120.1582,38.90858
248.09375,-119.795,38.9581
244.32031,-120.223,39.19109
240.01562,-119.8581,39.24089
234.52344,-120.2885,39.4738
247.71875,-119.9218,39.5239
282.90625,-120.4549,38.57567
220.97656,-120.094,38.62627
274.25,-120.5208,38.8577
221.26562,-120.1582,38.90858
217.8125,-119.795,38.9581
235.67969,-120.223,39.19109
216.21094,-119.8581,39.24089
215.875,-120.2885,39.4738
213.17188,-119.9218,39.5239
334.01562,-120.4549,38.57567
290.3047,-120.094,38.62627
332.58594,-120.5208,38.8577
299.22656,-120.1582,38.90858
291.85938,-119.795,38.9581
303.03906,-120.223,39.19109
294.07812,-119.8581,39.24089
297.46094,-120.2885,39.4738
290.90625,-119.9218,39.5239
343.78906,-120.4549,38.57567
301.01562,-120.094,38.62627
339.98438,-120.5208,38.8577
310.90625,-120.1582,38.90858
313.0,-119.795,38.9581
316.21094,-120.223,39.19109
313.1797,-119.8581,39.24089
303.54688,-120.2885,39.4738
310.6953,-119.9218,39.5239
322.76562,-120.4549,38.57567
258.82812,-120.094,38.62627
318.8047,-120.5208,38.8577
268.45312,-120.1582,38.90858
267.4375,-119.795,38.9581
274.5625,-120.223,39.19109
267.4375,-119.8581,39.24089
254.07812,-120.2885,39.4738
268.59375,-119.9218,39.5239
321.71875,-120.4549,38.57567
260.83594,-120.094,38.62627
311.03906,-120.5208,38.8577
270.2578,-120.1582,38.90858
274.2422,-119.795,38.9581
278.89844,-120.223,39.19109
269.9297,-119.8581,39.24089
261.1172,-120.2885,39.4738
265.3125,-119.9218,39.5239
311.34375,-120.4549,38.57567
220.97656,-120.094,38.62627
321.0,-120.5208,38.8577
245.47656,-120.1582,38.90858
235.0625,-119.795,38.9581
266.41406,-120.223,39.19109
253.07812,-119.8581,39.24089
255.35156,-120.2885,39.4738
276.4375,-119.9218,39.5239
288.15625,-120.4549,38.57567
213.59375,-120.094,38.62627
289.75,-120.5208,38.8577
224.28906,-120.1582,38.90858
221.4375,-119.795,38.9581
242.08594,-120.223,39.19109
223.50781,-119.8581,39.24089
222.6875,-120.2885,39.4738
235.64062,-119.9218,39.5239
333.125,-120.4549,38.57567
256.28125,-120.094,38.62627
323.5547,-120.5208,38.8577
262.07812,-120.1582,38.90858
241.27344,-119.795,38.9581
290.17188,-120.223,39.19109
245.45312,-119.8581,39.24089
257.10938,-120.2885,39.4738
259.85156,-119.9218,39.5239
320.28906,-120.4549,38.57567
260.76562,-120.094,38.62627
316.03125,-120.5208,38.8577
280.04688,-120.1582,38.90858
273.70312,-119.795,38.9581
293.1328,-120.223,39.19109
292.96875,-119.8581,39.24089
282.72656,-120.2885,39.4738
308.90625,-119.9218,39.5239
244.6875,-120.4549,38.57567
179.84375,-120.094,38.62627
236.13281,-120.5208,38.8577
186.39062,-120.1582,38.90858
191.51562,-119.795,38.9581
200.64844,-120.223,39.19109
192.50781,-119.8581,39.24089
185.57812,-120.2885,39.4738
212.5,-119.9218,39.5239
247.80469,-120.4549,38.57567
193.60938,-120.094,38.62627
244.64844,-120.5208,38.8577
201.89844,-120.1582,38.90858
199.41406,-119.795,38.9581
212.58594,-120.223,39.19109
202.86719,-119.8581,39.24089
200.29688,-120.2885,39.4738
215.86719,-119.9218,39.5239
316.84375,-120.4549,38.57567
231.67969,-120.094,38.62627
316.71875,-120.5208,38.8577
243.32812,-120.1582,38.90858
241.83594,-119.795,38.9581
276.78906,-120.223,39.19109
245.49219,-119.8581,39.24089
245.45312,-120.2885,39.4738
261.47656,-119.9218,39.5239
344.9453,-120.4549,38.57567
270.67188,-120.094,38.62627
344.09375,-120.5208,38.8577
295.8047,-120.1582,38.90858
294.14844,-119.795,38.9581
311.57812,-120.223,39.19109
296.67188,-119.8581,39.24089
291.32812,-120.2885,39.4738
307.75,-119.9218,39.5239
322.3047,-120.4549,38.57567
281.39062,-120.094,38.62627
319.28906,-120.5208,38.8577
287.84375,-120.1582,38.90858
288.85156,-119.795,38.9581
297.07812,-120.223,39.19109
287.90625,-119.8581,39.24089
286.1797,-120.2885,39.4738
301.3672,-119.9218,39.5239
303.21094,-120.4549,38.57567
232.33594,-120.094,38.62627
304.73438,-120.5208,38.8577
254.78906,-120.1582,38.90858
258.0,-119.795,38.9581
272.5625,-120.223,39.19109
258.64062,-119.8581,39.24089
248.17969,-120.2885,39.4738
267.5703,-119.9218,39.5239
270.53906,-120.4549,38.57567
204.53906,-120.094,38.62627
278.4375,-120.5208,38.8577
212.99219,-120.1582,38.90858
232.85156,-119.795,38.9581
238.08594,-120.223,39.19109
230.42188,-119.8581,39.24089
217.01562,-120.2885,39.4738
244.59375,-119.9218,39.5239
220.32031,-120.4549,38.57567
