rcq,lon,lat
0.76375,-120.4549,38.57567
0.82874995,-120.094,38.62627
0.77,-120.5208,38.8577
0.82874995,-120.1582,38.90858
0.85249996,-119.795,38.9581
0.8325,-120.223,39.19109
0.87125,-119.8581,39.24089
0.8625,-120.2885,39.4738
0.88624996,-119.9218,39.5239
0.82375,-120.4549,38.57567
0.92,-120.094,38.62627
0.84,-120.5208,38.8577
0.92499995,-120.1582,38.90858
0.93125,-119.795,38.9581
0.915,-120.223,39.19109
0.94374996,-119.8581,39.24089
0.93999994,-120.2885,39.4738
0.9275,-119.9218,39.5239
0.9275,-120.4549,38.57567
0.97749996,-120.094,38.62627
0.9412501,-120.5208,38.8577
0.9725001,-120.1582,38.90858
0.96,-119.795,38.9581
0.98,-120.223,39.19109
0.96000004,-119.8581,39.24089
0.9775001,-120.2885,39.4738
0.94125,-119.9218,39.5239
0.94625,-120.4549,38.57567
0.9775001,-120.094,38.62627
0.96250004,-120.5208,38.8577
0.97625005,-120.1582,38.90858
0.9675,-119.795,38.9581
0.98249996,-120.223,39.19109
0.965,-119.8581,39.24089
0.98,-120.2885,39.4738
0.95875,-119.9218,39.5239
0.935,-120.4549,38.57567
0.98249996,-120.094,38.62627
0.93500006,-120.5208,38.8577
0.98125005,-120.1582,38.90858
0.98,-119.795,38.9581
0.9687501,-120.223,39.19109
0.98,-119.8581,39.24089
0.9825,-120.2885,39.4738
0.9775001,-119.9218,39.5239
0.915,-120.4549,38.57567
0.96125,-120.094,38.62627
0.91625,-120.5208,38.8577
0.9625,-120.1582,38.90858
0.9625001,-119.795,38.9581
0.96000004,-120.223,39.19109
0.96375,-119.8581,39.24089
0.96624994,-120.2885,39.4738
0.95875,-119.9218,39.5239
0.9525001,-120.4549,38.57567
0.98625004,-120.094,38.62627
0.95624995,-120.5208,38.8577
0.98375,-120.1582,38.90858
0.97875,-119.795,38.9581
0.98,-120.223,39.19109
0.98,-119.8581,39.24089
0.985,-120.2885,39.4738
0.97249997,-119.9218,39.5239
0.97875,-120.4549,38.57567
0.99625003,-120.094,38.62627
0.9775001,-120.5208,38.8577
0.99249995,-120.1582,38.90858
0.99125004,-119.795,38.9581
0.98625,-120.223,39.19109
0.9875001,-119.8581,39.24089
0.99,-120.2885,39.4738
0.98875,-119.9218,39.5239
0.93149996,-120.4549,38.57567
0.95350003,-120.094,38.62627
0.93037504,-120.5208,38.8577
0.946,-120.1582,38.90858
0.960875,-119.795,38.9581
0.958625,-120.223,39.19109
0.95337504,-119.8581,39.24089
0.95199996,-120.2885,39.4738
0.97637504,-119.9218,39.5239
0.8937501,-120.4549,38.57567
0.91999996,-120.094,38.62627
0.90125006,-120.5208,38.8577
0.90749997,-120.1582,38.90858
0.9425,-119.795,38.9581
0.93375003,-120.223,39.19109
0.93875,-119.8581,39.24089
0.9175,-120.2885,39.4738
0.96625,-119.9218,39.5239
0.94750005,-120.4549,38.57567
0.97625005,-120.094,38.62627
0.95875,-120.5208,38.8577
0.97624993,-120.1582,38.90858
0.98375,-119.795,38.9581
0.98,-120.223,39.19109
0.9812499,-119.8581,39.24089
0.98625,-120.2885,39.4738
