tcdc,lon,lat
7.625,-120.4549,38.57567
6.25,-120.094,38.62627
7.875,-120.5208,38.8577
6.625,-120.1582,38.90858
5.375,-119.795,38.9581
6.625,-120.223,39.19109
6.125,-119.8581,39.24089
6.75,-120.2885,39.4738
23.875,-119.9218,39.5239
39.75,-120.4549,38.57567
34.0,-120.094,38.62627
40.25,-120.5208,38.8577
37.375,-120.1582,38.90858
34.75,-119.795,38.9581
38.625,-120.223,39.19109
37.625,-119.8581,39.24089
41.5,-120.2885,39.4738
53.25,-119.9218,39.5239
97.5,-120.4549,38.57567
98.375,-120.094,38.62627
95.75,-120.5208,38.8577
91.0,-120.1582,38.90858
84.875,-119.795,38.9581
87.0,-120.223,39.19109
86.375,-119.8581,39.24089
74.875,-120.2885,39.4738
67.5,-119.9218,39.5239
80.25,-120.4549,38.57567
78.0,-120.094,38.62627
82.25,-120.5208,38.8577
85.5,-120.1582,38.90858
82.875,-119.795,38.9581
83.75,-120.223,39.19109
87.875,-119.8581,39.24089
79.5,-120.2885,39.4738
80.0,-119.9218,39.5239
93.75,-120.4549,38.57567
96.75,-120.094,38.62627
91.25,-120.5208,38.8577
89.625,-120.1582,38.90858
90.75,-119.795,38.9581
82.75,-120.223,39.19109
88.75,-119.8581,39.24089
72.75,-120.2885,39.4738
74.75,-119.9218,39.5239
80.75,-120.4549,38.57567
59.0,-120.094,38.62627
77.625,-120.5208,38.8577
60.25,-120.1582,38.90858
53.125,-119.795,38.9581
60.125,-120.223,39.19109
54.5,-119.8581,39.24089
53.625,-120.2885,39.4738
47.75,-119.9218,39.5239
99.5,-120.4549,38.57567
94.875,-120.094,38.62627
99.625,-120.5208,38.8577
95.25,-120.1582,38.90858
95.25,-119.795,38.9581
95.0,-120.223,39.19109
95.375,-119.8581,39.24089
91.0,-120.2885,39.4738
93.0,-119.9218,39.5239
99.375,-120.4549,38.57567
99.375,-120.094,38.62627
97.5,-120.5208,38.8577
99.0,-120.1582,38.90858
99.75,-119.795,38.9581
95.75,-120.223,39.19109
99.75,-119.8581,39.24089
93.125,-120.2885,39.4738
95.0,-119.9218,39.5239
71.0,-120.4549,38.57567
52.0,-120.094,38.62627
68.0,-120.5208,38.8577
60.375,-120.1582,38.90858
54.125,-119.795,38.9581
58.875,-120.223,39.19109
55.875,-119.8581,39.24089
50.5,-120.2885,39.4738
57.0,-119.9218,39.5239
84.125,-120.4549,38.57567
81.375,-120.094,38.62627
82.125,-120.5208,38.8577
80.125,-120.1582,38.90858
79.0,-119.795,38.9581
78.875,-120.223,39.19109
77.5,-119.8581,39.24089
76.875,-120.2885,39.4738
74.375,-119.9218,39.5239
57.75,-120.4549,38.57567
30.25,-120.094,38.62627
64.625,-120.5208,38.8577
36.125,-120.1582,38.90858
28.125,-119.795,38.9581
45.875,-120.223,39.19109
37.875,-119.8581,39.24089
48.5,-120.2885,39.4738
46.125,-119.9218,39.5239
50.375,-120.4549,38.57567
27.125,-120.094,38.62627
52.625,-120.5208,38.8577
36.25,-120.1582,38.90858
35.5,-119.795,38.9581
41.0,-120.223,39.19109
39.75,-119.8581,39.24089
45.0,-120.2885,39.4738
46.5,-119.9218,39.5239
94.625,-120.4549,38.57567
67.25,-120.094,38.62627
94.875,-120.5208,38.8577
61.75,-120.1582,38.90858
33.25,-119.795,38.9581
64.5,-120.223,39.19109
41.375,-119.8581,39.24089
59.875,-120.2885,39.4738
42.5,-119.9218,39.5239
84.875,-120.4549,38.57567
81.0,-120.094,38.62627
90.25,-120.5208,38.8577
87.25,-120.1582,38.90858
84.5,-119.795,38.9581
88.125,-120.223,39.19109
87.25,-119.8581,39.24089
84.5,-120.2885,39.4738
88.625,-119.9218,39.5239
2.0,-120.4549,38.57567
1.625,-120.094,38.62627
2.125,-120.5208,38.8577
1.375,-120.1582,38.90858
1.75,-119.795,38.9581
1.75,-120.223,39.19109
1.5,-119.8581,39.24089
2.0,-120.2885,39.4738
1.875,-119.9218,39.5239
40.125,-120.4549,38.57567
34.75,-120.094,38.62627
40.75,-120.5208,38.8577
35.25,-120.1582,38.90858
31.125,-119.795,38.9581
34.375,-120.223,39.19109
31.875,-119.8581,39.24089
33.75,-120.2885,39.4738
32.5,-119.9218,39.5239
81.75,-120.4549,38.57567
51.75,-120.094,38.62627
86.125,-120.5208,38.8577
62.5,-120.1582,38.90858
52.375,-119.795,38.9581
65.75,-120.223,39.19109
56.75,-119.8581,39.24089
67.0,-120.2885,39.4738
61.5,-119.9218,39.5239
93.625,-120.4549,38.57567
71.0,-120.094,38.62627
95.75,-120.5208,38.8577
84.625,-120.1582,38.90858
68.75,-119.795,38.9581
84.75,-120.223,39.19109
73.375,-119.8581,39.24089
82.25,-120.2885,39.4738
77.875,-119.9218,39.5239
95.125,-120.4549,38.57567
89.375,-120.094,38.62627
95.25,-120.5208,38.8577
90.875,-120.1582,38.90858
88.5,-119.795,38.9581
92.625,-120.223,39.19109
89.875,-119.8581,39.24089
95.375,-120.2885,39.4738
95.125,-119.9218,39.5239
78.125,-120.4549,38.57567
54.5,-120.094,38.62627
78.75,-120.5208,38.8577
67.0,-120.1582,38.90858
57.25,-119.795,38.9581
64.375,-120.223,39.19109
60.375,-119.8581,39.24089
60.125,-120.2885,39.4738
60.5,-119.9218,39.5239
51.125,-120.4549,38.57567
39.875,-120.094,38.62627
57.75,-120.5208,38.8577
43.0,-120.1582,38.90858
46.375,-119.795,38.9581
47.5,-120.223,39.19109
49.375,-119.8581,39.24089
52.375,-120.2885,39.4738
53.0,-119.9218,39.5239
8.375,-120.4549,38.57567
5.25,-120.094,38.62627
6.625,-120.5208,38.8577
5.0,-120.1582,38.90858
4.375,-119.795,38.9581
4.75,-120.223,39.19109
4.5,-119.8581,39.24089
4.875,-120.2885,39.4738
4.75,-119.9218,39.5239
53.25,-120.4549,38.57567
53.625,-120.094,38.62627
52.625,-120.5208,38.8577
50.75,-120.1582,38.90858
51.0,-119.795,38.9581
50.25,-120.223,39.19109
50.875,-119.8581,39.24089
53.0,-120.2885,39.4738
51.25,-119.9218,39.5239
85.25,-120.4549,38.57567
46.5,-120.094,38.62627
87.625,-120.5208,38.8577
59.25,-120.1582,38.90858
55.0,-119.795,38.9581
68.875,-120.223,39.19109
62.5,-119.8581,39.24089
65.375,-120.2885,39.4738
64.625,-119.9218,39.5239
72.25,-120.4549,38.57567
41.0,-120.094,38.62627
78.125,-120.5208,38.8577
51.0,-120.1582,38.90858
36.375,-119.795,38.9581
