hgt,lon,lat
11412.756,-120.4549,38.57567
11450.256,-120.094,38.62627
11335.256,-120.5208,38.8577
11499.006,-120.1582,38.90858
11414.006,-119.795,38.9581
11345.256,-120.223,39.19109
11430.256,-119.8581,39.24089
11202.756,-120.2885,39.4738
11196.506,-119.9218,39.5239
11521.287,-120.4549,38.57567
11392.537,-120.094,38.62627
11517.537,-120.5208,38.8577
11332.537,-120.1582,38.90858
11156.287,-119.795,38.9581
11187.537,-120.223,39.19109
11057.537,-119.8581,39.24089
11065.037,-120.2885,39.4738
10986.287,-119.9218,39.5239
8768.639,-120.4549,38.57567
8923.639,-120.094,38.62627
8672.389,-120.5208,38.8577
8787.389,-120.1582,38.90858
9116.139,-119.795,38.9581
8927.389,-120.223,39.19109
9042.389,-119.8581,39.24089
8949.889,-120.2885,39.4738
8913.639,-119.9218,39.5239
7444.134,-120.4549,38.57567
7480.384,-120.094,38.62627
7447.884,-120.5208,38.8577
7472.884,-120.1582,38.90858
7502.884,-119.795,38.9581
7489.134,-120.223,39.19109
7546.634,-119.8581,39.24089
7529.134,-120.2885,39.4738
7540.384,-119.9218,39.5239
7087.341,-120.4549,38.57567
7306.091,-120.094,38.62627
7074.841,-120.5208,38.8577
7281.091,-120.1582,38.90858
7373.5903,-119.795,38.9581
7316.091,-120.223,39.19109
7412.3403,-119.8581,39.24089
7314.841,-120.2885,39.4738
7399.8403,-119.9218,39.5239
11458.139,-120.4549,38.57567
11468.139,-120.094,38.62627
11498.139,-120.5208,38.8577
11451.889,-120.1582,38.90858
11226.889,-119.795,38.9581
11119.389,-120.223,39.19109
10783.139,-119.8581,39.24089
10744.389,-120.2885,39.4738
10594.389,-119.9218,39.5239
11737.527,-120.4549,38.57567
11802.527,-120.094,38.62627
11710.027,-120.5208,38.8577
11732.527,-120.1582,38.90858
11791.277,-119.795,38.9581
11656.277,-120.223,39.19109
11718.777,-119.8581,39.24089
11588.777,-120.2885,39.4738
11642.527,-119.9218,39.5239
11472.389,-120.4549,38.57567
11478.639,-120.094,38.62627
11421.139,-120.5208,38.8577
11472.389,-120.1582,38.90858
11477.389,-119.795,38.9581
11359.889,-120.223,39.19109
11459.889,-119.8581,39.24089
11259.889,-120.2885,39.4738
11322.389,-119.9218,39.5239
12386.333,-120.4549,38.57567
12480.083,-120.094,38.62627
11985.083,-120.5208,38.8577
12010.083,-120.1582,38.90858
12172.583,-119.795,38.9581
12132.583,-120.223,39.19109
12206.333,-119.8581,39.24089
12033.833,-120.2885,39.4738
12076.333,-119.9218,39.5239
11470.643,-120.4549,38.57567
11733.143,-120.094,38.62627
11619.393,-120.5208,38.8577
11731.893,-120.1582,38.90858
11731.893,-119.795,38.9581
11541.893,-120.223,39.19109
11676.893,-119.8581,39.24089
11509.393,-120.2885,39.4738
11583.143,-119.9218,39.5239
11052.138,-120.4549,38.57567
10915.888,-120.094,38.62627
11103.388,-120.5208,38.8577
11019.638,-120.1582,38.90858
10953.388,-119.795,38.9581
11038.388,-120.223,39.19109
10969.638,-119.8581,39.24089
11075.888,-120.2885,39.4738
10978.388,-119.9218,39.5239
11960.607,-120.4549,38.57567
11956.857,-120.094,38.62627
11845.607,-120.5208,38.8577
11883.107,-120.1582,38.90858
11921.857,-119.795,38.9581
11838.107,-120.223,39.19109
11844.357,-119.8581,39.24089
11831.857,-120.2885,39.4738
11834.357,-119.9218,39.5239
11313.4375,-120.4549,38.57567
11387.1875,-120.094,38.62627
11302.1875,-120.5208,38.8577
11695.9375,-120.1582,38.90858
12068.4375,-119.795,38.9581
11610.9375,-120.223,39.19109
12342.1875,-119.8581,39.24089
11444.6875,-120.2885,39.4738
11602.1875,-119.9218,39.5239
10128.289,-120.4549,38.57567
10960.789,-120.094,38.62627
10029.539,-120.5208,38.8577
10349.539,-120.1582,38.90858
11264.539,-119.795,38.9581
10400.789,-120.223,39.19109
10632.039,-119.8581,39.24089
10528.289,-120.2885,39.4738
10544.539,-119.9218,39.5239
11084.534,-120.4549,38.57567
11084.534,-120.094,38.62627
11184.534,-120.5208,38.8577
11085.784,-120.1582,38.90858
11078.284,-119.795,38.9581
11158.284,-120.223,39.19109
11088.284,-119.8581,39.24089
11244.534,-120.2885,39.4738
11214.534,-119.9218,39.5239
12704.656,-120.4549,38.57567
12749.656,-120.094,38.62627
12702.156,-120.5208,38.8577
12748.406,-120.1582,38.90858
12743.406,-119.795,38.9581
12744.656,-120.223,39.19109
12742.156,-119.8581,39.24089
12742.156,-120.2885,39.4738
12738.406,-119.9218,39.5239
11882.867,-120.4549,38.57567
11882.867,-120.094,38.62627
11800.367,-120.5208,38.8577
11867.867,-120.1582,38.90858
11830.367,-119.795,38.9581
11804.117,-120.223,39.19109
11881.617,-119.8581,39.24089
11682.867,-120.2885,39.4738
11697.867,-119.9218,39.5239
14546.697,-120.4549,38.57567
14434.197,-120.094,38.62627
14130.447,-120.5208,38.8577
14132.947,-120.1582,38.90858
14049.197,-119.795,38.9581
13966.697,-120.223,39.19109
13921.697,-119.8581,39.24089
13911.697,-120.2885,39.4738
13766.697,-119.9218,39.5239
15090.985,-120.4549,38.57567
15082.235,-120.094,38.62627
15083.485,-120.5208,38.8577
15075.985,-120.1582,38.90858
15170.985,-119.795,38.9581
15315.984,-120.223,39.19109
15825.983,-119.8581,39.24089
15480.983,-120.2885,39.4738
15563.483,-119.9218,39.5239
13219.691,-120.4549,38.57567
13048.441,-120.094,38.62627
13220.941,-120.5208,38.8577
13064.691,-120.1582,38.90858
12885.941,-119.795,38.9581
12598.441,-120.223,39.19109
12523.441,-119.8581,39.24089
12423.441,-120.2885,39.4738
12433.441,-119.9218,39.5239
11378.115,-120.4549,38.57567
11323.115,-120.094,38.62627
11060.615,-120.5208,38.8577
10951.865,-120.1582,38.90858
10895.615,-119.795,38.9581
10671.865,-120.223,39.19109
10561.865,-119.8581,39.24089
10408.115,-120.2885,39.4738
10759.365,-119.9218,39.5239
10896.898,-120.4549,38.57567
10889.398,-120.094,38.62627
10886.898,-120.5208,38.8577
10876.898,-120.1582,38.90858
10835.648,-119.795,38.9581
10846.898,-120.223,39.19109
10778.148,-119.8581,39.24089
10786.898,-120.2885,39.4738
10773.148,-119.9218,39.5239
11807.955,-120.4549,38.57567
11802.955,-120.094,38.62627
11804.205,-120.5208,38.8577
11796.705,-120.1582,38.90858
11791.705,-119.795,38.9581
11790.455,-120.223,39.19109
11784.205,-119.8581,39.24089
11786.705,-120.2885,39.4738
11779.205,-119.9218,39.5239
10114.037,-120.4549,38.57567
10244.037,-120.094,38.62627
10165.287,-120.5208,38.8577
10180.287,-120.1582,38.90858
10246.537,-119.795,38.9581
10142.787,-120.223,39.19109
10242.787,-119.8581,39.24089
10042.787,-120.2885,39.4738
10110.287,-119.9218,39.5239
10878.009,-120.4549,38.57567
10871.759,-120.094,38.62627
10873.009,-120.5208,38.8577
10811.759,-120.1582,38.90858
10786.759,-119.795,38.9581
10819.259,-120.223,39.19109
10783.009,-119.8581,39.24089
10813.009,-120.2885,39.4738
10776.759,-119.9218,39.5239
12385.915,-120.4549,38.57567
12372.165,-120.094,38.62627
12380.915,-120.5208,38.8577
12365.915,-120.1582,38.90858
12264.665,-119.795,38.9581
12290.915,-120.223,39.19109
12263.415,-119.8581,39.24089
12260.915,-120.2885,39.4738
12244.665,-119.9218,39.5239
12524.145,-120.4549,38.57567
12529.145,-120.094,38.62627
12456.645,-120.5208,38.8577
12526.645,-120.1582,38.90858
12599.145,-119.795,38.9581
12470.395,-120.223,39.19109
12529.145,-119.8581,39.24089
12470.395,-120.2885,39.4738
12534.145,-119.9218,39.5239
10922.967,-120.4549,38.57567
11089.217,-120.094,38.62627
10897.967,-120.5208,38.8577
11077.967,-120.1582,38.90858
11146.717,-119.795,38.9581
11032.967,-120.223,39.19109
11137.967,-119.8581,39.24089
11001.717,-120.2885,39.4738
11117.967,-119.9218,39.5239
9909.24,-120.4549,38.57567
10032.99,-120.094,38.62627
9827.99,-120.5208,38.8577
9907.99,-120.1582,38.90858
10017.99,-119.795,38.9581
9862.99,-120.223,39.19109
9925.49,-119.8581,39.24089
9831.74,-120.2885,39.4738
9870.49,-119.9218,39.5239
9677.332,-120.4549,38.57567
9789.832,-120.094,38.62627
9774.832,-120.5208,38.8577
9784.832,-120.1582,38.90858
9723.582,-119.795,38.9581
9782.332,-120.223,39.19109
9772.332,-119.8581,39.24089
9782.332,-120.2885,39.4738
9738.582,-119.9218,39.5239
9307.558,-120.4549,38.57567
9325.058,-120.094,38.62627
9303.808,-120.5208,38.8577
9321.308,-120.1582,38.90858
9322.558,-119.795,38.9581
9317.558,-120.223,39.19109
9321.308,-119.8581,39.24089
9317.558,-120.2885,39.4738
9313.808,-119.9218,39.5239
8980.756,-120.4549,38.57567
8945.756,-120.094,38.62627
8977.006,-120.5208,38.8577
8937.006,-120.1582,38.90858
8933.256,-119.795,38.9581
8982.006,-120.223,39.19109
8929.506,-119.8581,39.24089
8978.256,-120.2885,39.4738
8940.756,-119.9218,39.5239
10412.322,-120.4549,38.57567
10401.072,-120.094,38.62627
10454.822,-120.5208,38.8577
10398.572,-120.1582,38.90858
10273.572,-119.795,38.9581
10402.322,-120.223,39.19109
10384.822,-119.8581,39.24089
10433.572,-120.2885,39.4738
10321.072,-119.9218,39.5239
11226.525,-120.4549,38.57567
11210.275,-120.094,38.62627
11321.525,-120.5208,38.8577
11210.275,-120.1582,38.90858
11195.275,-119.795,38.9581
11246.525,-120.223,39.19109
11199.025,-119.8581,39.24089
11276.525,-120.2885,39.4738
11196.525,-119.9218,39.5239
10873.987,-120.4549,38.57567
10925.237,-120.094,38.62627
10865.237,-120.5208,38.8577
10912.737,-120.1582,38.90858
10938.987,-119.795,38.9581
10900.237,-120.223,39.19109
10933.987,-119.8581,39.24089
10900.237,-120.2885,39.4738
10930.237,-119.9218,39.5239
9883.207,-120.4549,38.57567
9943.207,-120.094,38.62627
9990.707,-120.5208,38.8577
9941.957,-120.1582,38.90858
9940.707,-119.795,38.9581
9998.207,-120.223,39.19109
9945.707,-119.8581,39.24089
