vwnd,lon,lat
-3.526987,-120.4549,38.57567
-1.8101902,-120.094,38.62627
-3.7262058,-120.5208,38.8577
-1.806284,-120.1582,38.90858
-3.1129246,-119.795,38.9581
-4.2047215,-120.223,39.19109
-3.917612,-119.8581,39.24089
-3.2408543,-120.2885,39.4738
-3.915659,-119.9218,39.5239
-3.7370353,-120.4549,38.57567
-0.1559807,-120.094,38.62627
-2.0182853,-120.5208,38.8577
-0.15500414,-120.1582,38.90858
-0.61105883,-119.795,38.9581
-0.9870354,-120.223,39.19109
-1.021215,-119.8581,39.24089
-0.6120354,-120.2885,39.4738
-1.0202384,-119.9218,39.5239
7.7483788,-120.4549,38.57567
3.536465,-120.094,38.62627
9.819668,-120.5208,38.8577
3.5374415,-120.1582,38.90858
8.0413475,-119.795,38.9581
7.231777,-120.223,39.19109
9.89584,-119.8581,39.24089
4.3694725,-120.2885,39.4738
9.902676,-119.9218,39.5239
2.8054292,-120.4549,38.57567
0.22828078,-120.094,38.62627
2.7907808,-120.5208,38.8577
0.22730422,-120.1582,38.90858
1.7468355,-119.795,38.9581
0.37671828,-120.223,39.19109
2.051523,-119.8581,39.24089
-0.6525786,-120.2885,39.4738
2.0524995,-119.9218,39.5239
-0.27360916,-120.4549,38.57567
-0.6163826,-120.094,38.62627
0.096508026,-120.5208,38.8577
-0.6163826,-120.1582,38.90858
-0.39372635,-119.795,38.9581
-1.9835701,-120.223,39.19109
-0.7755623,-119.8581,39.24089
-1.6359138,-120.2885,39.4738
-0.77360916,-119.9218,39.5239
4.0349693,-120.4549,38.57567
1.6921959,-120.094,38.62627
4.1062584,-120.5208,38.8577
1.6921959,-120.1582,38.90858
3.2107506,-119.795,38.9581
2.575985,-120.223,39.19109
3.7615318,-119.8581,39.24089
1.6521568,-120.2885,39.4738
3.7644615,-119.9218,39.5239
11.828404,-120.4549,38.57567
2.4739125,-120.094,38.62627
13.86942,-120.5208,38.8577
2.4719594,-120.1582,38.90858
7.233678,-119.795,38.9581
6.1028185,-120.223,39.19109
8.840123,-119.8581,39.24089
3.6799672,-120.2885,39.4738
8.842076,-119.9218,39.5239
9.840716,-120.4549,38.57567
0.78114605,-120.094,38.62627
11.62099,-120.5208,38.8577
0.78114605,-120.1582,38.90858
3.7938414,-119.795,38.9581
3.6903257,-120.223,39.19109
4.571185,-119.8581,39.24089
1.8182554,-120.2885,39.4738
4.573138,-119.9218,39.5239
2.5261588,-120.4549,38.57567
0.8738153,-120.094,38.62627
3.0759635,-120.5208,38.8577
0.8738153,-120.1582,38.90858
2.0847528,-119.795,38.9581
1.36112,-120.223,39.19109
2.2937372,-119.8581,39.24089
1.4206903,-120.2885,39.4738
2.291784,-119.9218,39.5239
3.1137066,-120.4549,38.57567
1.0931988,-120.094,38.62627
2.4555035,-120.5208,38.8577
1.0912457,-120.1582,38.90858
1.1898785,-119.795,38.9581
2.338316,-120.223,39.19109
1.4594097,-119.8581,39.24089
0.56487846,-120.2885,39.4738
1.4574566,-119.9218,39.5239
3.8064327,-120.4549,38.57567
1.2517452,-120.094,38.62627
3.8318233,-120.5208,38.8577
1.2517452,-120.1582,38.90858
2.1980343,-119.795,38.9581
0.9890499,-120.223,39.19109
2.1980343,-119.8581,39.24089
0.4265499,-120.2885,39.4738
2.1999874,-119.9218,39.5239
6.2139053,-120.4549,38.57567
2.333046,-120.094,38.62627
7.3183975,-120.5208,38.8577
2.3359756,-120.1582,38.90858
4.018593,-119.795,38.9581
3.2832413,-120.223,39.19109
4.609413,-119.8581,39.24089
2.214882,-120.2885,39.4738
4.609413,-119.9218,39.5239
11.458633,-120.4549,38.57567
3.0406647,-120.094,38.62627
13.227188,-120.5208,38.8577
3.0406647,-120.1582,38.90858
9.190079,-119.795,38.9581
8.059219,-120.223,39.19109
11.724258,-119.8581,39.24089
4.3932037,-120.2885,39.4738
11.729141,-119.9218,39.5239
6.1025963,-120.4549,38.57567
1.9707603,-120.094,38.62627
5.5488853,-120.5208,38.8577
1.9717369,-120.1582,38.90858
5.1738853,-119.795,38.9581
3.6807213,-120.223,39.19109
5.8565025,-119.8581,39.24089
0.75689316,-120.2885,39.4738
5.859432,-119.9218,39.5239
-2.4510403,-120.4549,38.57567
0.67395985,-120.094,38.62627
-2.4412746,-120.5208,38.8577
0.6749364,-120.1582,38.90858
-0.9608058,-119.795,38.9581
-0.4940089,-120.223,39.19109
-1.2156886,-119.8581,39.24089
-0.3846339,-120.2885,39.4738
-1.2176417,-119.9218,39.5239
0.081258774,-120.4549,38.57567
2.297079,-120.094,38.62627
0.38887596,-120.5208,38.8577
2.2990322,-120.1582,38.90858
1.3830166,-119.795,38.9581
2.3742275,-120.223,39.19109
1.5353603,-119.8581,39.24089
1.2218838,-120.2885,39.4738
1.53829,-119.9218,39.5239
3.1431065,-120.4549,38.57567
2.2026768,-120.094,38.62627
3.3843174,-120.5208,38.8577
2.20463,-120.1582,38.90858
4.572794,-119.795,38.9581
2.793497,-120.223,39.19109
5.302286,-119.8581,39.24089
1.5757236,-120.2885,39.4738
5.3042393,-119.9218,39.5239
4.5484333,-120.4549,38.57567
3.2906208,-120.094,38.62627
5.64023,-120.5208,38.8577
3.2915974,-120.1582,38.90858
6.5796833,-119.795,38.9581
4.8941364,-120.223,39.19109
7.7105427,-119.8581,39.24089
2.3316364,-120.2885,39.4738
7.7173786,-119.9218,39.5239
1.0516205,-120.4549,38.57567
2.137558,-120.094,38.62627
2.8191986,-120.5208,38.8577
2.139511,-120.1582,38.90858
4.405136,-119.795,38.9581
2.5379486,-120.223,39.19109
5.3416595,-119.8581,39.24089
1.1483002,-120.2885,39.4738
5.347519,-119.9218,39.5239
2.5577774,-120.4549,38.57567
0.942543,-120.094,38.62627
3.654457,-120.5208,38.8577
0.9454727,-120.1582,38.90858
3.6193008,-119.795,38.9581
0.72086334,-120.223,39.19109
3.6622696,-119.8581,39.24089
-1.2478867,-120.2885,39.4738
3.6671524,-119.9218,39.5239
-0.27170372,-120.4549,38.57567
0.30446815,-120.094,38.62627
0.95290565,-120.5208,38.8577
0.30642128,-120.1582,38.90858
0.032007217,-119.795,38.9581
-1.2951412,-120.223,39.19109
-0.5041256,-119.8581,39.24089
-1.8263912,-120.2885,39.4738
-0.50217247,-119.9218,39.5239
-2.558693,-120.4549,38.57567
0.49697113,-120.094,38.62627
-2.8125992,-120.5208,38.8577
0.4979477,-120.1582,38.90858
-0.9034195,-119.795,38.9581
0.22255707,-120.223,39.19109
-0.69638824,-119.8581,39.24089
0.29286957,-120.2885,39.4738
-0.69931793,-119.9218,39.5239
3.842369,-120.4549,38.57567
1.755455,-120.094,38.62627
3.5952988,-120.5208,38.8577
1.7544785,-120.1582,38.90858
2.779869,-119.795,38.9581
3.9947128,-120.223,39.19109
4.001549,-119.8581,39.24089
2.2388535,-120.2885,39.4738
4.0025253,-119.9218,39.5239
7.1206303,-120.4549,38.57567
1.2846928,-120.094,38.62627
7.980982,-120.5208,38.8577
1.2846928,-120.1582,38.90858
4.5639896,-119.795,38.9581
3.469263,-120.223,39.19109
5.931177,-119.8581,39.24089
2.2446537,-120.2885,39.4738
5.9321537,-119.9218,39.5239
3.4042492,-120.4549,38.57567
2.174757,-120.094,38.62627
4.404249,-120.5208,38.8577
2.1776867,-120.1582,38.90858
3.2558117,-119.795,38.9581
2.6083508,-120.223,39.19109
4.375929,-119.8581,39.24089
2.558546,-120.2885,39.4738
4.377882,-119.9218,39.5239
2.1904354,-120.4549,38.57567
2.7216854,-120.094,38.62627
2.6660213,-120.5208,38.8577
2.7236385,-120.1582,38.90858
3.2519588,-119.795,38.9581
3.0859432,-120.223,39.19109
4.8603573,-119.8581,39.24089
2.7216854,-120.2885,39.4738
4.8623104,-119.9218,39.5239
5.198683,-120.4549,38.57567
3.5053234,-120.094,38.62627
5.468214,-120.5208,38.8577
3.5072765,-120.1582,38.90858
5.608839,-119.795,38.9581
5.072706,-120.223,39.19109
8.4438,-119.8581,39.24089
3.6166515,-120.2885,39.4738
8.447706,-119.9218,39.5239
