wcvflx,lon,lat
-5125.6953,-120.4549,38.57567
-4188.1953,-120.094,38.62627
-4815.6953,-120.5208,38.8577
-4145.6953,-120.1582,38.90858
-3408.1953,-119.795,38.9581
-4120.6953,-120.223,39.19109
-3700.6953,-119.8581,39.24089
-4418.1953,-120.2885,39.4738
-4865.6953,-119.9218,39.5239
-18260.031,-120.4549,38.57567
-16620.031,-120.094,38.62627
-18152.531,-120.5208,38.8577
-17357.531,-120.1582,38.90858
-16380.031,-119.795,38.9581
-17657.531,-120.223,39.19109
-17020.031,-119.8581,39.24089
-18010.031,-120.2885,39.4738
-16800.031,-119.9218,39.5239
76540.92,-120.4549,38.57567
89770.92,-120.094,38.62627
74903.42,-120.5208,38.8577
77528.42,-120.1582,38.90858
70783.42,-119.795,38.9581
71818.42,-120.223,39.19109
65043.426,-119.8581,39.24089
70158.42,-120.2885,39.4738
59425.926,-119.9218,39.5239
33629.727,-120.4549,38.57567
33259.727,-120.094,38.62627
34237.227,-120.5208,38.8577
36104.727,-120.1582,38.90858
33909.727,-119.795,38.9581
35297.227,-120.223,39.19109
34819.727,-119.8581,39.24089
31842.229,-120.2885,39.4738
32414.729,-119.9218,39.5239
6921.373,-120.4549,38.57567
8241.373,-120.094,38.62627
6246.373,-120.5208,38.8577
6988.873,-120.1582,38.90858
7603.873,-119.795,38.9581
6251.373,-120.223,39.19109
6326.373,-119.8581,39.24089
5863.873,-120.2885,39.4738
6693.873,-119.9218,39.5239
19187.514,-120.4549,38.57567
13727.514,-120.094,38.62627
15875.014,-120.5208,38.8577
11672.514,-120.1582,38.90858
8290.014,-119.795,38.9581
8262.514,-120.223,39.19109
7127.5137,-119.8581,39.24089
8475.014,-120.2885,39.4738
6515.0137,-119.9218,39.5239
203352.08,-120.4549,38.57567
167119.58,-120.094,38.62627
212847.08,-120.5208,38.8577
167819.58,-120.1582,38.90858
128302.08,-119.795,38.9581
175517.08,-120.223,39.19109
133179.58,-119.8581,39.24089
174494.58,-120.2885,39.4738
136937.08,-119.9218,39.5239
206456.55,-120.4549,38.57567
172494.03,-120.094,38.62627
193386.55,-120.5208,38.8577
163426.53,-120.1582,38.90858
130949.02,-119.795,38.9581
153806.53,-120.223,39.19109
124409.02,-119.8581,39.24089
142029.03,-120.2885,39.4738
115781.52,-119.9218,39.5239
35924.117,-120.4549,38.57567
27414.115,-120.094,38.62627
30119.117,-120.5208,38.8577
24116.615,-120.1582,38.90858
20999.117,-119.795,38.9581
22566.615,-120.223,39.19109
20851.617,-119.8581,39.24089
18369.117,-120.2885,39.4738
18276.617,-119.9218,39.5239
66163.7,-120.4549,38.57567
54366.207,-120.094,38.62627
57206.207,-120.5208,38.8577
49966.207,-120.1582,38.90858
43771.207,-119.795,38.9581
42618.707,-120.223,39.19109
38356.207,-119.8581,39.24089
34251.207,-120.2885,39.4738
31156.207,-119.9218,39.5239
14032.566,-120.4549,38.57567
4527.5664,-120.094,38.62627
15660.066,-120.5208,38.8577
3967.5664,-120.1582,38.90858
