wcuflx,lon,lat
3723.789,-120.4549,38.57567
3216.289,-120.094,38.62627
3653.789,-120.5208,38.8577
3268.789,-120.1582,38.90858
2641.289,-119.795,38.9581
3121.289,-120.223,39.19109
2376.289,-119.8581,39.24089
3006.289,-120.2885,39.4738
3263.789,-119.9218,39.5239
35456.633,-120.4549,38.57567
31981.633,-120.094,38.62627
37181.633,-120.5208,38.8577
33901.633,-120.1582,38.90858
31059.133,-119.795,38.9581
36601.633,-120.223,39.19109
33184.133,-119.8581,39.24089
39446.633,-120.2885,39.4738
34084.133,-119.9218,39.5239
103376.266,-120.4549,38.57567
115408.766,-120.094,38.62627
98838.766,-120.5208,38.8577
103056.266,-120.1582,38.90858
94521.266,-119.795,38.9581
95266.266,-120.223,39.19109
86058.766,-119.8581,39.24089
89861.266,-120.2885,39.4738
78071.266,-119.9218,39.5239
6218.172,-120.4549,38.57567
9218.172,-120.094,38.62627
5305.672,-120.5208,38.8577
8955.672,-120.1582,38.90858
8255.672,-119.795,38.9581
6668.172,-120.223,39.19109
7118.172,-119.8581,39.24089
4018.1719,-120.2885,39.4738
4468.172,-119.9218,39.5239
9330.254,-120.4549,38.57567
12177.754,-120.094,38.62627
9277.754,-120.5208,38.8577
10800.254,-120.1582,38.90858
10550.254,-119.795,38.9581
9337.754,-120.223,39.19109
8437.754,-119.8581,39.24089
7552.754,-120.2885,39.4738
6925.254,-119.9218,39.5239
59937.047,-120.4549,38.57567
57449.547,-120.094,38.62627
54674.547,-120.5208,38.8577
54574.547,-120.1582,38.90858
48712.047,-119.795,38.9581
51412.047,-120.223,39.19109
45474.547,-119.8581,39.24089
46474.547,-120.2885,39.4738
41074.547,-119.9218,39.5239
149378.05,-120.4549,38.57567
144743.05,-120.094,38.62627
155865.53,-120.5208,38.8577
143768.05,-120.1582,38.90858
123070.55,-119.795,38.9581
143945.55,-120.223,39.19109
122668.05,-119.8581,39.24089
138865.55,-120.2885,39.4738
120008.05,-119.9218,39.5239
128169.69,-120.4549,38.57567
137247.19,-120.094,38.62627
125179.69,-120.5208,38.8577
128947.19,-120.1582,38.90858
117932.19,-119.795,38.9581
119304.69,-120.223,39.19109
109259.69,-119.8581,39.24089
109579.69,-120.2885,39.4738
99957.19,-119.9218,39.5239
21448.74,-120.4549,38.57567
22773.74,-120.094,38.62627
18748.74,-120.5208,38.8577
19811.24,-120.1582,38.90858
19823.74,-119.795,38.9581
17386.24,-120.223,39.19109
18661.24,-119.8581,39.24089
14473.74,-120.2885,39.4738
16711.24,-119.9218,39.5239
-2444.748,-120.4549,38.57567
230.25195,-120.094,38.62627
-3582.248,-120.5208,38.8577
-682.24805,-120.1582,38.90858
767.75195,-119.795,38.9581
-682.24805,-120.223,39.19109
1317.752,-119.8581,39.24089
617.75195,-120.2885,39.4738
2255.252,-119.9218,39.5239
23435.848,-120.4549,38.57567
19063.348,-120.094,38.62627
27845.848,-120.5208,38.8577
24740.848,-120.1582,38.90858
19133.348,-119.795,38.9581
29900.848,-120.223,39.19109
23915.848,-119.8581,39.24089
30328.348,-120.2885,39.4738
27035.848,-119.9218,39.5239
18455.96,-120.4549,38.57567
16885.96,-120.094,38.62627
20938.46,-120.5208,38.8577
18408.46,-120.1582,38.90858
16908.46,-119.795,38.9581
20363.46,-120.223,39.19109
17250.96,-119.8581,39.24089
21305.96,-120.2885,39.4738
17453.46,-119.9218,39.5239
83036.375,-120.4549,38.57567
82841.375,-120.094,38.62627
84553.875,-120.5208,38.8577
80298.875,-120.1582,38.90858
57166.383,-119.795,38.9581
83018.875,-120.223,39.19109
55908.883,-119.8581,39.24089
91606.375,-120.2885,39.4738
67198.88,-119.9218,39.5239
59518.812,-120.4549,38.57567
69556.31,-120.094,38.62627
65322.562,-120.5208,38.8577
71563.81,-120.1582,38.90858
63888.812,-119.795,38.9581
