albedo,lon,lat
10.0,-120.4549,38.57567
10.0,-120.094,38.62627
10.0,-120.5208,38.8577
10.0,-120.1582,38.90858
10.0,-119.795,38.9581
10.0,-120.223,39.19109
20.0,-119.8581,39.24089
10.0,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
34.6375,-120.094,38.62627
10.0,-120.5208,38.8577
23.8875,-120.1582,38.90858
13.612501,-119.795,38.9581
16.4125,-120.223,39.19109
22.6875,-119.8581,39.24089
20.475,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
28.775,-120.094,38.62627
10.0,-120.5208,38.8577
21.6375,-120.1582,38.90858
17.3625,-119.795,38.9581
16.425,-120.223,39.19109
25.125002,-119.8581,39.24089
19.6375,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
31.9625,-120.094,38.62627
10.0,-120.5208,38.8577
16.949999,-120.1582,38.90858
39.4375,-119.795,38.9581
12.5875,-120.223,39.19109
20.0,-119.8581,39.24089
10.0375,-120.2885,39.4738
20.0,-119.9218,39.5239
31.062502,-120.4549,38.57567
32.6,-120.094,38.62627
13.775,-120.5208,38.8577
25.237501,-120.1582,38.90858
43.3375,-119.795,38.9581
14.549999,-120.223,39.19109
29.7125,-119.8581,39.24089
12.462501,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
29.9,-120.094,38.62627
10.0,-120.5208,38.8577
20.425001,-120.1582,38.90858
40.6875,-119.795,38.9581
14.5875,-120.223,39.19109
20.0,-119.8581,39.24089
15.35,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
29.550001,-120.094,38.62627
10.0,-120.5208,38.8577
20.250002,-120.1582,38.90858
39.525005,-119.795,38.9581
13.762501,-120.223,39.19109
20.0,-119.8581,39.24089
15.1125,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
29.5375,-120.094,38.62627
10.0,-120.5208,38.8577
20.2,-120.1582,38.90858
37.9125,-119.795,38.9581
12.425,-120.223,39.19109
20.0,-119.8581,39.24089
12.224999,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
35.0375,-120.094,38.62627
10.0,-120.5208,38.8577
25.324999,-120.1582,38.90858
28.337502,-119.795,38.9581
14.349999,-120.223,39.19109
20.0125,-119.8581,39.24089
19.562502,-120.2885,39.4738
20.0125,-119.9218,39.5239
36.2,-120.4549,38.57567
44.9625,-120.094,38.62627
23.575,-120.5208,38.8577
38.2,-120.1582,38.90858
48.600002,-119.795,38.9581
25.487501,-120.223,39.19109
43.6875,-119.8581,39.24089
34.325,-120.2885,39.4738
20.0,-119.9218,39.5239
39.6375,-120.4549,38.57567
45.0,-120.094,38.62627
30.724998,-120.5208,38.8577
38.199997,-120.1582,38.90858
48.600002,-119.795,38.9581
25.200003,-120.223,39.19109
44.45,-119.8581,39.24089
31.5,-120.2885,39.4738
20.2625,-119.9218,39.5239
41.4875,-120.4549,38.57567
45.0,-120.094,38.62627
32.137497,-120.5208,38.8577
18.7375,-120.1582,38.90858
48.600002,-119.795,38.9581
34.225,-120.223,39.19109
46.1875,-119.8581,39.24089
30.9125,-120.2885,39.4738
20.0,-119.9218,39.5239
41.425,-120.4549,38.57567
45.0,-120.094,38.62627
26.075,-120.5208,38.8577
34.675003,-120.1582,38.90858
48.600002,-119.795,38.9581
27.675,-120.223,39.19109
47.0625,-119.8581,39.24089
