lftx4,lon,lat
6.705985,-120.4549,38.57567
4.430985,-120.094,38.62627
6.630985,-120.5208,38.8577
5.8809853,-120.1582,38.90858
5.4059854,-119.795,38.9581
5.480985,-120.223,39.19109
5.3434854,-119.8581,39.24089
5.3684855,-120.2885,39.4738
6.0059853,-119.9218,39.5239
1.7073135,-120.4549,38.57567
0.6198133,-120.094,38.62627
1.7448134,-120.5208,38.8577
1.5698133,-120.1582,38.90858
1.4448135,-119.795,38.9581
1.3323133,-120.223,39.19109
1.7073133,-119.8581,39.24089
1.4323134,-120.2885,39.4738
1.6448133,-119.9218,39.5239
5.6200123,-120.4549,38.57567
3.0450122,-120.094,38.62627
5.670012,-120.5208,38.8577
4.420012,-120.1582,38.90858
3.4950123,-119.795,38.9581
3.8700123,-120.223,39.19109
3.4825122,-119.8581,39.24089
3.7200122,-120.2885,39.4738
4.1075125,-119.9218,39.5239
2.3952308,-120.4549,38.57567
1.6952307,-120.094,38.62627
2.5577307,-120.5208,38.8577
2.7077305,-120.1582,38.90858
2.7952309,-119.795,38.9581
2.6827304,-120.223,39.19109
3.2202306,-119.8581,39.24089
3.2327309,-120.2885,39.4738
3.5202308,-119.9218,39.5239
4.5050893,-120.4549,38.57567
2.655089,-120.094,38.62627
4.8175893,-120.5208,38.8577
3.967589,-120.1582,38.90858
3.6550894,-119.795,38.9581
3.4175894,-120.223,39.19109
3.592589,-119.8581,39.24089
3.4425893,-120.2885,39.4738
4.7675896,-119.9218,39.5239
8.100726,-120.4549,38.57567
5.4007254,-120.094,38.62627
8.025725,-120.5208,38.8577
6.3132257,-120.1582,38.90858
6.463225,-119.795,38.9581
5.950725,-120.223,39.19109
6.6257257,-119.8581,39.24089
5.9007254,-120.2885,39.4738
7.0757256,-119.9218,39.5239
7.1909337,-120.4549,38.57567
3.6659338,-120.094,38.62627
7.003433,-120.5208,38.8577
5.0659337,-120.1582,38.90858
4.540934,-119.795,38.9581
4.478434,-120.223,39.19109
4.4784336,-119.8581,39.24089
4.403434,-120.2885,39.4738
4.9534345,-119.9218,39.5239
3.0642617,-120.4549,38.57567
2.1642613,-120.094,38.62627
3.1642616,-120.5208,38.8577
2.7892616,-120.1582,38.90858
2.6142616,-119.795,38.9581
2.5017617,-120.223,39.19109
2.5267615,-119.8581,39.24089
2.8892617,-120.2885,39.4738
3.0267615,-119.9218,39.5239
1.9362307,-120.4549,38.57567
1.1112309,-120.094,38.62627
2.3362308,-120.5208,38.8577
1.9987309,-120.1582,38.90858
1.6862307,-119.795,38.9581
1.6612307,-120.223,39.19109
1.7737306,-119.8581,39.24089
1.9237307,-120.2885,39.4738
