cdcon,lon,lat
6.375,-120.4549,38.57567
0.0,-120.094,38.62627
12.375,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
46.625,-120.4549,38.57567
53.125,-120.094,38.62627
42.75,-120.5208,38.8577
34.25,-120.1582,38.90858
27.5,-119.795,38.9581
39.5,-120.223,39.19109
31.75,-119.8581,39.24089
39.75,-120.2885,39.4738
26.25,-119.9218,39.5239
2.25,-120.4549,38.57567
9.5,-120.094,38.62627
0.0,-120.5208,38.8577
0.25,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
29.625,-120.4549,38.57567
15.25,-120.094,38.62627
25.25,-120.5208,38.8577
10.125,-120.1582,38.90858
0.0,-119.795,38.9581
2.75,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
1.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
3.625,-120.4549,38.57567
2.5,-120.094,38.62627
5.625,-120.5208,38.8577
3.5,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
53.75,-120.4549,38.57567
45.375,-120.094,38.62627
48.375,-120.5208,38.8577
23.125,-120.1582,38.90858
31.875,-119.795,38.9581
21.625,-120.223,39.19109
21.0,-119.8581,39.24089
19.25,-120.2885,39.4738
11.375,-119.9218,39.5239
38.125,-120.4549,38.57567
