omega,lon,lat
-0.05192472,-120.4549,38.57567
0.0017862171,-120.094,38.62627
-0.06364347,-120.5208,38.8577
-0.023604408,-120.1582,38.90858
-0.023116127,-119.795,38.9581
-0.060713783,-120.223,39.19109
-0.012373939,-119.8581,39.24089
0.0008096546,-120.2885,39.4738
-0.03629972,-119.9218,39.5239
-0.1358284,-120.4549,38.57567
-0.18123856,-120.094,38.62627
-0.17928544,-120.5208,38.8577
-0.11678544,-120.1582,38.90858
-8.621812e-05,-119.795,38.9581
-0.14217606,-120.223,39.19109
0.025304407,-119.8581,39.24089
-0.054773718,-120.2885,39.4738
0.00040206313,-119.9218,39.5239
-0.12579755,-120.4549,38.57567
-0.14728194,-120.094,38.62627
-0.1824382,-120.5208,38.8577
-0.08868818,-120.1582,38.90858
0.089046195,-119.795,38.9581
-0.106266305,-120.223,39.19109
0.16277665,-119.8581,39.24089
-0.046695992,-120.2885,39.4738
0.11394854,-119.9218,39.5239
-0.2790524,-120.4549,38.57567
-0.22094694,-120.094,38.62627
-0.17163053,-120.5208,38.8577
-0.23120084,-120.1582,38.90858
0.03881868,-119.795,38.9581
-0.099853195,-120.223,39.19109
0.05444368,-119.8581,39.24089
-0.0554196,-120.2885,39.4738
-0.036376633,-119.9218,39.5239
0.023768112,-120.4549,38.57567
0.0037485808,-120.094,38.62627
0.0052134246,-120.5208,38.8577
0.011561081,-120.1582,38.90858
0.013025925,-119.795,38.9581
-0.003575638,-120.223,39.19109
-0.007481888,-119.8581,39.24089
0.021814987,-120.2885,39.4738
-0.015294388,-119.9218,39.5239
0.0056135356,-120.4549,38.57567
-0.005128652,-120.094,38.62627
0.010008067,-120.5208,38.8577
0.014402598,-120.1582,38.90858
-0.0065934956,-119.795,38.9581
0.009031504,-120.223,39.19109
0.004636973,-119.8581,39.24089
0.03393385,-120.2885,39.4738
-0.013429433,-119.9218,39.5239
-0.03158848,-120.4549,38.57567
0.0064974576,-120.094,38.62627
-0.042330667,-120.5208,38.8577
0.014798239,-120.1582,38.90858
0.079251364,-119.795,38.9581
-0.03549473,-120.223,39.19109
0.09243496,-119.8581,39.24089
-0.0018033236,-120.2885,39.4738
0.03481777,-119.9218,39.5239
-0.063433826,-120.4549,38.57567
-0.08101195,-120.094,38.62627
-0.06831664,-120.5208,38.8577
-0.07271117,-120.1582,38.90858
0.06449586,-119.795,38.9581
-0.07417601,-120.223,39.19109
0.13090211,-119.8581,39.24089
0.0322693,-120.2885,39.4738
0.0400818,-119.9218,39.5239
-0.00963822,-120.4549,38.57567
-0.016474158,-120.094,38.62627
-0.07311478,-120.5208,38.8577
0.04895553,-120.1582,38.90858
0.0992485,-119.795,38.9581
0.016240686,-120.223,39.19109
0.106084436,-119.8581,39.24089
0.017217249,-120.2885,39.4738
0.035283655,-119.9218,39.5239
-0.056293607,-120.4549,38.57567
-0.15102017,-120.094,38.62627
-0.086567044,-120.5208,38.8577
-0.030902982,-120.1582,38.90858
0.097026706,-119.795,38.9581
-0.05043423,-120.223,39.19109
0.018413424,-119.8581,39.24089
-0.09535611,-120.2885,39.4738
0.027202487,-119.9218,39.5239
-0.107251495,-120.4549,38.57567
-0.15607962,-120.094,38.62627
-0.1018804,-120.5208,38.8577
-0.047681183,-120.1582,38.90858
0.06706491,-119.795,38.9581
-0.051587433,-120.223,39.19109
0.11003366,-119.8581,39.24089
-0.030103058,-120.2885,39.4738
0.057299286,-119.9218,39.5239
-0.066300236,-120.4549,38.57567
-0.19960101,-120.094,38.62627
-0.0985268,-120.5208,38.8577
-0.08778461,-120.1582,38.90858
-0.02089008,-119.795,38.9581
-0.08778461,-120.223,39.19109
-0.009659611,-119.8581,39.24089
-0.12928852,-120.2885,39.4738
-0.026261173,-119.9218,39.5239
-0.01714217,-120.4549,38.57567
0.0019007996,-120.094,38.62627
-0.007864825,-120.5208,38.8577
-0.051810138,-120.1582,38.90858
-0.031790607,-119.795,38.9581
-0.032278888,-120.223,39.19109
-0.035696857,-119.8581,39.24089
-5.2325428e-05,-120.2885,39.4738
-0.066458575,-119.9218,39.5239
0.02980157,-120.4549,38.57567
0.07618829,-120.094,38.62627
0.023942195,-120.5208,38.8577
0.019059382,-120.1582,38.90858
-0.03221015,-119.795,38.9581
-0.009749211,-120.223,39.19109
-0.050276555,-119.8581,39.24089
0.0053875074,-120.2885,39.4738
-0.04783515,-119.9218,39.5239
0.027463332,-120.4549,38.57567
0.032834426,-120.094,38.62627
0.013303176,-120.5208,38.8577
0.0035375506,-120.1582,38.90858
-0.054079637,-119.795,38.9581
-0.018923387,-120.223,39.19109
-0.069216356,-119.8581,39.24089
0.002560988,-120.2885,39.4738
-0.07458745,-119.9218,39.5239
-0.015222788,-120.4549,38.57567
0.019933462,-120.094,38.62627
-0.01571107,-120.5208,38.8577
-0.015222788,-120.1582,38.90858
-0.06649232,-119.795,38.9581
-0.038172007,-120.223,39.19109
-0.08651185,-119.8581,39.24089
-0.026941538,-120.2885,39.4738
-0.08700013,-119.9218,39.5239
0.061724767,-120.4549,38.57567
0.056353673,-120.094,38.62627
0.061724767,-120.5208,38.8577
0.09297477,-120.1582,38.90858
0.068560705,-119.795,38.9581
0.06660758,-120.223,39.19109
0.076861486,-119.8581,39.24089
0.05440055,-120.2885,39.4738
0.03145133,-119.9218,39.5239
0.023868777,-120.4549,38.57567
0.026310183,-120.094,38.62627
0.031192996,-120.5208,38.8577
0.031681277,-120.1582,38.90858
0.04437659,-119.795,38.9581
0.0072672144,-120.223,39.19109
0.031192996,-119.8581,39.24089
-0.014217161,-120.2885,39.4738
0.0072672144,-119.9218,39.5239
-0.073011324,-120.4549,38.57567
-0.031507418,-120.094,38.62627
-0.08033554,-120.5208,38.8577
-0.038831636,-120.1582,38.90858
-0.04420273,-119.795,38.9581
-0.07594101,-120.223,39.19109
-0.0476207,-119.8581,39.24089
-0.065687105,-120.2885,39.4738
-0.08570664,-119.9218,39.5239
-0.02969005,-120.4549,38.57567
-0.003322862,-120.094,38.62627
-0.046291612,-120.5208,38.8577
-0.003322862,-120.1582,38.90858
0.008395888,-119.795,38.9581
-0.052150987,-120.223,39.19109
0.038669325,-119.8581,39.24089
-0.046291612,-120.2885,39.4738
-0.04092052,-119.9218,39.5239
-0.05362711,-120.4549,38.57567
-0.016517736,-120.094,38.62627
-0.06095133,-120.5208,38.8577
-0.051185705,-120.1582,38.90858
-0.06485758,-119.795,38.9581
-0.06143961,-120.223,39.19109
-0.07950602,-119.8581,39.24089
-0.036048986,-120.2885,39.4738
-0.09659586,-119.9218,39.5239
0.054676875,-120.4549,38.57567
-0.010752812,-120.094,38.62627
0.10789953,-120.5208,38.8577
0.055165157,-120.1582,38.90858
0.09178625,-119.795,38.9581
0.066395625,-120.223,39.19109
0.105458125,-119.8581,39.24089
0.018544063,-120.2885,39.4738
0.070301875,-119.9218,39.5239
-0.01678504,-120.4549,38.57567
0.0046993345,-120.094,38.62627
-0.0128787905,-120.5208,38.8577
-0.006042853,-120.1582,38.90858
-0.014343634,-119.795,38.9581
-0.025574103,-120.223,39.19109
-0.04412879,-119.8581,39.24089
-0.017761603,-120.2885,39.4738
-0.046570197,-119.9218,39.5239
-0.054618515,-120.4549,38.57567
0.027901016,-120.094,38.62627
-0.0629193,-120.5208,38.8577
0.026924454,-120.1582,38.90858
0.03327211,-119.795,38.9581
-0.035087265,-120.223,39.19109
0.008369766,-119.8581,39.24089
0.0049517974,-120.2885,39.4738
-0.0018841401,-119.9218,39.5239
-0.107911155,-120.4549,38.57567
-0.005372092,-120.094,38.62627
-0.12695412,-120.5208,38.8577
-0.02783303,-120.1582,38.90858
0.023924783,-119.795,38.9581
-0.080567405,-120.223,39.19109
-0.0043955296,-119.8581,39.24089
-0.0004892796,-120.2885,39.4738
0.021483377,-119.9218,39.5239
0.027748972,-120.4549,38.57567
0.1234521,-120.094,38.62627
0.025795847,-120.5208,38.8577
0.09854975,-120.1582,38.90858
0.111245066,-119.795,38.9581
0.03458491,-120.223,39.19109
0.10636225,-119.8581,39.24089
0.09610835,-120.2885,39.4738
0.09269038,-119.9218,39.5239
-0.069051534,-120.4549,38.57567
-0.06807497,-120.094,38.62627
-0.13399294,-120.5208,38.8577
-0.0036218464,-120.1582,38.90858
0.087198466,-119.795,38.9581
-0.0031335652,-120.223,39.19109
0.06424925,-119.8581,39.24089
0.039835185,-120.2885,39.4738
0.06473753,-119.9218,39.5239
0.0009973049,-120.4549,38.57567
-0.046365976,-120.094,38.62627
-0.039041758,-120.5208,38.8577
0.019551992,-120.1582,38.90858
0.07863402,-119.795,38.9581
0.021016836,-120.223,39.19109
0.035665274,-119.8581,39.24089
0.044942617,-120.2885,39.4738
0.07277465,-119.9218,39.5239
-0.07781131,-120.4549,38.57567
-0.10954959,-120.094,38.62627
-0.048514433,-120.5208,38.8577
-0.0675574,-120.1582,38.90858
-0.03191287,-119.795,38.9581
-0.07878787,-120.223,39.19109
-0.029471464,-119.8581,39.24089
-0.080740996,-120.2885,39.4738
-0.061209746,-119.9218,39.5239
-0.009107843,-120.4549,38.57567
0.0157945,-120.094,38.62627
-0.020338312,-120.5208,38.8577
0.02751325,-120.1582,38.90858
0.026536688,-119.795,38.9581
-0.01985003,-120.223,39.19109
0.023607,-119.8581,39.24089
-0.010084406,-120.2885,39.4738
-0.010572687,-119.9218,39.5239
-0.046203755,-120.4549,38.57567
-0.04425063,-120.094,38.62627
-0.05645766,-120.5208,38.8577
-0.038879536,-120.1582,38.90858
0.06512437,-119.795,38.9581
-0.07257094,-120.223,39.19109
0.058776714,-119.8581,39.24089
-0.00518813,-120.2885,39.4738
-0.00518813,-119.9218,39.5239
-0.04892104,-120.4549,38.57567
0.0013719276,-120.094,38.62627
-0.03329604,-120.5208,38.8577
-0.050874166,-120.1582,38.90858
-0.049409322,-119.795,38.9581
-0.03671401,-120.223,39.19109
-0.051362447,-119.8581,39.24089
-0.025971822,-120.2885,39.4738
-0.08065932,-119.9218,39.5239
0.026769169,-120.4549,38.57567
-0.019129269,-120.094,38.62627
0.01163245,-120.5208,38.8577
0.03458167,-120.1582,38.90858
0.07169104,-119.795,38.9581
0.018956669,-120.223,39.19109
0.07755042,-119.8581,39.24089
0.018956669,-120.2885,39.4738
0.032628544,-119.9218,39.5239
-0.06503531,-120.4549,38.57567
-0.05526969,-120.094,38.62627
-0.056734532,-120.5208,38.8577
-0.060640782,-120.1582,38.90858
0.040433437,-119.795,38.9581
-0.061129063,-120.223,39.19109
0.044339687,-119.8581,39.24089
-0.004000157,-120.2885,39.4738
0.04531625,-119.9218,39.5239
