hcdc,lon,lat
38.125,-120.4549,38.57567
33.75,-120.094,38.62627
42.75,-120.5208,38.8577
38.625,-120.1582,38.90858
40.125,-119.795,38.9581
41.75,-120.223,39.19109
39.125,-119.8581,39.24089
44.875,-120.2885,39.4738
44.25,-119.9218,39.5239
24.25,-120.4549,38.57567
27.25,-120.094,38.62627
28.0,-120.5208,38.8577
38.125,-120.1582,38.90858
39.5,-119.795,38.9581
38.75,-120.223,39.19109
48.0,-119.8581,39.24089
44.0,-120.2885,39.4738
57.375,-119.9218,39.5239
27.25,-120.4549,38.57567
28.625,-120.094,38.62627
29.625,-120.5208,38.8577
27.75,-120.1582,38.90858
33.5,-119.795,38.9581
37.125,-120.223,39.19109
38.625,-119.8581,39.24089
46.75,-120.2885,39.4738
49.375,-119.9218,39.5239
12.375,-120.4549,38.57567
15.25,-120.094,38.62627
15.625,-120.5208,38.8577
21.0,-120.1582,38.90858
21.875,-119.795,38.9581
25.875,-120.223,39.19109
23.5,-119.8581,39.24089
28.25,-120.2885,39.4738
21.375,-119.9218,39.5239
25.625,-120.4549,38.57567
21.75,-120.094,38.62627
26.125,-120.5208,38.8577
24.625,-120.1582,38.90858
23.125,-119.795,38.9581
25.5,-120.223,39.19109
24.75,-119.8581,39.24089
26.375,-120.2885,39.4738
28.5,-119.9218,39.5239
28.75,-120.4549,38.57567
26.0,-120.094,38.62627
32.25,-120.5208,38.8577
28.375,-120.1582,38.90858
25.75,-119.795,38.9581
30.625,-120.223,39.19109
28.375,-119.8581,39.24089
32.25,-120.2885,39.4738
31.625,-119.9218,39.5239
66.25,-120.4549,38.57567
64.25,-120.094,38.62627
62.5,-120.5208,38.8577
61.0,-120.1582,38.90858
69.25,-119.795,38.9581
58.75,-120.223,39.19109
67.375,-119.8581,39.24089
57.375,-120.2885,39.4738
63.375,-119.9218,39.5239
35.125,-120.4549,38.57567
37.125,-120.094,38.62627
36.125,-120.5208,38.8577
35.125,-120.1582,38.90858
47.125,-119.795,38.9581
41.5,-120.223,39.19109
45.125,-119.8581,39.24089
47.875,-120.2885,39.4738
45.625,-119.9218,39.5239
32.0,-120.4549,38.57567
34.25,-120.094,38.62627
29.875,-120.5208,38.8577
38.625,-120.1582,38.90858
43.125,-119.795,38.9581
39.5,-120.223,39.19109
45.0,-119.8581,39.24089
47.625,-120.2885,39.4738
49.625,-119.9218,39.5239
8.75,-120.4549,38.57567
12.0,-120.094,38.62627
6.5,-120.5208,38.8577
12.25,-120.1582,38.90858
24.125,-119.795,38.9581
12.0,-120.223,39.19109
19.25,-119.8581,39.24089
11.625,-120.2885,39.4738
14.625,-119.9218,39.5239
16.875,-120.4549,38.57567
9.5,-120.094,38.62627
11.25,-120.5208,38.8577
5.125,-120.1582,38.90858
1.75,-119.795,38.9581
2.125,-120.223,39.19109
1.5,-119.8581,39.24089
1.25,-120.2885,39.4738
0.875,-119.9218,39.5239
6.875,-120.4549,38.57567
5.625,-120.094,38.62627
6.0,-120.5208,38.8577
12.125,-120.1582,38.90858
9.5,-119.795,38.9581
11.5,-120.223,39.19109
4.5,-119.8581,39.24089
3.25,-120.2885,39.4738
2.375,-119.9218,39.5239
19.75,-120.4549,38.57567
19.125,-120.094,38.62627
20.25,-120.5208,38.8577
18.625,-120.1582,38.90858
17.625,-119.795,38.9581
18.375,-120.223,39.19109
16.875,-119.8581,39.24089
17.75,-120.2885,39.4738
15.125,-119.9218,39.5239
81.125,-120.4549,38.57567
77.625,-120.094,38.62627
80.0,-120.5208,38.8577
76.625,-120.1582,38.90858
73.5,-119.795,38.9581
76.125,-120.223,39.19109
73.375,-119.8581,39.24089
76.625,-120.2885,39.4738
69.125,-119.9218,39.5239
55.0,-120.4549,38.57567
56.625,-120.094,38.62627
55.75,-120.5208,38.8577
59.0,-120.1582,38.90858
60.625,-119.795,38.9581
59.375,-120.223,39.19109
59.625,-119.8581,39.24089
59.25,-120.2885,39.4738
59.125,-119.9218,39.5239
17.25,-120.4549,38.57567
18.625,-120.094,38.62627
14.125,-120.5208,38.8577
14.75,-120.1582,38.90858
15.125,-119.795,38.9581
12.125,-120.223,39.19109
12.75,-119.8581,39.24089
10.625,-120.2885,39.4738
10.375,-119.9218,39.5239
9.625,-120.4549,38.57567
10.125,-120.094,38.62627
9.875,-120.5208,38.8577
10.25,-120.1582,38.90858
10.625,-119.795,38.9581
11.25,-120.223,39.19109
12.875,-119.8581,39.24089
13.625,-120.2885,39.4738
15.0,-119.9218,39.5239
17.5,-120.4549,38.57567
12.625,-120.094,38.62627
17.75,-120.5208,38.8577
13.0,-120.1582,38.90858
10.875,-119.795,38.9581
14.25,-120.223,39.19109
11.5,-119.8581,39.24089
15.75,-120.2885,39.4738
12.375,-119.9218,39.5239
43.5,-120.4549,38.57567
