rcq,lon,lat
0.8145,-120.4549,38.57567
0.849625,-120.094,38.62627
0.82624996,-120.5208,38.8577
0.8375,-120.1582,38.90858
0.798,-119.795,38.9581
0.87412494,-120.223,39.19109
0.81037503,-119.8581,39.24089
0.85525,-120.2885,39.4738
0.823125,-119.9218,39.5239
0.96025,-120.4549,38.57567
0.98100007,-120.094,38.62627
0.97075,-120.5208,38.8577
0.9733751,-120.1582,38.90858
0.92612493,-119.795,38.9581
0.986375,-120.223,39.19109
0.93612504,-119.8581,39.24089
0.9785,-120.2885,39.4738
0.91574997,-119.9218,39.5239
0.9625,-120.4549,38.57567
0.97625,-120.094,38.62627
0.96999997,-120.5208,38.8577
0.9725,-120.1582,38.90858
0.93625,-119.795,38.9581
0.9775,-120.223,39.19109
0.9475,-119.8581,39.24089
0.97625,-120.2885,39.4738
0.9125,-119.9218,39.5239
0.98625004,-120.4549,38.57567
0.97875005,-120.094,38.62627
0.9775001,-120.5208,38.8577
0.97249997,-120.1582,38.90858
0.96,-119.795,38.9581
0.97749996,-120.223,39.19109
0.9562501,-119.8581,39.24089
0.96875006,-120.2885,39.4738
0.93749994,-119.9218,39.5239
0.88,-120.4549,38.57567
0.86999995,-120.094,38.62627
0.86875004,-120.5208,38.8577
0.8725,-120.1582,38.90858
0.895,-119.795,38.9581
0.8712499,-120.223,39.19109
0.90000004,-119.8581,39.24089
0.88,-120.2885,39.4738
0.88625,-119.9218,39.5239
0.82750005,-120.4549,38.57567
0.86375,-120.094,38.62627
0.81875,-120.5208,38.8577
0.86500007,-120.1582,38.90858
0.90125,-119.795,38.9581
0.8575,-120.223,39.19109
0.89750004,-119.8581,39.24089
0.8775,-120.2885,39.4738
0.88500005,-119.9218,39.5239
0.808375,-120.4549,38.57567
0.824875,-120.094,38.62627
0.8295,-120.5208,38.8577
0.822875,-120.1582,38.90858
0.81500006,-119.795,38.9581
0.8705,-120.223,39.19109
0.82275003,-119.8581,39.24089
0.86162496,-120.2885,39.4738
0.82262504,-119.9218,39.5239
0.9675001,-120.4549,38.57567
0.97875,-120.094,38.62627
0.97625005,-120.5208,38.8577
0.97375,-120.1582,38.90858
0.93500006,-119.795,38.9581
0.97375,-120.223,39.19109
0.95,-119.8581,39.24089
0.97249997,-120.2885,39.4738
0.92125,-119.9218,39.5239
0.94124997,-120.4549,38.57567
0.97249997,-120.094,38.62627
0.94375,-120.5208,38.8577
0.9575,-120.1582,38.90858
0.91749996,-119.795,38.9581
0.9625,-120.223,39.19109
0.925,-119.8581,39.24089
0.96375,-120.2885,39.4738
0.915,-119.9218,39.5239
0.96875,-120.4549,38.57567
0.98125,-120.094,38.62627
0.96125,-120.5208,38.8577
0.98375,-120.1582,38.90858
0.9637501,-119.795,38.9581
0.98125005,-120.223,39.19109
0.96125007,-119.8581,39.24089
0.98249996,-120.2885,39.4738
0.93,-119.9218,39.5239
0.96250004,-120.4549,38.57567
0.96875006,-120.094,38.62627
0.96125007,-120.5208,38.8577
0.96875006,-120.1582,38.90858
0.9562501,-119.795,38.9581
0.97874993,-120.223,39.19109
0.9575001,-119.8581,39.24089
0.975,-120.2885,39.4738
0.9275,-119.9218,39.5239
0.9490001,-120.4549,38.57567
0.97987497,-120.094,38.62627
0.955,-120.5208,38.8577
0.98062503,-120.1582,38.90858
0.9732499,-119.795,38.9581
0.98074996,-120.223,39.19109
0.97274995,-119.8581,39.24089
0.980875,-120.2885,39.4738
0.954375,-119.9218,39.5239
0.8925,-120.4549,38.57567
0.9375,-120.094,38.62627
0.88875,-120.5208,38.8577
0.9487501,-120.1582,38.90858
0.96750003,-119.795,38.9581
0.93125,-120.223,39.19109
0.96625006,-119.8581,39.24089
0.9599999,-120.2885,39.4738
0.93875,-119.9218,39.5239
0.80837506,-120.4549,38.57567
0.873875,-120.094,38.62627
0.79737496,-120.5208,38.8577
0.88474995,-120.1582,38.90858
0.966375,-119.795,38.9581
0.85275,-120.223,39.19109
0.967,-119.8581,39.24089
0.91174996,-120.2885,39.4738
0.941875,-119.9218,39.5239
0.85,-120.4549,38.57567
0.96000004,-120.094,38.62627
0.84749997,-120.5208,38.8577
0.96124995,-120.1582,38.90858
0.99375,-119.795,38.9581
0.92499995,-120.223,39.19109
0.9912499,-119.8581,39.24089
0.96999997,-120.2885,39.4738
0.975,-119.9218,39.5239
0.94724995,-120.4549,38.57567
0.958875,-120.094,38.62627
0.924375,-120.5208,38.8577
0.96237504,-120.1582,38.90858
0.987875,-119.795,38.9581
0.94200003,-120.223,39.19109
0.987125,-119.8581,39.24089
0.96425,-120.2885,39.4738
0.979,-119.9218,39.5239
0.89625,-120.4549,38.57567
0.91625,-120.094,38.62627
0.87624997,-120.5208,38.8577
0.92625004,-120.1582,38.90858
0.9775,-119.795,38.9581
0.91625,-120.223,39.19109
0.96750003,-119.8581,39.24089
0.93375,-120.2885,39.4738
0.965,-119.9218,39.5239
0.89475,-120.4549,38.57567
0.833875,-120.094,38.62627
0.874125,-120.5208,38.8577
0.851,-120.1582,38.90858
0.9064999,-119.795,38.9581
0.8925,-120.223,39.19109
0.90587497,-119.8581,39.24089
0.87962496,-120.2885,39.4738
0.93500006,-119.9218,39.5239
0.85187495,-120.4549,38.57567
0.774125,-120.094,38.62627
0.827375,-120.5208,38.8577
0.781875,-120.1582,38.90858
0.875375,-119.795,38.9581
0.82900006,-120.223,39.19109
0.87012506,-119.8581,39.24089
0.81437504,-120.2885,39.4738
0.938875,-119.9218,39.5239
0.84875005,-120.4549,38.57567
0.81249994,-120.094,38.62627
0.85499996,-120.5208,38.8577
0.82,-120.1582,38.90858
0.83500004,-119.795,38.9581
0.87,-120.223,39.19109
0.84000003,-119.8581,39.24089
0.85625,-120.2885,39.4738
0.91,-119.9218,39.5239
0.87375003,-120.4549,38.57567
0.8437501,-120.094,38.62627
0.85625005,-120.5208,38.8577
0.885,-120.1582,38.90858
0.935,-119.795,38.9581
0.8775,-120.223,39.19109
0.94000006,-119.8581,39.24089
0.9125,-120.2885,39.4738
0.95,-119.9218,39.5239
0.83862495,-120.4549,38.57567
0.84624994,-120.094,38.62627
0.819125,-120.5208,38.8577
0.8645,-120.1582,38.90858
0.910875,-119.795,38.9581
0.86599994,-120.223,39.19109
0.9188751,-119.8581,39.24089
0.9080001,-120.2885,39.4738
0.93149996,-119.9218,39.5239
0.748625,-120.4549,38.57567
0.80062497,-120.094,38.62627
0.72225,-120.5208,38.8577
