mslet,lon,lat
101441.19,-120.4549,38.57567
101389.56,-120.094,38.62627
101434.19,-120.5208,38.8577
101391.06,-120.1582,38.90858
101359.94,-119.795,38.9581
101397.06,-120.223,39.19109
101376.44,-119.8581,39.24089
101391.44,-120.2885,39.4738
101387.31,-119.9218,39.5239
101699.98,-120.4549,38.57567
101555.35,-120.094,38.62627
101664.6,-120.5208,38.8577
101528.48,-120.1582,38.90858
101413.6,-119.795,38.9581
101481.48,-120.223,39.19109
101394.73,-119.8581,39.24089
101422.48,-120.2885,39.4738
101368.6,-119.9218,39.5239
102032.055,-120.4549,38.57567
101877.68,-120.094,38.62627
101950.43,-120.5208,38.8577
101778.93,-120.1582,38.90858
101639.43,-119.795,38.9581
101684.805,-120.223,39.19109
101568.93,-119.8581,39.24089
101580.555,-120.2885,39.4738
101502.68,-119.9218,39.5239
101610.51,-120.4549,38.57567
101526.51,-120.094,38.62627
101599.88,-120.5208,38.8577
101515.88,-120.1582,38.90858
101453.26,-119.795,38.9581
101502.13,-120.223,39.19109
101438.38,-119.8581,39.24089
101477.51,-120.2885,39.4738
101427.76,-119.9218,39.5239
101684.62,-120.4549,38.57567
101708.87,-120.094,38.62627
101692.99,-120.5208,38.8577
101724.74,-120.1582,38.90858
101763.62,-119.795,38.9581
101743.12,-120.223,39.19109
101789.49,-119.8581,39.24089
101770.37,-120.2885,39.4738
101817.49,-119.9218,39.5239
102067.6,-120.4549,38.57567
102111.1,-120.094,38.62627
102071.23,-120.5208,38.8577
102125.48,-120.1582,38.90858
102176.73,-119.795,38.9581
102146.73,-120.223,39.19109
102198.6,-119.8581,39.24089
102174.23,-120.2885,39.4738
102217.48,-119.9218,39.5239
101842.29,-120.4549,38.57567
101787.54,-120.094,38.62627
101829.914,-120.5208,38.8577
101761.164,-120.1582,38.90858
101696.04,-119.795,38.9581
101748.29,-120.223,39.19109
101683.29,-119.8581,39.24089
101722.04,-120.2885,39.4738
101671.29,-119.9218,39.5239
101409.74,-120.4549,38.57567
101329.24,-120.094,38.62627
101380.99,-120.5208,38.8577
101291.87,-120.1582,38.90858
101219.49,-119.795,38.9581
101273.37,-120.223,39.19109
101206.49,-119.8581,39.24089
101250.62,-120.2885,39.4738
101205.24,-119.9218,39.5239
100229.35,-120.4549,38.57567
100142.23,-120.094,38.62627
100193.6,-120.5208,38.8577
100116.85,-120.1582,38.90858
100055.73,-119.795,38.9581
100091.35,-120.223,39.19109
100044.23,-119.8581,39.24089
100061.23,-120.2885,39.4738
100043.85,-119.9218,39.5239
100949.81,-120.4549,38.57567
100836.81,-120.094,38.62627
100935.94,-120.5208,38.8577
100819.56,-120.1582,38.90858
100706.81,-119.795,38.9581
100801.94,-120.223,39.19109
100709.94,-119.8581,39.24089
100776.31,-120.2885,39.4738
100706.56,-119.9218,39.5239
101629.83,-120.4549,38.57567
101544.7,-120.094,38.62627
101592.45,-120.5208,38.8577
101501.45,-120.1582,38.90858
101421.2,-119.795,38.9581
101458.7,-120.223,39.19109
101384.95,-119.8581,39.24089
101405.33,-120.2885,39.4738
101344.33,-119.9218,39.5239
101808.266,-120.4549,38.57567
101761.64,-120.094,38.62627
101797.64,-120.5208,38.8577
101756.016,-120.1582,38.90858
101711.766,-119.795,38.9581
101746.89,-120.223,39.19109
101711.14,-119.8581,39.24089
101743.64,-120.2885,39.4738
101710.016,-119.9218,39.5239
102335.7,-120.4549,38.57567
102368.7,-120.094,38.62627
102352.2,-120.5208,38.8577
102385.45,-120.1582,38.90858
102410.95,-119.795,38.9581
102404.08,-120.223,39.19109
102434.58,-119.8581,39.24089
102427.83,-120.2885,39.4738
102455.45,-119.9218,39.5239
101902.14,-120.4549,38.57567
101981.766,-120.094,38.62627
101925.89,-120.5208,38.8577
102022.39,-120.1582,38.90858
102121.266,-119.795,38.9581
102070.89,-120.223,39.19109
102175.266,-119.8581,39.24089
102129.266,-120.2885,39.4738
102219.14,-119.9218,39.5239
101490.234,-120.4549,38.57567
101564.984,-120.094,38.62627
101517.86,-120.5208,38.8577
101610.61,-120.1582,38.90858
101694.734,-119.795,38.9581
101661.484,-120.223,39.19109
101748.234,-119.8581,39.24089
101720.984,-120.2885,39.4738
101792.234,-119.9218,39.5239
101361.1,-120.4549,38.57567
101440.1,-120.094,38.62627
101380.23,-120.5208,38.8577
101484.23,-120.1582,38.90858
101584.6,-119.795,38.9581
101533.35,-120.223,39.19109
101639.73,-119.8581,39.24089
101598.73,-120.2885,39.4738
101688.23,-119.9218,39.5239
101807.34,-120.4549,38.57567
101860.59,-120.094,38.62627
101809.84,-120.5208,38.8577
101878.09,-120.1582,38.90858
101935.34,-119.795,38.9581
101897.59,-120.223,39.19109
101959.34,-119.8581,39.24089
101925.97,-120.2885,39.4738
101977.34,-119.9218,39.5239
102482.9,-120.4549,38.57567
102533.65,-120.094,38.62627
102491.9,-120.5208,38.8577
102543.65,-120.1582,38.90858
102581.27,-119.795,38.9581
102562.27,-120.223,39.19109
102597.27,-119.8581,39.24089
102582.77,-120.2885,39.4738
102613.9,-119.9218,39.5239
102645.73,-120.4549,38.57567
102677.85,-120.094,38.62627
102650.48,-120.5208,38.8577
102693.48,-120.1582,38.90858
102733.35,-119.795,38.9581
102716.1,-120.223,39.19109
102759.6,-119.8581,39.24089
102736.98,-120.2885,39.4738
102771.48,-119.9218,39.5239
102359.75,-120.4549,38.57567
102374.625,-120.094,38.62627
102383.0,-120.5208,38.8577
102399.25,-120.1582,38.90858
102404.0,-119.795,38.9581
102426.125,-120.223,39.19109
102435.375,-119.8581,39.24089
102447.875,-120.2885,39.4738
102453.0,-119.9218,39.5239
102189.43,-120.4549,38.57567
102265.43,-120.094,38.62627
102206.93,-120.5208,38.8577
102298.93,-120.1582,38.90858
102381.305,-119.795,38.9581
102334.555,-120.223,39.19109
102415.93,-119.8581,39.24089
102381.93,-120.2885,39.4738
102437.93,-119.9218,39.5239
102312.72,-120.4549,38.57567
102373.47,-120.094,38.62627
102327.47,-120.5208,38.8577
102374.59,-120.1582,38.90858
102397.84,-119.795,38.9581
102382.34,-120.223,39.19109
102398.22,-119.8581,39.24089
102396.72,-120.2885,39.4738
102394.84,-119.9218,39.5239
102455.93,-120.4549,38.57567
102543.805,-120.094,38.62627
102465.555,-120.5208,38.8577
102567.43,-120.1582,38.90858
102660.68,-119.795,38.9581
