cdlyr,lon,lat
52.5,-120.4549,38.57567
42.0,-120.094,38.62627
50.0,-120.5208,38.8577
49.875,-120.1582,38.90858
45.875,-119.795,38.9581
51.0,-120.223,39.19109
46.75,-119.8581,39.24089
51.625,-120.2885,39.4738
51.875,-119.9218,39.5239
86.25,-120.4549,38.57567
74.0,-120.094,38.62627
95.625,-120.5208,38.8577
75.125,-120.1582,38.90858
74.875,-119.795,38.9581
70.875,-120.223,39.19109
76.0,-119.8581,39.24089
67.0,-120.2885,39.4738
71.875,-119.9218,39.5239
96.5,-120.4549,38.57567
78.875,-120.094,38.62627
97.75,-120.5208,38.8577
83.625,-120.1582,38.90858
67.75,-119.795,38.9581
87.75,-120.223,39.19109
76.125,-119.8581,39.24089
86.0,-120.2885,39.4738
72.625,-119.9218,39.5239
88.375,-120.4549,38.57567
59.5,-120.094,38.62627
87.25,-120.5208,38.8577
65.5,-120.1582,38.90858
53.5,-119.795,38.9581
63.875,-120.223,39.19109
53.0,-119.8581,39.24089
59.875,-120.2885,39.4738
49.875,-119.9218,39.5239
29.25,-120.4549,38.57567
29.0,-120.094,38.62627
31.625,-120.5208,38.8577
32.5,-120.1582,38.90858
32.875,-119.795,38.9581
35.25,-120.223,39.19109
34.875,-119.8581,39.24089
37.875,-120.2885,39.4738
39.25,-119.9218,39.5239
25.25,-120.4549,38.57567
21.875,-120.094,38.62627
28.75,-120.5208,38.8577
24.375,-120.1582,38.90858
21.625,-119.795,38.9581
26.75,-120.223,39.19109
24.375,-119.8581,39.24089
28.875,-120.2885,39.4738
27.75,-119.9218,39.5239
83.75,-120.4549,38.57567
78.875,-120.094,38.62627
86.375,-120.5208,38.8577
82.125,-120.1582,38.90858
83.0,-119.795,38.9581
85.625,-120.223,39.19109
86.125,-119.8581,39.24089
86.5,-120.2885,39.4738
86.875,-119.9218,39.5239
96.875,-120.4549,38.57567
79.75,-120.094,38.62627
97.875,-120.5208,38.8577
85.625,-120.1582,38.90858
85.375,-119.795,38.9581
87.375,-120.223,39.19109
90.75,-119.8581,39.24089
85.125,-120.2885,39.4738
85.0,-119.9218,39.5239
72.625,-120.4549,38.57567
65.75,-120.094,38.62627
64.875,-120.5208,38.8577
71.75,-120.1582,38.90858
68.5,-119.795,38.9581
73.625,-120.223,39.19109
70.5,-119.8581,39.24089
79.625,-120.2885,39.4738
76.375,-119.9218,39.5239
82.125,-120.4549,38.57567
65.375,-120.094,38.62627
87.25,-120.5208,38.8577
62.75,-120.1582,38.90858
64.375,-119.795,38.9581
62.125,-120.223,39.19109
64.375,-119.8581,39.24089
57.875,-120.2885,39.4738
60.0,-119.9218,39.5239
77.375,-120.4549,38.57567
53.125,-120.094,38.62627
70.625,-120.5208,38.8577
61.5,-120.1582,38.90858
50.125,-119.795,38.9581
58.0,-120.223,39.19109
65.75,-119.8581,39.24089
71.25,-120.2885,39.4738
62.5,-119.9218,39.5239
49.0,-120.4549,38.57567
49.0,-120.094,38.62627
54.5,-120.5208,38.8577
45.625,-120.1582,38.90858
44.125,-119.795,38.9581
43.375,-120.223,39.19109
41.125,-119.8581,39.24089
34.25,-120.2885,39.4738
44.5,-119.9218,39.5239
30.25,-120.4549,38.57567
27.25,-120.094,38.62627
29.375,-120.5208,38.8577
24.875,-120.1582,38.90858
21.75,-119.795,38.9581
24.0,-120.223,39.19109
22.375,-119.8581,39.24089
20.625,-120.2885,39.4738
36.125,-119.9218,39.5239
86.625,-120.4549,38.57567
83.5,-120.094,38.62627
85.375,-120.5208,38.8577
82.5,-120.1582,38.90858
79.75,-119.795,38.9581
81.0,-120.223,39.19109
78.375,-119.8581,39.24089
79.25,-120.2885,39.4738
76.5,-119.9218,39.5239
98.25,-120.4549,38.57567
82.875,-120.094,38.62627
99.25,-120.5208,38.8577
98.625,-120.1582,38.90858
98.875,-119.795,38.9581
99.0,-120.223,39.19109
99.75,-119.8581,39.24089
98.375,-120.2885,39.4738
97.875,-119.9218,39.5239
40.875,-120.4549,38.57567
31.75,-120.094,38.62627
33.75,-120.5208,38.8577
27.125,-120.1582,38.90858
25.875,-119.795,38.9581
18.875,-120.223,39.19109
18.125,-119.8581,39.24089
14.5,-120.2885,39.4738
17.0,-119.9218,39.5239
15.375,-120.4549,38.57567
10.75,-120.094,38.62627
16.375,-120.5208,38.8577
11.25,-120.1582,38.90858
9.125,-119.795,38.9581
12.125,-120.223,39.19109
9.75,-119.8581,39.24089
13.25,-120.2885,39.4738
10.875,-119.9218,39.5239
16.0,-120.4549,38.57567
12.625,-120.094,38.62627
17.5,-120.5208,38.8577
13.75,-120.1582,38.90858
11.875,-119.795,38.9581
16.5,-120.223,39.19109
14.375,-119.8581,39.24089
18.75,-120.2885,39.4738
14.375,-119.9218,39.5239
51.125,-120.4549,38.57567
40.875,-120.094,38.62627
52.375,-120.5208,38.8577
44.625,-120.1582,38.90858
38.625,-119.795,38.9581
45.75,-120.223,39.19109
39.75,-119.8581,39.24089
46.375,-120.2885,39.4738
41.375,-119.9218,39.5239
68.5,-120.4549,38.57567
73.5,-120.094,38.62627
70.75,-120.5208,38.8577
76.375,-120.1582,38.90858
83.5,-119.795,38.9581
81.75,-120.223,39.19109
85.0,-119.8581,39.24089
78.75,-120.2885,39.4738
80.5,-119.9218,39.5239
5.5,-120.4549,38.57567
4.625,-120.094,38.62627
7.0,-120.5208,38.8577
5.375,-120.1582,38.90858
5.5,-119.795,38.9581
7.125,-120.223,39.19109
5.625,-119.8581,39.24089
7.875,-120.2885,39.4738
7.125,-119.9218,39.5239
37.875,-120.4549,38.57567
31.125,-120.094,38.62627
41.375,-120.5208,38.8577
33.875,-120.1582,38.90858
30.25,-119.795,38.9581
34.0,-120.223,39.19109
31.5,-119.8581,39.24089
32.625,-120.2885,39.4738
32.25,-119.9218,39.5239
29.625,-120.4549,38.57567
27.375,-120.094,38.62627
32.875,-120.5208,38.8577
