pottmp,lon,lat
292.81793,-120.4549,38.57567
299.59137,-120.094,38.62627
293.02887,-120.5208,38.8577
299.08356,-120.1582,38.90858
299.94293,-119.795,38.9581
296.28668,-120.223,39.19109
299.40387,-119.8581,39.24089
298.81012,-120.2885,39.4738
295.56793,-119.9218,39.5239
288.50836,-120.4549,38.57567
295.49274,-120.094,38.62627
288.75836,-120.5208,38.8577
294.50055,-120.1582,38.90858
295.99274,-119.795,38.9581
292.06305,-120.223,39.19109
295.3443,-119.8581,39.24089
294.50055,-120.2885,39.4738
294.37555,-119.9218,39.5239
288.24115,-120.4549,38.57567
295.22552,-120.094,38.62627
288.7099,-120.5208,38.8577
294.4599,-120.1582,38.90858
294.67865,-119.795,38.9581
292.5302,-120.223,39.19109
294.48334,-119.8581,39.24089
294.62396,-120.2885,39.4738
294.10052,-119.9218,39.5239
291.1921,-120.4549,38.57567
299.4968,-120.094,38.62627
291.8093,-120.5208,38.8577
298.0593,-120.1582,38.90858
297.1218,-119.795,38.9581
295.4421,-120.223,39.19109
297.41086,-119.8581,39.24089
298.09836,-120.2885,39.4738
296.1921,-119.9218,39.5239
290.63028,-120.4549,38.57567
299.54434,-120.094,38.62627
292.04434,-120.5208,38.8577
297.62247,-120.1582,38.90858
295.09122,-119.795,38.9581
296.41934,-120.223,39.19109
294.93497,-119.8581,39.24089
297.43497,-120.2885,39.4738
292.54434,-119.9218,39.5239
291.82758,-120.4549,38.57567
299.55414,-120.094,38.62627
292.9135,-120.5208,38.8577
297.75726,-120.1582,38.90858
294.18695,-119.795,38.9581
296.36664,-120.223,39.19109
294.92133,-119.8581,39.24089
297.5932,-120.2885,39.4738
292.23383,-119.9218,39.5239
293.47223,-120.4549,38.57567
301.43317,-120.094,38.62627
293.58942,-120.5208,38.8577
300.35504,-120.1582,38.90858
300.58942,-119.795,38.9581
296.78473,-120.223,39.19109
300.5738,-119.8581,39.24089
299.56598,-120.2885,39.4738
297.80035,-119.9218,39.5239
290.6959,-120.4549,38.57567
298.0709,-120.094,38.62627
290.6959,-120.5208,38.8577
296.62558,-120.1582,38.90858
296.8287,-119.795,38.9581
293.91464,-120.223,39.19109
296.29745,-119.8581,39.24089
296.47714,-120.2885,39.4738
295.39902,-119.9218,39.5239
289.97998,-120.4549,38.57567
296.35498,-120.094,38.62627
290.33936,-120.5208,38.8577
295.4956,-120.1582,38.90858
296.69092,-119.795,38.9581
293.37842,-120.223,39.19109
296.31592,-119.8581,39.24089
295.4253,-120.2885,39.4738
294.69873,-119.9218,39.5239
286.7738,-120.4549,38.57567
293.8129,-120.094,38.62627
287.5238,-120.5208,38.8577
292.64883,-120.1582,38.90858
293.26602,-119.795,38.9581
290.72693,-120.223,39.19109
292.8207,-119.8581,39.24089
292.38318,-120.2885,39.4738
292.36755,-119.9218,39.5239
285.532,-120.4549,38.57567
290.94608,-120.094,38.62627
285.91483,-120.5208,38.8577
290.1492,-120.1582,38.90858
289.1414,-119.795,38.9581
288.5867,-120.223,39.19109
289.3992,-119.8581,39.24089
289.87576,-120.2885,39.4738
289.50858,-119.9218,39.5239
283.68512,-120.4549,38.57567
288.47418,-120.094,38.62627
284.46637,-120.5208,38.8577
287.74762,-120.1582,38.90858
287.02887,-119.795,38.9581
286.15387,-120.223,39.19109
286.88043,-119.8581,39.24089
287.32574,-120.2885,39.4738
286.09918,-119.9218,39.5239
283.12326,-120.4549,38.57567
288.8889,-120.094,38.62627
283.94357,-120.5208,38.8577
287.04514,-120.1582,38.90858
285.12326,-119.795,38.9581
286.0139,-120.223,39.19109
285.25607,-119.8581,39.24089
286.6467,-120.2885,39.4738
285.67014,-119.9218,39.5239
287.52728,-120.4549,38.57567
294.67572,-120.094,38.62627
288.80072,-120.5208,38.8577
292.21478,-120.1582,38.90858
287.74603,-119.795,38.9581
291.87103,-120.223,39.19109
287.43353,-119.8581,39.24089
291.51166,-120.2885,39.4738
285.90228,-119.9218,39.5239
288.29633,-120.4549,38.57567
293.67133,-120.094,38.62627
289.18695,-120.5208,38.8577
291.04633,-120.1582,38.90858
288.51508,-119.795,38.9581
290.93695,-120.223,39.19109
288.2807,-119.8581,39.24089
290.5385,-120.2885,39.4738
286.38226,-119.9218,39.5239
287.75916,-120.4549,38.57567
294.6654,-120.094,38.62627
289.00134,-120.5208,38.8577
291.82947,-120.1582,38.90858
287.7201,-119.795,38.9581
291.88416,-120.223,39.19109
287.8529,-119.8581,39.24089
291.6576,-120.2885,39.4738
285.86853,-119.9218,39.5239
287.2697,-120.4549,38.57567
295.80878,-120.094,38.62627
289.4572,-120.5208,38.8577
293.6916,-120.1582,38.90858
289.62128,-119.795,38.9581
292.21503,-120.223,39.19109
290.1916,-119.8581,39.24089
293.6291,-120.2885,39.4738
287.17596,-119.9218,39.5239
287.17505,-120.4549,38.57567
297.37817,-120.094,38.62627
289.386,-120.5208,38.8577
295.6516,-120.1582,38.90858
291.4641,-119.795,38.9581
292.29224,-120.223,39.19109
