pr_wtr,lon,lat
10.401526,-120.4549,38.57567
6.1046515,-120.094,38.62627
10.401526,-120.5208,38.8577
6.8390265,-120.1582,38.90858
5.9640265,-119.795,38.9581
7.0109015,-120.223,39.19109
6.2609015,-119.8581,39.24089
6.7296515,-120.2885,39.4738
6.9015265,-119.9218,39.5239
12.984259,-120.4549,38.57567
8.390508,-120.094,38.62627
12.781134,-120.5208,38.8577
9.109259,-120.1582,38.90858
9.031134,-119.795,38.9581
9.234259,-120.223,39.19109
9.140509,-119.8581,39.24089
8.781133,-120.2885,39.4738
9.921759,-119.9218,39.5239
15.667806,-120.4549,38.57567
10.261557,-120.094,38.62627
15.558431,-120.5208,38.8577
11.199057,-120.1582,38.90858
10.667807,-119.795,38.9581
11.417807,-120.223,39.19109
10.933432,-119.8581,39.24089
10.870932,-120.2885,39.4738
11.839682,-119.9218,39.5239
18.999363,-120.4549,38.57567
12.124363,-120.094,38.62627
18.093113,-120.5208,38.8577
12.764988,-120.1582,38.90858
12.124363,-119.795,38.9581
12.468113,-120.223,39.19109
11.905613,-119.8581,39.24089
11.452488,-120.2885,39.4738
12.655613,-119.9218,39.5239
12.252344,-120.4549,38.57567
7.736719,-120.094,38.62627
11.939844,-120.5208,38.8577
8.533594,-120.1582,38.90858
8.127344,-119.795,38.9581
8.486719,-120.223,39.19109
8.205469,-119.8581,39.24089
8.064844,-120.2885,39.4738
8.752344,-119.9218,39.5239
11.247707,-120.4549,38.57567
7.091457,-120.094,38.62627
11.122707,-120.5208,38.8577
7.903958,-120.1582,38.90858
7.482083,-119.795,38.9581
8.013332,-120.223,39.19109
7.747708,-119.8581,39.24089
7.747708,-120.2885,39.4738
8.357082,-119.9218,39.5239
13.018059,-120.4549,38.57567
9.096183,-120.094,38.62627
13.408684,-120.5208,38.8577
9.971183,-120.1582,38.90858
9.627433,-119.795,38.9581
10.502433,-120.223,39.19109
10.174308,-119.8581,39.24089
10.502433,-120.2885,39.4738
11.252433,-119.9218,39.5239
16.537216,-120.4549,38.57567
10.880967,-120.094,38.62627
15.959092,-120.5208,38.8577
11.630967,-120.1582,38.90858
11.224717,-119.795,38.9581
11.115342,-120.223,39.19109
11.130967,-119.8581,39.24089
10.005968,-120.2885,39.4738
11.396592,-119.9218,39.5239
12.4886465,-120.4549,38.57567
7.8011456,-120.094,38.62627
11.8480215,-120.5208,38.8577
8.301146,-120.1582,38.90858
8.004271,-119.795,38.9581
8.223021,-120.223,39.19109
8.082396,-119.8581,39.24089
7.7698956,-120.2885,39.4738
8.769896,-119.9218,39.5239
11.051637,-120.4549,38.57567
6.9891367,-120.094,38.62627
10.723512,-120.5208,38.8577
7.6141367,-120.1582,38.90858
7.5985117,-119.795,38.9581
7.4891367,-120.223,39.19109
7.2703867,-119.8581,39.24089
6.9578867,-120.2885,39.4738
7.7391367,-119.9218,39.5239
9.124939,-120.4549,38.57567
5.312439,-120.094,38.62627
8.984314,-120.5208,38.8577
5.765564,-120.1582,38.90858
5.328064,-119.795,38.9581
5.718689,-120.223,39.19109
5.421814,-119.8581,39.24089
5.234314,-120.2885,39.4738
5.765564,-119.9218,39.5239
