apcp,lon,lat
0.53125,-120.4549,38.57567
0.0234375,-120.094,38.62627
1.15625,-120.5208,38.8577
0.0390625,-120.1582,38.90858
0.0,-119.795,38.9581
0.390625,-120.223,39.19109
0.0234375,-119.8581,39.24089
0.609375,-120.2885,39.4738
0.0234375,-119.9218,39.5239
39.671875,-120.4549,38.57567
45.203125,-120.094,38.62627
39.0,-120.5208,38.8577
33.617188,-120.1582,38.90858
19.726562,-119.795,38.9581
33.59375,-120.223,39.19109
14.7578125,-119.8581,39.24089
25.773438,-120.2885,39.4738
13.109375,-119.9218,39.5239
45.164062,-120.4549,38.57567
45.117188,-120.094,38.62627
50.984375,-120.5208,38.8577
26.09375,-120.1582,38.90858
7.390625,-119.795,38.9581
34.6875,-120.223,39.19109
6.2890625,-119.8581,39.24089
21.070312,-120.2885,39.4738
5.3984375,-119.9218,39.5239
28.3125,-120.4549,38.57567
18.398438,-120.094,38.62627
32.804688,-120.5208,38.8577
18.335938,-120.1582,38.90858
4.7890625,-119.795,38.9581
20.992188,-120.223,39.19109
1.9375,-119.8581,39.24089
9.0078125,-120.2885,39.4738
1.6015625,-119.9218,39.5239
0.1171875,-120.4549,38.57567
0.140625,-120.094,38.62627
0.0546875,-120.5208,38.8577
0.109375,-120.1582,38.90858
0.0859375,-119.795,38.9581
0.046875,-120.223,39.19109
0.0234375,-119.8581,39.24089
0.03125,-120.2885,39.4738
0.03125,-119.9218,39.5239
0.03125,-120.4549,38.57567
0.0234375,-120.094,38.62627
0.0234375,-120.5208,38.8577
0.0234375,-120.1582,38.90858
0.0234375,-119.795,38.9581
0.0234375,-120.223,39.19109
0.015625,-119.8581,39.24089
0.0234375,-120.2885,39.4738
0.0234375,-119.9218,39.5239
3.2890625,-120.4549,38.57567
3.15625,-120.094,38.62627
6.03125,-120.5208,38.8577
5.4453125,-120.1582,38.90858
2.171875,-119.795,38.9581
5.0,-120.223,39.19109
3.421875,-119.8581,39.24089
3.5625,-120.2885,39.4738
1.4375,-119.9218,39.5239
14.0390625,-120.4549,38.57567
23.421875,-120.094,38.62627
16.007812,-120.5208,38.8577
13.9765625,-120.1582,38.90858
9.0234375,-119.795,38.9581
13.3671875,-120.223,39.19109
6.90625,-119.8581,39.24089
8.5,-120.2885,39.4738
4.5546875,-119.9218,39.5239
40.476562,-120.4549,38.57567
32.992188,-120.094,38.62627
31.84375,-120.5208,38.8577
26.015625,-120.1582,38.90858
17.132812,-119.795,38.9581
27.367188,-120.223,39.19109
14.6015625,-119.8581,39.24089
28.203125,-120.2885,39.4738
15.546875,-119.9218,39.5239
12.3671875,-120.4549,38.57567
12.6875,-120.094,38.62627
11.8046875,-120.5208,38.8577
6.9921875,-120.1582,38.90858
4.4609375,-119.795,38.9581
5.4375,-120.223,39.19109
1.46875,-119.8581,39.24089
2.2109375,-120.2885,39.4738
0.4921875,-119.9218,39.5239
14.0,-120.4549,38.57567
12.59375,-120.094,38.62627
14.7890625,-120.5208,38.8577
10.6484375,-120.1582,38.90858
4.921875,-119.795,38.9581
11.0859375,-120.223,39.19109
3.7109375,-119.8581,39.24089
7.9609375,-120.2885,39.4738
3.2421875,-119.9218,39.5239
10.828125,-120.4549,38.57567
10.09375,-120.094,38.62627
12.453125,-120.5208,38.8577
8.53125,-120.1582,38.90858
2.546875,-119.795,38.9581
7.5390625,-120.223,39.19109
1.34375,-119.8581,39.24089
2.703125,-120.2885,39.4738
0.59375,-119.9218,39.5239
0.5078125,-120.4549,38.57567
0.671875,-120.094,38.62627
0.578125,-120.5208,38.8577
0.421875,-120.1582,38.90858
0.140625,-119.795,38.9581
0.3671875,-120.223,39.19109
0.0546875,-119.8581,39.24089
0.2890625,-120.2885,39.4738
0.0703125,-119.9218,39.5239
0.046875,-120.4549,38.57567
0.0390625,-120.094,38.62627
0.03125,-120.5208,38.8577
0.1328125,-120.1582,38.90858
0.1015625,-119.795,38.9581
0.0625,-120.223,39.19109
0.125,-119.8581,39.24089
0.0390625,-120.2885,39.4738
0.0625,-119.9218,39.5239
3.3984375,-120.4549,38.57567
7.09375,-120.094,38.62627
5.0703125,-120.5208,38.8577
7.0625,-120.1582,38.90858
5.90625,-119.795,38.9581
6.078125,-120.223,39.19109
5.4609375,-119.8581,39.24089
4.78125,-120.2885,39.4738
4.546875,-119.9218,39.5239
1.75,-120.4549,38.57567
0.9609375,-120.094,38.62627
2.078125,-120.5208,38.8577
0.8203125,-120.1582,38.90858
0.3046875,-119.795,38.9581
0.3515625,-120.223,39.19109
0.0703125,-119.8581,39.24089
0.1875,-120.2885,39.4738
0.0390625,-119.9218,39.5239
0.018500049,-120.4549,38.57567
0.026312549,-120.094,38.62627
0.03412505,-120.5208,38.8577
0.05756255,-120.1582,38.90858
0.018500049,-119.795,38.9581
0.026312549,-120.223,39.19109
0.0028750484,-119.8581,39.24089
0.026312549,-120.2885,39.4738
0.05756255,-119.9218,39.5239
0.0078125,-120.4549,38.57567
0.0625,-120.094,38.62627
0.0078125,-120.5208,38.8577
0.1015625,-120.1582,38.90858
0.09375,-119.795,38.9581
0.046875,-120.223,39.19109
0.0546875,-119.8581,39.24089
0.046875,-120.2885,39.4738
0.046875,-119.9218,39.5239
0.0390625,-120.4549,38.57567
0.078125,-120.094,38.62627
0.0546875,-120.5208,38.8577
0.046875,-120.1582,38.90858
0.0234375,-119.795,38.9581
0.03125,-120.223,39.19109
0.015625,-119.8581,39.24089
0.0703125,-120.2885,39.4738
0.015625,-119.9218,39.5239
0.0390625,-120.4549,38.57567
0.0234375,-120.094,38.62627
0.03125,-120.5208,38.8577
0.0234375,-120.1582,38.90858
0.046875,-119.795,38.9581
0.0078125,-120.223,39.19109
0.0078125,-119.8581,39.24089
0.0078125,-120.2885,39.4738
0.015625,-119.9218,39.5239
0.0078125,-120.4549,38.57567
0.0078125,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0078125,-119.8581,39.24089
0.0078125,-120.2885,39.4738
0.0078125,-119.9218,39.5239
0.00986504,-120.4549,38.57567
0.056740038,-120.094,38.62627
0.00986504,-120.5208,38.8577
0.01767754,-120.1582,38.90858
0.033302538,-119.795,38.9581
0.02549004,-120.223,39.19109
0.08799004,-119.8581,39.24089
0.07236504,-120.2885,39.4738
0.048927538,-119.9218,39.5239
0.0078125,-120.4549,38.57567
0.0234375,-120.094,38.62627
0.015625,-120.5208,38.8577
0.015625,-120.1582,38.90858
0.0234375,-119.795,38.9581
0.0234375,-120.223,39.19109
0.015625,-119.8581,39.24089
0.015625,-120.2885,39.4738
0.03125,-119.9218,39.5239
0.015625,-120.4549,38.57567
0.0078125,-120.094,38.62627
0.015625,-120.5208,38.8577
0.0078125,-120.1582,38.90858
0.0,-119.795,38.9581
0.015625,-120.223,39.19109
0.0234375,-119.8581,39.24089
0.0390625,-120.2885,39.4738
0.03125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.03125,-120.223,39.19109
0.0,-119.8581,39.24089
0.2890625,-120.2885,39.4738
0.0078125,-119.9218,39.5239
0.1015625,-120.4549,38.57567
0.0078125,-120.094,38.62627
0.1953125,-120.5208,38.8577
0.4375,-120.1582,38.90858
0.109375,-119.795,38.9581
0.59375,-120.223,39.19109
0.1484375,-119.8581,39.24089
0.3125,-120.2885,39.4738
0.1171875,-119.9218,39.5239
20.5,-120.4549,38.57567
10.34375,-120.094,38.62627
20.273438,-120.5208,38.8577
11.1328125,-120.1582,38.90858
2.734375,-119.795,38.9581
11.8515625,-120.223,39.19109
2.359375,-119.8581,39.24089
7.796875,-120.2885,39.4738
