pres,lon,lat
86678.125,-120.4549,38.57567
77278.125,-120.094,38.62627
86465.625,-120.5208,38.8577
79265.625,-120.1582,38.90858
79140.625,-119.795,38.9581
79465.625,-120.223,39.19109
79553.125,-119.8581,39.24089
78440.625,-120.2885,39.4738
81553.125,-119.9218,39.5239
86769.914,-120.4549,38.57567
77157.414,-120.094,38.62627
86519.914,-120.5208,38.8577
79157.414,-120.1582,38.90858
79019.914,-119.795,38.9581
79319.914,-120.223,39.19109
79432.414,-119.8581,39.24089
78282.414,-120.2885,39.4738
81369.914,-119.9218,39.5239
87044.95,-120.4549,38.57567
77382.45,-120.094,38.62627
86757.45,-120.5208,38.8577
79369.95,-120.1582,38.90858
79207.45,-119.795,38.9581
79494.95,-120.223,39.19109
79594.95,-119.8581,39.24089
78394.95,-120.2885,39.4738
81507.45,-119.9218,39.5239
86756.49,-120.4549,38.57567
77318.99,-120.094,38.62627
86543.99,-120.5208,38.8577
79306.49,-120.1582,38.90858
79181.49,-119.795,38.9581
79531.49,-120.223,39.19109
79581.49,-119.8581,39.24089
78456.49,-120.2885,39.4738
81543.99,-119.9218,39.5239
86833.02,-120.4549,38.57567
77445.52,-120.094,38.62627
86633.02,-120.5208,38.8577
79458.02,-120.1582,38.90858
79395.52,-119.795,38.9581
79670.52,-120.223,39.19109
79820.52,-119.8581,39.24089
78683.02,-120.2885,39.4738
81833.02,-119.9218,39.5239
87191.58,-120.4549,38.57567
77829.08,-120.094,38.62627
86979.08,-120.5208,38.8577
79841.58,-120.1582,38.90858
79779.08,-119.795,38.9581
80041.58,-120.223,39.19109
80191.58,-119.8581,39.24089
79066.58,-120.2885,39.4738
82179.08,-119.9218,39.5239
87058.305,-120.4549,38.57567
77670.805,-120.094,38.62627
86820.805,-120.5208,38.8577
79633.305,-120.1582,38.90858
79483.305,-119.795,38.9581
79795.805,-120.223,39.19109
79845.805,-119.8581,39.24089
78720.805,-120.2885,39.4738
81808.305,-119.9218,39.5239
86591.734,-120.4549,38.57567
77141.734,-120.094,38.62627
86316.734,-120.5208,38.8577
79079.234,-120.1582,38.90858
78954.234,-119.795,38.9581
79254.234,-120.223,39.19109
79341.734,-119.8581,39.24089
78204.234,-120.2885,39.4738
81304.234,-119.9218,39.5239
85507.41,-120.4549,38.57567
76069.91,-120.094,38.62627
85257.41,-120.5208,38.8577
78082.41,-120.1582,38.90858
77957.41,-119.795,38.9581
78269.91,-120.223,39.19109
78332.41,-119.8581,39.24089
77232.41,-120.2885,39.4738
80307.41,-119.9218,39.5239
86058.05,-120.4549,38.57567
76470.55,-120.094,38.62627
85808.05,-120.5208,38.8577
78508.05,-120.1582,38.90858
78345.55,-119.795,38.9581
78695.55,-120.223,39.19109
78745.55,-119.8581,39.24089
77683.05,-120.2885,39.4738
80758.05,-119.9218,39.5239
86579.77,-120.4549,38.57567
76917.27,-120.094,38.62627
86342.27,-120.5208,38.8577
78942.27,-120.1582,38.90858
78804.77,-119.795,38.9581
79117.27,-120.223,39.19109
79204.77,-119.8581,39.24089
78054.77,-120.2885,39.4738
81179.77,-119.9218,39.5239
86636.39,-120.4549,38.57567
76923.89,-120.094,38.62627
86398.89,-120.5208,38.8577
78986.39,-120.1582,38.90858
78898.89,-119.795,38.9581
79173.89,-120.223,39.19109
79298.89,-119.8581,39.24089
78173.89,-120.2885,39.4738
81311.39,-119.9218,39.5239
87095.64,-120.4549,38.57567
77395.64,-120.094,38.62627
86858.14,-120.5208,38.8577
79495.64,-120.1582,38.90858
79433.14,-119.795,38.9581
79683.14,-120.223,39.19109
79845.64,-119.8581,39.24089
78695.64,-120.2885,39.4738
81920.64,-119.9218,39.5239
86870.836,-120.4549,38.57567
77370.836,-120.094,38.62627
86670.836,-120.5208,38.8577
79433.336,-120.1582,38.90858
79408.336,-119.795,38.9581
79658.336,-120.223,39.19109
79820.836,-119.8581,39.24089
78645.836,-120.2885,39.4738
81858.336,-119.9218,39.5239
86509.82,-120.4549,38.57567
77034.82,-120.094,38.62627
86297.32,-120.5208,38.8577
79084.82,-120.1582,38.90858
79072.32,-119.795,38.9581
79322.32,-120.223,39.19109
79497.32,-119.8581,39.24089
78359.82,-120.2885,39.4738
81559.82,-119.9218,39.5239
86381.35,-120.4549,38.57567
76931.35,-120.094,38.62627
86168.85,-120.5208,38.8577
78981.35,-120.1582,38.90858
78981.35,-119.795,38.9581
79193.85,-120.223,39.19109
79406.35,-119.8581,39.24089
78231.35,-120.2885,39.4738
81443.85,-119.9218,39.5239
86798.85,-120.4549,38.57567
77311.35,-120.094,38.62627
86573.85,-120.5208,38.8577
79336.35,-120.1582,38.90858
79286.35,-119.795,38.9581
79561.35,-120.223,39.19109
79711.35,-119.8581,39.24089
78548.85,-120.2885,39.4738
81686.35,-119.9218,39.5239
87410.89,-120.4549,38.57567
77910.89,-120.094,38.62627
87198.39,-120.5208,38.8577
79910.89,-120.1582,38.90858
79848.39,-119.795,38.9581
80110.89,-120.223,39.19109
80235.89,-119.8581,39.24089
79110.89,-120.2885,39.4738
82260.89,-119.9218,39.5239
87576.03,-120.4549,38.57567
78076.02,-120.094,38.62627
87351.02,-120.5208,38.8577
80088.52,-120.1582,38.90858
80013.52,-119.795,38.9581
80288.52,-120.223,39.19109
