hlcy,lon,lat
110.263535,-120.4549,38.57567
67.013535,-120.094,38.62627
108.138535,-120.5208,38.8577
107.638535,-120.1582,38.90858
81.513535,-119.795,38.9581
109.763535,-120.223,39.19109
93.388535,-119.8581,39.24089
87.263535,-120.2885,39.4738
79.638535,-119.9218,39.5239
128.73645,-120.4549,38.57567
127.48645,-120.094,38.62627
123.73645,-120.5208,38.8577
124.98645,-120.1582,38.90858
118.73645,-119.795,38.9581
128.73645,-120.223,39.19109
134.98645,-119.8581,39.24089
119.98645,-120.2885,39.4738
107.48645,-119.9218,39.5239
297.32135,-120.4549,38.57567
320.94635,-120.094,38.62627
324.57135,-120.5208,38.8577
377.32135,-120.1582,38.90858
365.69635,-119.795,38.9581
386.19635,-120.223,39.19109
412.44635,-119.8581,39.24089
403.07135,-120.2885,39.4738
382.07135,-119.9218,39.5239
158.28357,-120.4549,38.57567
188.03357,-120.094,38.62627
179.65857,-120.5208,38.8577
217.78357,-120.1582,38.90858
228.78357,-119.795,38.9581
223.15857,-120.223,39.19109
238.90857,-119.8581,39.24089
224.90857,-120.2885,39.4738
223.53357,-119.9218,39.5239
58.971714,-120.4549,38.57567
49.471714,-120.094,38.62627
58.096714,-120.5208,38.8577
71.84672,-120.1582,38.90858
72.84672,-119.795,38.9581
70.59672,-120.223,39.19109
74.34672,-119.8581,39.24089
74.22172,-120.2885,39.4738
80.97172,-119.9218,39.5239
62.196907,-120.4549,38.57567
59.946907,-120.094,38.62627
59.696907,-120.5208,38.8577
64.32191,-120.1582,38.90858
63.196907,-119.795,38.9581
66.57191,-120.223,39.19109
64.19691,-119.8581,39.24089
58.946907,-120.2885,39.4738
60.321907,-119.9218,39.5239
196.7977,-120.4549,38.57567
166.7977,-120.094,38.62627
193.0477,-120.5208,38.8577
204.2977,-120.1582,38.90858
184.2977,-119.795,38.9581
220.5477,-120.223,39.19109
183.0477,-119.8581,39.24089
199.2977,-120.2885,39.4738
181.7977,-119.9218,39.5239
133.77924,-120.4549,38.57567
120.029236,-120.094,38.62627
151.27924,-120.5208,38.8577
182.52924,-120.1582,38.90858
157.52924,-119.795,38.9581
177.52924,-120.223,39.19109
167.52924,-119.8581,39.24089
150.02924,-120.2885,39.4738
147.52924,-119.9218,39.5239
156.37263,-120.4549,38.57567
138.87263,-120.094,38.62627
133.87263,-120.5208,38.8577
143.87263,-120.1582,38.90858
131.37263,-119.795,38.9581
131.37263,-120.223,39.19109
123.872635,-119.8581,39.24089
102.622635,-120.2885,39.4738
95.122635,-119.9218,39.5239
92.77812,-120.4549,38.57567
84.77812,-120.094,38.62627
91.90312,-120.5208,38.8577
101.90312,-120.1582,38.90858
85.65312,-119.795,38.9581
