dlwrf,lon,lat
286.6172,-120.4549,38.57567
212.72656,-120.094,38.62627
281.6875,-120.5208,38.8577
225.76562,-120.1582,38.90858
224.19531,-119.795,38.9581
246.36719,-120.223,39.19109
227.60938,-119.8581,39.24089
225.1875,-120.2885,39.4738
242.71094,-119.9218,39.5239
327.22656,-120.4549,38.57567
247.875,-120.094,38.62627
317.77344,-120.5208,38.8577
266.78125,-120.1582,38.90858
290.67188,-119.795,38.9581
287.92188,-120.223,39.19109
281.71875,-119.8581,39.24089
268.1875,-120.2885,39.4738
293.52344,-119.9218,39.5239
339.0547,-120.4549,38.57567
280.98438,-120.094,38.62627
333.78125,-120.5208,38.8577
289.4375,-120.1582,38.90858
284.21875,-119.795,38.9581
310.89062,-120.223,39.19109
290.4297,-119.8581,39.24089
291.5703,-120.2885,39.4738
300.17188,-119.9218,39.5239
350.1172,-120.4549,38.57567
268.25,-120.094,38.62627
343.17188,-120.5208,38.8577
275.39844,-120.1582,38.90858
279.47656,-119.795,38.9581
300.4453,-120.223,39.19109
281.26562,-119.8581,39.24089
272.85156,-120.2885,39.4738
286.375,-119.9218,39.5239
275.35156,-120.4549,38.57567
222.34375,-120.094,38.62627
273.89844,-120.5208,38.8577
234.35156,-120.1582,38.90858
235.15625,-119.795,38.9581
252.74219,-120.223,39.19109
237.73438,-119.8581,39.24089
240.46094,-120.2885,39.4738
254.19531,-119.9218,39.5239
275.09375,-120.4549,38.57567
219.48438,-120.094,38.62627
273.3203,-120.5208,38.8577
230.64062,-120.1582,38.90858
226.11719,-119.795,38.9581
246.65625,-120.223,39.19109
234.51562,-119.8581,39.24089
233.67969,-120.2885,39.4738
244.99219,-119.9218,39.5239
316.53906,-120.4549,38.57567
268.89062,-120.094,38.62627
315.5703,-120.5208,38.8577
279.28906,-120.1582,38.90858
277.20312,-119.795,38.9581
292.73438,-120.223,39.19109
282.21094,-119.8581,39.24089
276.76562,-120.2885,39.4738
295.25,-119.9218,39.5239
343.46875,-120.4549,38.57567
285.46875,-120.094,38.62627
335.1875,-120.5208,38.8577
288.89844,-120.1582,38.90858
289.40625,-119.795,38.9581
307.32812,-120.223,39.19109
301.79688,-119.8581,39.24089
290.59375,-120.2885,39.4738
311.14844,-119.9218,39.5239
318.8047,-120.4549,38.57567
255.30469,-120.094,38.62627
314.32812,-120.5208,38.8577
265.85938,-120.1582,38.90858
277.78125,-119.795,38.9581
279.60156,-120.223,39.19109
274.84375,-119.8581,39.24089
266.8672,-120.2885,39.4738
291.57812,-119.9218,39.5239
309.33594,-120.4549,38.57567
236.39844,-120.094,38.62627
312.14844,-120.5208,38.8577
244.5625,-120.1582,38.90858
261.46094,-119.795,38.9581
269.64844,-120.223,39.19109
253.5625,-119.8581,39.24089
241.11719,-120.2885,39.4738
264.03125,-119.9218,39.5239
289.92188,-120.4549,38.57567
225.53906,-120.094,38.62627
285.95312,-120.5208,38.8577
236.60938,-120.1582,38.90858
232.5,-119.795,38.9581
252.41406,-120.223,39.19109
242.40625,-119.8581,39.24089
248.74219,-120.2885,39.4738
264.01562,-119.9218,39.5239
254.83594,-120.4549,38.57567
211.25,-120.094,38.62627
259.45312,-120.5208,38.8577
208.59375,-120.1582,38.90858
224.15625,-119.795,38.9581
234.8125,-120.223,39.19109
213.03125,-119.8581,39.24089
203.59375,-120.2885,39.4738
241.55469,-119.9218,39.5239
226.96094,-120.4549,38.57567
183.14844,-120.094,38.62627
222.07031,-120.5208,38.8577
183.53906,-120.1582,38.90858
187.86719,-119.795,38.9581
192.125,-120.223,39.19109
183.21094,-119.8581,39.24089
174.34375,-120.2885,39.4738
219.67188,-119.9218,39.5239
300.5547,-120.4549,38.57567
270.72656,-120.094,38.62627
297.15625,-120.5208,38.8577
271.52344,-120.1582,38.90858
266.92188,-119.795,38.9581
278.3047,-120.223,39.19109
263.875,-119.8581,39.24089
266.2422,-120.2885,39.4738
265.64062,-119.9218,39.5239
324.6875,-120.4549,38.57567
274.7422,-120.094,38.62627
321.33594,-120.5208,38.8577
290.64062,-120.1582,38.90858
290.10156,-119.795,38.9581
299.23438,-120.223,39.19109
288.125,-119.8581,39.24089
286.6875,-120.2885,39.4738
292.3203,-119.9218,39.5239
277.8203,-120.4549,38.57567
216.29688,-120.094,38.62627
266.01562,-120.5208,38.8577
208.4375,-120.1582,38.90858
220.79688,-119.795,38.9581
219.19531,-120.223,39.19109
207.70312,-119.8581,39.24089
201.07031,-120.2885,39.4738
214.4375,-119.9218,39.5239
238.80469,-120.4549,38.57567
188.41406,-120.094,38.62627
242.6875,-120.5208,38.8577
195.03906,-120.1582,38.90858
198.25781,-119.795,38.9581
208.08594,-120.223,39.19109
199.57031,-119.8581,39.24089
194.5625,-120.2885,39.4738
209.32812,-119.9218,39.5239
232.67188,-120.4549,38.57567
179.78125,-120.094,38.62627
236.34375,-120.5208,38.8577
190.73438,-120.1582,38.90858
191.22656,-119.795,38.9581
203.08594,-120.223,39.19109
195.24219,-119.8581,39.24089
191.3125,-120.2885,39.4738
207.22656,-119.9218,39.5239
247.21094,-120.4549,38.57567
203.55469,-120.094,38.62627
251.375,-120.5208,38.8577
212.92969,-120.1582,38.90858
207.08594,-119.795,38.9581
221.90625,-120.223,39.19109
211.03125,-119.8581,39.24089
211.50781,-120.2885,39.4738
220.28125,-119.9218,39.5239
247.40625,-120.4549,38.57567
195.875,-120.094,38.62627
255.42969,-120.5208,38.8577
203.60938,-120.1582,38.90858
204.0625,-119.795,38.9581
229.64062,-120.223,39.19109
202.96875,-119.8581,39.24089
203.33594,-120.2885,39.4738
218.16406,-119.9218,39.5239
225.41406,-120.4549,38.57567
176.17188,-120.094,38.62627
227.92188,-120.5208,38.8577
189.63281,-120.1582,38.90858
186.95312,-119.795,38.9581
204.66406,-120.223,39.19109
193.53125,-119.8581,39.24089
193.70312,-120.2885,39.4738
210.25781,-119.9218,39.5239
244.125,-120.4549,38.57567
191.5,-120.094,38.62627
256.04688,-120.5208,38.8577
199.39062,-120.1582,38.90858
205.39844,-119.795,38.9581
220.91406,-120.223,39.19109
205.24219,-119.8581,39.24089
201.71094,-120.2885,39.4738
228.45312,-119.9218,39.5239
252.53906,-120.4549,38.57567
220.86719,-120.094,38.62627
258.3203,-120.5208,38.8577
224.84375,-120.1582,38.90858
218.6875,-119.795,38.9581
237.69531,-120.223,39.19109
219.38281,-119.8581,39.24089
222.03125,-120.2885,39.4738
223.61719,-119.9218,39.5239
264.27344,-120.4549,38.57567
200.64844,-120.094,38.62627
268.07812,-120.5208,38.8577
209.49219,-120.1582,38.90858
207.70312,-119.795,38.9581
234.07031,-120.223,39.19109
212.46094,-119.8581,39.24089
209.08594,-120.2885,39.4738
225.90625,-119.9218,39.5239
282.64062,-120.4549,38.57567
201.10938,-120.094,38.62627
293.6172,-120.5208,38.8577
217.125,-120.1582,38.90858
207.24219,-119.795,38.9581
240.91406,-120.223,39.19109
217.64844,-119.8581,39.24089
217.36719,-120.2885,39.4738
237.125,-119.9218,39.5239
275.89062,-120.4549,38.57567
202.625,-120.094,38.62627
278.51562,-120.5208,38.8577
217.10156,-120.1582,38.90858
208.35156,-119.795,38.9581
242.24219,-120.223,39.19109
222.71875,-119.8581,39.24089
226.67188,-120.2885,39.4738
244.09375,-119.9218,39.5239
327.6953,-120.4549,38.57567
236.08594,-120.094,38.62627
330.15625,-120.5208,38.8577
250.3125,-120.1582,38.90858
252.25781,-119.795,38.9581
288.6953,-120.223,39.19109
262.0,-119.8581,39.24089
255.1875,-120.2885,39.4738
270.97656,-119.9218,39.5239
277.0547,-120.4549,38.57567
228.98438,-120.094,38.62627
283.4453,-120.5208,38.8577
241.04688,-120.1582,38.90858
233.76562,-119.795,38.9581
257.6875,-120.223,39.19109
237.8125,-119.8581,39.24089
241.11719,-120.2885,39.4738
256.46094,-119.9218,39.5239
266.375,-120.4549,38.57567
231.5625,-120.094,38.62627
273.625,-120.5208,38.8577
237.89844,-120.1582,38.90858
236.39844,-119.795,38.9581
248.53125,-120.223,39.19109
239.22656,-119.8581,39.24089
240.20312,-120.2885,39.4738
254.3125,-119.9218,39.5239
243.30469,-120.4549,38.57567
197.21094,-120.094,38.62627
247.85938,-120.5208,38.8577
205.35156,-120.1582,38.90858
205.20312,-119.795,38.9581
218.47656,-120.223,39.19109
211.35938,-119.8581,39.24089
212.21875,-120.2885,39.4738
227.64062,-119.9218,39.5239
316.97656,-120.4549,38.57567
257.89062,-120.094,38.62627
320.64062,-120.5208,38.8577
270.39844,-120.1582,38.90858
261.1328,-119.795,38.9581
288.2422,-120.223,39.19109
266.40625,-119.8581,39.24089
273.65625,-120.2885,39.4738
290.28906,-119.9218,39.5239
238.70312,-120.4549,38.57567
189.10938,-120.094,38.62627
243.85938,-120.5208,38.8577
197.61719,-120.1582,38.90858
200.0625,-119.795,38.9581
215.71875,-120.223,39.19109
202.51562,-119.8581,39.24089
202.03906,-120.2885,39.4738
218.88281,-119.9218,39.5239
284.875,-120.4549,38.57567
246.59375,-120.094,38.62627
291.04688,-120.5208,38.8577
259.3828,-120.1582,38.90858
256.625,-119.795,38.9581
273.14062,-120.223,39.19109
265.28125,-119.8581,39.24089
261.60156,-120.2885,39.4738
278.53906,-119.9218,39.5239
329.6328,-120.4549,38.57567
258.28906,-120.094,38.62627
329.71875,-120.5208,38.8577
277.125,-120.1582,38.90858
269.07812,-119.795,38.9581
298.35938,-120.223,39.19109
278.33594,-119.8581,39.24089
269.72656,-120.2885,39.4738
290.89062,-119.9218,39.5239
286.6172,-120.4549,38.57567
229.89062,-120.094,38.62627
279.71094,-120.5208,38.8577
244.88281,-120.1582,38.90858
262.96094,-119.795,38.9581
252.91406,-120.223,39.19109
269.7422,-119.8581,39.24089
247.17188,-120.2885,39.4738
290.6875,-119.9218,39.5239
222.35938,-120.4549,38.57567
178.79688,-120.094,38.62627
224.95312,-120.5208,38.8577
184.28906,-120.1582,38.90858
186.47656,-119.795,38.9581
195.69531,-120.223,39.19109
187.09375,-119.8581,39.24089
185.34375,-120.2885,39.4738
201.59375,-119.9218,39.5239
216.77344,-120.4549,38.57567
166.75,-120.094,38.62627
216.67188,-120.5208,38.8577
174.23438,-120.1582,38.90858
180.79688,-119.795,38.9581
186.875,-120.223,39.19109
179.98438,-119.8581,39.24089
174.5625,-120.2885,39.4738
205.85156,-119.9218,39.5239
202.25781,-120.4549,38.57567
151.6875,-120.094,38.62627
202.22656,-120.5208,38.8577
159.99219,-120.1582,38.90858
172.48438,-119.795,38.9581
174.46875,-120.223,39.19109
166.46875,-119.8581,39.24089
162.47656,-120.2885,39.4738
207.625,-119.9218,39.5239
229.28906,-120.4549,38.57567
191.01562,-120.094,38.62627
234.64062,-120.5208,38.8577
196.85938,-120.1582,38.90858
191.73438,-119.795,38.9581
210.48438,-120.223,39.19109
195.61719,-119.8581,39.24089
200.39844,-120.2885,39.4738
207.6875,-119.9218,39.5239
241.60938,-120.4549,38.57567
197.46875,-120.094,38.62627
246.96875,-120.5208,38.8577
208.13281,-120.1582,38.90858
212.07031,-119.795,38.9581
220.84375,-120.223,39.19109
215.69531,-119.8581,39.24089
211.59375,-120.2885,39.4738
235.96094,-119.9218,39.5239
213.96875,-120.4549,38.57567
161.01562,-120.094,38.62627
210.86719,-120.5208,38.8577
166.75781,-120.1582,38.90858
197.14844,-119.795,38.9581
179.50781,-120.223,39.19109
179.35156,-119.8581,39.24089
165.50781,-120.2885,39.4738
219.375,-119.9218,39.5239
195.82812,-120.4549,38.57567
152.57031,-120.094,38.62627
196.29688,-120.5208,38.8577
157.55469,-120.1582,38.90858
158.69531,-119.795,38.9581
170.92188,-120.223,39.19109
161.60156,-119.8581,39.24089
160.61719,-120.2885,39.4738
175.67188,-119.9218,39.5239
220.42969,-120.4549,38.57567
192.35156,-120.094,38.62627
228.52344,-120.5208,38.8577
195.36719,-120.1582,38.90858
190.53906,-119.795,38.9581
208.33594,-120.223,39.19109
193.70312,-119.8581,39.24089
197.33594,-120.2885,39.4738
198.75781,-119.9218,39.5239
226.53125,-120.4549,38.57567
198.65625,-120.094,38.62627
231.53906,-120.5208,38.8577
205.86719,-120.1582,38.90858
203.8125,-119.795,38.9581
216.34375,-120.223,39.19109
206.39062,-119.8581,39.24089
210.0,-120.2885,39.4738
215.64062,-119.9218,39.5239
236.375,-120.4549,38.57567
203.75,-120.094,38.62627
242.10156,-120.5208,38.8577
213.89844,-120.1582,38.90858
211.42188,-119.795,38.9581
226.39062,-120.223,39.19109
219.09375,-119.8581,39.24089
221.59375,-120.2885,39.4738
233.82812,-119.9218,39.5239
276.75,-120.4549,38.57567
214.11719,-120.094,38.62627
270.89062,-120.5208,38.8577
220.88281,-120.1582,38.90858
220.23438,-119.795,38.9581
238.72656,-120.223,39.19109
220.79688,-119.8581,39.24089
216.28125,-120.2885,39.4738
230.08594,-119.9218,39.5239
310.83594,-120.4549,38.57567
234.9375,-120.094,38.62627
307.8203,-120.5208,38.8577
245.08594,-120.1582,38.90858
238.71875,-119.795,38.9581
272.3828,-120.223,39.19109
238.04688,-119.8581,39.24089
243.00781,-120.2885,39.4738
253.15625,-119.9218,39.5239
319.3047,-120.4549,38.57567
253.49219,-120.094,38.62627
318.8828,-120.5208,38.8577
262.83594,-120.1582,38.90858
263.7422,-119.795,38.9581
275.82812,-120.223,39.19109
271.35938,-119.8581,39.24089
265.91406,-120.2885,39.4738
283.70312,-119.9218,39.5239
305.1875,-120.4549,38.57567
260.15625,-120.094,38.62627
310.3203,-120.5208,38.8577
270.5078,-120.1582,38.90858
266.75,-119.795,38.9581
282.21875,-120.223,39.19109
272.2422,-119.8581,39.24089
274.0078,-120.2885,39.4738
289.39844,-119.9218,39.5239
329.0625,-120.4549,38.57567
250.375,-120.094,38.62627
326.73438,-120.5208,38.8577
260.27344,-120.1582,38.90858
239.80469,-119.795,38.9581
294.46875,-120.223,39.19109
246.66406,-119.8581,39.24089
250.8125,-120.2885,39.4738
256.4297,-119.9218,39.5239
296.14844,-120.4549,38.57567
206.10938,-120.094,38.62627
292.33594,-120.5208,38.8577
231.42188,-120.1582,38.90858
223.58594,-119.795,38.9581
252.86719,-120.223,39.19109
234.34375,-119.8581,39.24089
225.25781,-120.2885,39.4738
256.9297,-119.9218,39.5239
241.8125,-120.4549,38.57567
192.21094,-120.094,38.62627
245.23438,-120.5208,38.8577
195.20312,-120.1582,38.90858
199.41406,-119.795,38.9581
208.30469,-120.223,39.19109
206.45312,-119.8581,39.24089
198.89844,-120.2885,39.4738
223.72656,-119.9218,39.5239
253.8125,-120.4549,38.57567
195.0,-120.094,38.62627
255.00781,-120.5208,38.8577
197.64062,-120.1582,38.90858
202.34375,-119.795,38.9581
212.95312,-120.223,39.19109
202.20312,-119.8581,39.24089
195.33594,-120.2885,39.4738
213.82031,-119.9218,39.5239
233.09375,-120.4549,38.57567
164.96094,-120.094,38.62627
233.26562,-120.5208,38.8577
172.32812,-120.1582,38.90858
177.05469,-119.795,38.9581
191.1875,-120.223,39.19109
180.39844,-119.8581,39.24089
172.60938,-120.2885,39.4738
194.67969,-119.9218,39.5239
250.6875,-120.4549,38.57567
184.49219,-120.094,38.62627
245.35938,-120.5208,38.8577
184.65625,-120.1582,38.90858
187.53125,-119.795,38.9581
200.57031,-120.223,39.19109
187.73438,-119.8581,39.24089
180.17188,-120.2885,39.4738
199.76562,-119.9218,39.5239
304.90625,-120.4549,38.57567
228.71094,-120.094,38.62627
304.6797,-120.5208,38.8577
240.04688,-120.1582,38.90858
242.86719,-119.795,38.9581
265.60156,-120.223,39.19109
248.36719,-119.8581,39.24089
238.53125,-120.2885,39.4738
259.07812,-119.9218,39.5239
332.02344,-120.4549,38.57567
260.10938,-120.094,38.62627
330.9453,-120.5208,38.8577
271.9375,-120.1582,38.90858
275.875,-119.795,38.9581
296.70312,-120.223,39.19109
286.01562,-119.8581,39.24089
279.17188,-120.2885,39.4738
304.48438,-119.9218,39.5239
323.53906,-120.4549,38.57567
268.82812,-120.094,38.62627
319.91406,-120.5208,38.8577
275.95312,-120.1582,38.90858
276.41406,-119.795,38.9581
284.8203,-120.223,39.19109
276.73438,-119.8581,39.24089
258.0,-120.2885,39.4738
281.6953,-119.9218,39.5239
317.96875,-120.4549,38.57567
274.3672,-120.094,38.62627
320.21875,-120.5208,38.8577
278.625,-120.1582,38.90858
275.16406,-119.795,38.9581
293.40625,-120.223,39.19109
279.02344,-119.8581,39.24089
279.26562,-120.2885,39.4738
289.6953,-119.9218,39.5239
290.70312,-120.4549,38.57567
240.4375,-120.094,38.62627
319.07812,-120.5208,38.8577
259.57812,-120.1582,38.90858
255.63281,-119.795,38.9581
278.64844,-120.223,39.19109
269.3828,-119.8581,39.24089
268.34375,-120.2885,39.4738
289.9453,-119.9218,39.5239
295.0,-120.4549,38.57567
235.75781,-120.094,38.62627
300.26562,-120.5208,38.8577
240.0625,-120.1582,38.90858
237.15625,-119.795,38.9581
266.0703,-120.223,39.19109
252.24219,-119.8581,39.24089
251.27344,-120.2885,39.4738
271.10938,-119.9218,39.5239
299.53906,-120.4549,38.57567
247.89844,-120.094,38.62627
299.78906,-120.5208,38.8577
255.4375,-120.1582,38.90858
259.96875,-119.795,38.9581
264.60156,-120.223,39.19109
252.21094,-119.8581,39.24089
244.63281,-120.2885,39.4738
264.34375,-119.9218,39.5239
224.375,-120.4549,38.57567
186.28906,-120.094,38.62627
222.89844,-120.5208,38.8577
182.07812,-120.1582,38.90858
206.34375,-119.795,38.9581
195.20312,-120.223,39.19109
193.74219,-119.8581,39.24089
182.13281,-120.2885,39.4738
215.47656,-119.9218,39.5239
240.3125,-120.4549,38.57567
221.52344,-120.094,38.62627
251.625,-120.5208,38.8577
225.92969,-120.1582,38.90858
234.00781,-119.795,38.9581
233.19531,-120.223,39.19109
230.38281,-119.8581,39.24089
225.52344,-120.2885,39.4738
238.52344,-119.9218,39.5239
232.52344,-120.4549,38.57567
179.6875,-120.094,38.62627
232.28125,-120.5208,38.8577
184.75781,-120.1582,38.90858
189.57031,-119.795,38.9581
199.4375,-120.223,39.19109
192.72656,-119.8581,39.24089
185.72656,-120.2885,39.4738
209.0625,-119.9218,39.5239
227.03906,-120.4549,38.57567
170.8125,-120.094,38.62627
224.14062,-120.5208,38.8577
177.42188,-120.1582,38.90858
179.54688,-119.795,38.9581
192.63281,-120.223,39.19109
184.45312,-119.8581,39.24089
180.14062,-120.2885,39.4738
201.76562,-119.9218,39.5239
245.25,-120.4549,38.57567
194.48438,-120.094,38.62627
243.34375,-120.5208,38.8577
198.63281,-120.1582,38.90858
196.00781,-119.795,38.9581
215.48438,-120.223,39.19109
201.78906,-119.8581,39.24089
202.33594,-120.2885,39.4738
213.32812,-119.9218,39.5239
279.125,-120.4549,38.57567
233.8125,-120.094,38.62627
275.53125,-120.5208,38.8577
239.96094,-120.1582,38.90858
236.33594,-119.795,38.9581
255.83594,-120.223,39.19109
242.70312,-119.8581,39.24089
242.89062,-120.2885,39.4738
248.53125,-119.9218,39.5239
300.1875,-120.4549,38.57567
251.60938,-120.094,38.62627
297.83594,-120.5208,38.8577
249.96875,-120.1582,38.90858
248.65625,-119.795,38.9581
266.0547,-120.223,39.19109
246.08594,-119.8581,39.24089
251.17969,-120.2885,39.4738
256.23438,-119.9218,39.5239
309.78125,-120.4549,38.57567
272.08594,-120.094,38.62627
308.60938,-120.5208,38.8577
282.1875,-120.1582,38.90858
277.8125,-119.795,38.9581
290.97656,-120.223,39.19109
281.1328,-119.8581,39.24089
279.6172,-120.2885,39.4738
284.35156,-119.9218,39.5239
268.96875,-120.4549,38.57567
209.50781,-120.094,38.62627
269.96094,-120.5208,38.8577
217.21094,-120.1582,38.90858
215.29688,-119.795,38.9581
235.57031,-120.223,39.19109
216.9375,-119.8581,39.24089
214.21094,-120.2885,39.4738
228.54688,-119.9218,39.5239
270.53906,-120.4549,38.57567
208.08594,-120.094,38.62627
257.27344,-120.5208,38.8577
211.01562,-120.1582,38.90858
210.0625,-119.795,38.9581
224.51562,-120.223,39.19109
214.78125,-119.8581,39.24089
210.63281,-120.2885,39.4738
229.53906,-119.9218,39.5239
262.76562,-120.4549,38.57567
210.82812,-120.094,38.62627
268.8828,-120.5208,38.8577
223.92188,-120.1582,38.90858
223.47656,-119.795,38.9581
239.53125,-120.223,39.19109
227.48438,-119.8581,39.24089
224.92969,-120.2885,39.4738
245.15625,-119.9218,39.5239
328.3672,-120.4549,38.57567
271.26562,-120.094,38.62627
325.22656,-120.5208,38.8577
278.9297,-120.1582,38.90858
279.96094,-119.795,38.9581
296.03125,-120.223,39.19109
282.98438,-119.8581,39.24089
283.6172,-120.2885,39.4738
307.14062,-119.9218,39.5239
317.14062,-120.4549,38.57567
238.95312,-120.094,38.62627
318.39062,-120.5208,38.8577
259.1328,-120.1582,38.90858
264.6953,-119.795,38.9581
284.53125,-120.223,39.19109
279.1953,-119.8581,39.24089
261.78125,-120.2885,39.4738
287.4922,-119.9218,39.5239
310.14062,-120.4549,38.57567
253.17188,-120.094,38.62627
308.71875,-120.5208,38.8577
250.47656,-120.1582,38.90858
247.22656,-119.795,38.9581
265.5,-120.223,39.19109
247.60938,-119.8581,39.24089
245.625,-120.2885,39.4738
249.19531,-119.9218,39.5239
265.53906,-120.4549,38.57567
222.45312,-120.094,38.62627
277.20312,-120.5208,38.8577
225.50781,-120.1582,38.90858
226.34375,-119.795,38.9581
238.39844,-120.223,39.19109
226.625,-119.8581,39.24089
230.32812,-120.2885,39.4738
226.55469,-119.9218,39.5239
239.59375,-120.4549,38.57567
172.89062,-120.094,38.62627
252.32031,-120.5208,38.8577
194.71875,-120.1582,38.90858
205.49219,-119.795,38.9581
210.35156,-120.223,39.19109
202.89062,-119.8581,39.24089
195.24219,-120.2885,39.4738
229.00781,-119.9218,39.5239
204.85938,-120.4549,38.57567
167.55469,-120.094,38.62627
208.41406,-120.5208,38.8577
173.35938,-120.1582,38.90858
174.9375,-119.795,38.9581
186.01562,-120.223,39.19109
172.02344,-119.8581,39.24089
170.75,-120.2885,39.4738
182.59375,-119.9218,39.5239
266.02344,-120.4549,38.57567
207.17188,-120.094,38.62627
268.76562,-120.5208,38.8577
214.6875,-120.1582,38.90858
217.03906,-119.795,38.9581
239.125,-120.223,39.19109
221.49219,-119.8581,39.24089
204.11719,-120.2885,39.4738
230.97656,-119.9218,39.5239
291.32812,-120.4549,38.57567
219.11719,-120.094,38.62627
290.84375,-120.5208,38.8577
242.42188,-120.1582,38.90858
227.00781,-119.795,38.9581
258.39844,-120.223,39.19109
242.08594,-119.8581,39.24089
237.14062,-120.2885,39.4738
248.86719,-119.9218,39.5239
295.14844,-120.4549,38.57567
241.36719,-120.094,38.62627
288.6797,-120.5208,38.8577
248.35938,-120.1582,38.90858
238.65625,-119.795,38.9581
249.40625,-120.223,39.19109
240.42188,-119.8581,39.24089
229.72656,-120.2885,39.4738
247.25,-119.9218,39.5239
231.69531,-120.4549,38.57567
160.41406,-120.094,38.62627
246.79688,-120.5208,38.8577
169.10156,-120.1582,38.90858
174.8125,-119.795,38.9581
186.48438,-120.223,39.19109
175.96094,-119.8581,39.24089
172.01562,-120.2885,39.4738
186.03906,-119.9218,39.5239
