wcvflx,lon,lat
43118.984,-120.4549,38.57567
26318.984,-120.094,38.62627
47466.484,-120.5208,38.8577
28086.484,-120.1582,38.90858
16163.984,-119.795,38.9581
31123.984,-120.223,39.19109
17236.484,-119.8581,39.24089
31791.484,-120.2885,39.4738
19213.984,-119.9218,39.5239
89352.06,-120.4549,38.57567
80419.56,-120.094,38.62627
89447.06,-120.5208,38.8577
74992.06,-120.1582,38.90858
62994.56,-119.795,38.9581
74434.56,-120.223,39.19109
56889.555,-119.8581,39.24089
72264.56,-120.2885,39.4738
57062.055,-119.9218,39.5239
16554.31,-120.4549,38.57567
12976.811,-120.094,38.62627
28633.06,-120.5208,38.8577
14576.811,-120.1582,38.90858
-1528.1895,-119.795,38.9581
23256.81,-120.223,39.19109
1734.3105,-119.8581,39.24089
29979.31,-120.2885,39.4738
5198.0605,-119.9218,39.5239
-12489.496,-120.4549,38.57567
-17046.996,-120.094,38.62627
-5921.996,-120.5208,38.8577
-17286.996,-120.1582,38.90858
-24566.996,-119.795,38.9581
-11721.996,-120.223,39.19109
-22334.496,-119.8581,39.24089
-10964.496,-120.2885,39.4738
-17379.496,-119.9218,39.5239
-7299.4414,-120.4549,38.57567
-4466.9414,-120.094,38.62627
-5739.4414,-120.5208,38.8577
-4901.9414,-120.1582,38.90858
-4611.9414,-119.795,38.9581
-5894.4414,-120.223,39.19109
-5161.9414,-119.8581,39.24089
-6861.9414,-120.2885,39.4738
-6499.4414,-119.9218,39.5239
-8941.596,-120.4549,38.57567
-7889.0957,-120.094,38.62627
-9174.096,-120.5208,38.8577
-8286.596,-120.1582,38.90858
-7809.0957,-119.795,38.9581
-8549.096,-120.223,39.19109
-8186.5957,-119.8581,39.24089
-8976.596,-120.2885,39.4738
-8819.096,-119.9218,39.5239
6813.2188,-120.4549,38.57567
3333.2188,-120.094,38.62627
12290.719,-120.5208,38.8577
7823.2188,-120.1582,38.90858
2663.2188,-119.795,38.9581
11933.219,-120.223,39.19109
6278.2188,-119.8581,39.24089
14113.219,-120.2885,39.4738
7833.2188,-119.9218,39.5239
51654.785,-120.4549,38.57567
46952.285,-120.094,38.62627
50797.285,-120.5208,38.8577
44509.785,-120.1582,38.90858
35009.78,-119.795,38.9581
49194.785,-120.223,39.19109
38247.28,-119.8581,39.24089
51839.785,-120.2885,39.4738
37614.78,-119.9218,39.5239
113976.41,-120.4549,38.57567
101116.41,-120.094,38.62627
101163.91,-120.5208,38.8577
87981.41,-120.1582,38.90858
66858.914,-119.795,38.9581
76271.41,-120.223,39.19109
58728.914,-119.8581,39.24089
74478.91,-120.2885,39.4738
60481.414,-119.9218,39.5239
-21107.682,-120.4549,38.57567
-24445.182,-120.094,38.62627
-19302.682,-120.5208,38.8577
-21492.682,-120.1582,38.90858
-19625.182,-119.795,38.9581
-16585.182,-120.223,39.19109
-13810.182,-119.8581,39.24089
-12482.682,-120.2885,39.4738
-10285.182,-119.9218,39.5239
1039.7051,-120.4549,38.57567
3353.455,-120.094,38.62627
4162.205,-120.5208,38.8577
2402.205,-120.1582,38.90858
-470.29492,-119.795,38.9581
2955.955,-120.223,39.19109
-1256.5449,-119.8581,39.24089
2315.955,-120.2885,39.4738
-1244.0449,-119.9218,39.5239
-20222.062,-120.4549,38.57567
-24417.062,-120.094,38.62627
-21912.062,-120.5208,38.8577
-23999.562,-120.1582,38.90858
-21517.062,-119.795,38.9581
-21302.062,-120.223,39.19109
-19874.562,-119.8581,39.24089
-19539.562,-120.2885,39.4738
-18739.562,-119.9218,39.5239
