web-scraper-order,web-scraper-start-url,avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
"1673820689-288","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-11-27","https://www.sierraavalanchecenter.org/advisory/2019/nov/27/2019-11-27-065222-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820691-289","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-11-29","https://www.sierraavalanchecenter.org/advisory/2019/nov/29/2019-11-29-065038-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820694-290","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-11-30","https://www.sierraavalanchecenter.org/advisory/2019/nov/30/2019-11-30-065951-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820700-291","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-01","https://www.sierraavalanchecenter.org/advisory/2019/dec/1/2019-12-01-065948-avalanche-forecast","4. High
        ?
        Above Treeline","4. High
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820703-292","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-02","https://www.sierraavalanchecenter.org/advisory/2019/dec/2/2019-12-02-065234-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820705-293","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-03","https://www.sierraavalanchecenter.org/advisory/2019/dec/3/2019-12-03-064500-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820707-294","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-04","https://www.sierraavalanchecenter.org/advisory/2019/dec/4/2019-12-04-065248-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820710-295","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-05","https://www.sierraavalanchecenter.org/advisory/2019/dec/5/2019-12-05-065600-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820712-296","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-06","https://www.sierraavalanchecenter.org/advisory/2019/dec/6/2019-12-06-065701-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820715-297","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-07","https://www.sierraavalanchecenter.org/advisory/2019/dec/7/2019-12-07-065909-avalanche-forecast","4. High
        ?
        Above Treeline","4. High
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
