avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
2019-11-27,https://www.sierraavalanchecenter.org/advisory/2019/nov/27/2019-11-27-065222-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-11-29,https://www.sierraavalanchecenter.org/advisory/2019/nov/29/2019-11-29-065038-avalanche-forecast,2,2,1, Wind Slab,
2019-11-30,https://www.sierraavalanchecenter.org/advisory/2019/nov/30/2019-11-30-065951-avalanche-forecast,2,2,1, Wind Slab,
2019-12-01,https://www.sierraavalanchecenter.org/advisory/2019/dec/1/2019-12-01-065948-avalanche-forecast,4,4,3, Wind Slab, Storm Slab
2019-12-02,https://www.sierraavalanchecenter.org/advisory/2019/dec/2/2019-12-02-065234-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-12-03,https://www.sierraavalanchecenter.org/advisory/2019/dec/3/2019-12-03-064500-avalanche-forecast,2,2,1, Wind Slab,
2019-12-04,https://www.sierraavalanchecenter.org/advisory/2019/dec/4/2019-12-04-065248-avalanche-forecast,1,1,1, Normal Caution,
2019-12-05,https://www.sierraavalanchecenter.org/advisory/2019/dec/5/2019-12-05-065600-avalanche-forecast,2,2,1, Wind Slab,
2019-12-06,https://www.sierraavalanchecenter.org/advisory/2019/dec/6/2019-12-06-065701-avalanche-forecast,3,3,2, Wind Slab,
2019-12-07,https://www.sierraavalanchecenter.org/advisory/2019/dec/7/2019-12-07-065909-avalanche-forecast,4,4,3, Wind Slab, Storm Slab
2019-12-08,https://www.sierraavalanchecenter.org/advisory/2019/dec/8/2019-12-08-065932-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-12-09,https://www.sierraavalanchecenter.org/advisory/2019/dec/9/2019-12-09-065915-avalanche-forecast,2,2,2, Wind Slab, Storm Slab
2019-12-10,https://www.sierraavalanchecenter.org/advisory/2019/dec/10/2019-12-10-070012-avalanche-forecast,2,2,2, Wind Slab, Storm Slab
2019-12-11,https://www.sierraavalanchecenter.org/advisory/2019/dec/11/2019-12-11-065847-avalanche-forecast,2,2,1, Wind Slab, Storm Slab
2019-12-12,https://www.sierraavalanchecenter.org/advisory/2019/dec/12/2019-12-12-065904-avalanche-forecast,2,2,2, Wind Slab, Loose Wet
2019-12-13,https://www.sierraavalanchecenter.org/advisory/2019/dec/13/2019-12-13-065200-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-12-14,https://www.sierraavalanchecenter.org/advisory/2019/dec/14/2019-12-14-065003-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-12-15,https://www.sierraavalanchecenter.org/advisory/2019/dec/15/2019-12-15-065613-avalanche-forecast,2,2,1, Wind Slab,
2019-12-16,https://www.sierraavalanchecenter.org/advisory/2019/dec/16/2019-12-16-065507-avalanche-forecast,2,1,1, Wind Slab,
2019-12-17,https://www.sierraavalanchecenter.org/advisory/2019/dec/17/2019-12-17-065019-avalanche-forecast,2,2,1, Wind Slab,
2019-12-18,https://www.sierraavalanchecenter.org/advisory/2019/dec/18/2019-12-18-065336-avalanche-forecast,2,2,1, Wind Slab,
2019-12-19,https://www.sierraavalanchecenter.org/advisory/2019/dec/19/2019-12-19-065502-avalanche-forecast,2,2,1, Wind Slab,
2019-12-20,https://www.sierraavalanchecenter.org/advisory/2019/dec/20/2019-12-20-065403-avalanche-forecast,2,2,1, Wind Slab,
2019-12-21,https://www.sierraavalanchecenter.org/advisory/2019/dec/21/2019-12-21-064500-avalanche-forecast,2,2,1, Wind Slab,
2019-12-22,https://www.sierraavalanchecenter.org/advisory/2019/dec/22/2019-12-22-070321-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2019-12-23,https://www.sierraavalanchecenter.org/advisory/2019/dec/23/2019-12-23-065633-avalanche-forecast,2,2,2, Wind Slab, Loose Dry
2019-12-24,https://www.sierraavalanchecenter.org/advisory/2019/dec/24/2019-12-24-065232-avalanche-forecast,2,2,1, Wind Slab,
2019-12-26,https://www.sierraavalanchecenter.org/advisory/2019/dec/26/2019-12-26-065408-avalanche-forecast,2,2,1, Wind Slab,
2019-12-27,https://www.sierraavalanchecenter.org/advisory/2019/dec/27/2019-12-27-064708-avalanche-forecast,2,2,1, Wind Slab,
2019-12-28,https://www.sierraavalanchecenter.org/advisory/2019/dec/28/2019-12-28-065202-avalanche-forecast,2,2,1, Wind Slab,
2019-12-29,https://www.sierraavalanchecenter.org/advisory/2019/dec/29/2019-12-29-065810-avalanche-forecast,2,2,1, Wind Slab,
2019-12-30,https://www.sierraavalanchecenter.org/advisory/2019/dec/30/2019-12-30-065824-avalanche-forecast,2,2,1, Wind Slab,
2019-12-31,https://www.sierraavalanchecenter.org/advisory/2019/dec/31/2019-12-31-070031-avalanche-forecast,2,2,1, Wind Slab,
2020-01-02,https://www.sierraavalanchecenter.org/advisory/2020/jan/2/2020-01-02-065620-avalanche-forecast,2,2,1, Wind Slab,
