lftx4,lon,lat
6.985195,-120.4549,38.57567
4.1976953,-120.094,38.62627
7.0476956,-120.5208,38.8577
5.6851954,-120.1582,38.90858
5.160195,-119.795,38.9581
5.2851954,-120.223,39.19109
5.110195,-119.8581,39.24089
5.397695,-120.2885,39.4738
5.6976957,-119.9218,39.5239
11.844514,-120.4549,38.57567
6.507013,-120.094,38.62627
12.007013,-120.5208,38.8577
8.644512,-120.1582,38.90858
8.744513,-119.795,38.9581
8.582013,-120.223,39.19109
8.944512,-119.8581,39.24089
8.269512,-120.2885,39.4738
9.657013,-119.9218,39.5239
1.9599133,-120.4549,38.57567
0.5349134,-120.094,38.62627
2.0224133,-120.5208,38.8577
1.0849135,-120.1582,38.90858
1.0224137,-119.795,38.9581
1.0474133,-120.223,39.19109
1.1224134,-119.8581,39.24089
1.0099134,-120.2885,39.4738
1.0724134,-119.9218,39.5239
1.2533944,-120.4549,38.57567
0.54089427,-120.094,38.62627
1.5408944,-120.5208,38.8577
1.4533943,-120.1582,38.90858
1.2908943,-119.795,38.9581
0.89089435,-120.223,39.19109
1.2283943,-119.8581,39.24089
1.2408944,-120.2885,39.4738
1.2783943,-119.9218,39.5239
0.97201526,-120.4549,38.57567
-0.17798483,-120.094,38.62627
1.3970152,-120.5208,38.8577
0.9095151,-120.1582,38.90858
0.6595153,-119.795,38.9581
0.5845154,-120.223,39.19109
0.87201524,-119.8581,39.24089
1.2220153,-120.2885,39.4738
1.5220153,-119.9218,39.5239
9.835164,-120.4549,38.57567
5.510164,-120.094,38.62627
9.947664,-120.5208,38.8577
6.8601637,-120.1582,38.90858
6.572664,-119.795,38.9581
6.560164,-120.223,39.19109
6.5726633,-119.8581,39.24089
6.1601634,-120.2885,39.4738
7.372663,-119.9218,39.5239
3.01548,-120.4549,38.57567
1.05298,-120.094,38.62627
3.00298,-120.5208,38.8577
2.2029798,-120.1582,38.90858
1.8154798,-119.795,38.9581
1.5279801,-120.223,39.19109
1.6529799,-119.8581,39.24089
1.7779796,-120.2885,39.4738
2.1154797,-119.9218,39.5239
2.4475894,-120.4549,38.57567
0.9725891,-120.094,38.62627
2.460089,-120.5208,38.8577
2.2225893,-120.1582,38.90858
1.6600894,-119.795,38.9581
1.8350892,-120.223,39.19109
1.5725893,-119.8581,39.24089
2.3975892,-120.2885,39.4738
2.2350893,-119.9218,39.5239
2.6769285,-120.4549,38.57567
2.2769282,-120.094,38.62627
2.4394283,-120.5208,38.8577
2.4144282,-120.1582,38.90858
2.6769283,-119.795,38.9581
2.0519285,-120.223,39.19109
2.6894283,-119.8581,39.24089
2.3519282,-120.2885,39.4738
2.8394284,-119.9218,39.5239
3.3025713,-120.4549,38.57567
2.2150712,-120.094,38.62627
3.4650712,-120.5208,38.8577
3.5400715,-120.1582,38.90858
3.2150712,-119.795,38.9581
3.165071,-120.223,39.19109
3.315071,-119.8581,39.24089
3.6900716,-120.2885,39.4738
4.090071,-119.9218,39.5239
5.0427284,-120.4549,38.57567
2.6052287,-120.094,38.62627
5.0052285,-120.5208,38.8577
3.8927283,-120.1582,38.90858
3.3427284,-119.795,38.9581
3.2052286,-120.223,39.19109
3.2427282,-119.8581,39.24089
3.4302282,-120.2885,39.4738
4.1177287,-119.9218,39.5239
3.4061377,-120.4549,38.57567
1.4436376,-120.094,38.62627
3.5186374,-120.5208,38.8577
3.0561376,-120.1582,38.90858
2.4936376,-119.795,38.9581
2.6686375,-120.223,39.19109
2.6311376,-119.8581,39.24089
3.0186377,-120.2885,39.4738
3.5061376,-119.9218,39.5239
2.864927,-120.4549,38.57567
1.9774265,-120.094,38.62627
3.014927,-120.5208,38.8577
3.2774267,-120.1582,38.90858
3.1649268,-119.795,38.9581
2.9024267,-120.223,39.19109
3.2024267,-119.8581,39.24089
3.1774273,-120.2885,39.4738
3.7024271,-119.9218,39.5239
1.596801,-120.4549,38.57567
1.059301,-120.094,38.62627
1.484301,-120.5208,38.8577
1.596801,-120.1582,38.90858
1.6468011,-119.795,38.9581
1.134301,-120.223,39.19109
1.5968012,-119.8581,39.24089
1.596801,-120.2885,39.4738
1.6468011,-119.9218,39.5239
7.5064154,-120.4549,38.57567
4.6064157,-120.094,38.62627
7.7939167,-120.5208,38.8577
6.3439155,-120.1582,38.90858
6.093916,-119.795,38.9581
6.031416,-120.223,39.19109
6.1314163,-119.8581,39.24089
6.2564154,-120.2885,39.4738
6.918916,-119.9218,39.5239
9.530928,-120.4549,38.57567
4.7309275,-120.094,38.62627
9.655928,-120.5208,38.8577
6.1559277,-120.1582,38.90858
6.105928,-119.795,38.9581
6.043428,-120.223,39.19109
6.443428,-119.8581,39.24089
5.7184277,-120.2885,39.4738
7.8184285,-119.9218,39.5239
7.9145594,-120.4549,38.57567
4.289559,-120.094,38.62627
7.7395587,-120.5208,38.8577
5.302059,-120.1582,38.90858
5.364559,-119.795,38.9581
5.177059,-120.223,39.19109
5.564559,-119.8581,39.24089
5.364559,-120.2885,39.4738
6.314559,-119.9218,39.5239
4.6637363,-120.4549,38.57567
2.976236,-120.094,38.62627
4.7887363,-120.5208,38.8577
3.7262363,-120.1582,38.90858
3.5512362,-119.795,38.9581
3.3012366,-120.223,39.19109
3.2887363,-119.8581,39.24089
3.0512364,-120.2885,39.4738
3.7762365,-119.9218,39.5239
4.846857,-120.4549,38.57567
2.7593577,-120.094,38.62627
5.3968573,-120.5208,38.8577
3.6593575,-120.1582,38.90858
3.6218572,-119.795,38.9581
3.8218572,-120.223,39.19109
4.134357,-119.8581,39.24089
3.9343574,-120.2885,39.4738
5.096857,-119.9218,39.5239
5.1136484,-120.4549,38.57567
3.3386486,-120.094,38.62627
5.176149,-120.5208,38.8577
4.5761485,-120.1582,38.90858
4.4386487,-119.795,38.9581
4.1136484,-120.223,39.19109
4.338649,-119.8581,39.24089
4.0886483,-120.2885,39.4738
4.3511486,-119.9218,39.5239
5.4097357,-120.4549,38.57567
3.7097359,-120.094,38.62627
4.9472356,-120.5208,38.8577
4.022236,-120.1582,38.90858
3.2972357,-119.795,38.9581
3.0972362,-120.223,39.19109
2.9347358,-119.8581,39.24089
3.0972357,-120.2885,39.4738
2.809736,-119.9218,39.5239
8.7386875,-120.4549,38.57567
5.651187,-120.094,38.62627
8.476187,-120.5208,38.8577
6.7136865,-120.1582,38.90858
7.1886864,-119.795,38.9581
6.3386865,-120.223,39.19109
7.276187,-119.8581,39.24089
6.313687,-120.2885,39.4738
7.813687,-119.9218,39.5239
10.233383,-120.4549,38.57567
5.245883,-120.094,38.62627
10.033383,-120.5208,38.8577
6.558383,-120.1582,38.90858
6.083383,-119.795,38.9581
6.1583834,-120.223,39.19109
6.2208824,-119.8581,39.24089
5.9708834,-120.2885,39.4738
7.170883,-119.9218,39.5239
6.0890656,-120.4549,38.57567
3.5765657,-120.094,38.62627
6.226566,-120.5208,38.8577
5.1390657,-120.1582,38.90858
4.7640657,-119.795,38.9581
4.714066,-120.223,39.19109
4.7515655,-119.8581,39.24089
4.8640656,-120.2885,39.4738
5.689066,-119.9218,39.5239
5.2969556,-120.4549,38.57567
2.7344553,-120.094,38.62627
5.146956,-120.5208,38.8577
3.9094555,-120.1582,38.90858
3.4594553,-119.795,38.9581
3.3469553,-120.223,39.19109
3.3594556,-119.8581,39.24089
3.5219555,-120.2885,39.4738
4.0469556,-119.9218,39.5239
8.279077,-120.4549,38.57567
4.891576,-120.094,38.62627
8.179076,-120.5208,38.8577
5.591576,-120.1582,38.90858
5.629076,-119.795,38.9581
5.216576,-120.223,39.19109
5.691576,-119.8581,39.24089
4.8290763,-120.2885,39.4738
6.129076,-119.9218,39.5239
8.046556,-120.4549,38.57567
4.9965563,-120.094,38.62627
8.059056,-120.5208,38.8577
6.8090553,-120.1582,38.90858
6.2840557,-119.795,38.9581
6.259055,-120.223,39.19109
6.359056,-119.8581,39.24089
6.459056,-120.2885,39.4738
7.196556,-119.9218,39.5239
6.383638,-120.4549,38.57567
3.8336372,-120.094,38.62627
6.558637,-120.5208,38.8577
5.3711376,-120.1582,38.90858
4.8961377,-119.795,38.9581
4.9336376,-120.223,39.19109
4.9086375,-119.8581,39.24089
4.958637,-120.2885,39.4738
5.9336376,-119.9218,39.5239
3.0606759,-120.4549,38.57567
1.9856758,-120.094,38.62627
3.1231759,-120.5208,38.8577
2.6231759,-120.1582,38.90858
2.573176,-119.795,38.9581
2.3356755,-120.223,39.19109
2.5856757,-119.8581,39.24089
2.7481759,-120.2885,39.4738
2.7981758,-119.9218,39.5239
3.9241006,-120.4549,38.57567
2.5241005,-120.094,38.62627
4.3116007,-120.5208,38.8577
3.3741004,-120.1582,38.90858
2.8741007,-119.795,38.9581
3.2741008,-120.223,39.19109
3.0491006,-119.8581,39.24089
3.6491005,-120.2885,39.4738
3.2241008,-119.9218,39.5239
4.3611045,-120.4549,38.57567
2.9111042,-120.094,38.62627
4.7486043,-120.5208,38.8577
4.348604,-120.1582,38.90858
4.161104,-119.795,38.9581
3.8486047,-120.223,39.19109
4.061105,-119.8581,39.24089
3.873604,-120.2885,39.4738
4.8986044,-119.9218,39.5239
3.7698321,-120.4549,38.57567
1.8448322,-120.094,38.62627
3.994832,-120.5208,38.8577
3.4573326,-120.1582,38.90858
3.1573322,-119.795,38.9581
2.9698324,-120.223,39.19109
3.219832,-119.8581,39.24089
3.4198322,-120.2885,39.4738
4.194832,-119.9218,39.5239
6.8350234,-120.4549,38.57567
3.4725235,-120.094,38.62627
7.072523,-120.5208,38.8577
5.447523,-120.1582,38.90858
5.072523,-119.795,38.9581
5.085024,-120.223,39.19109
5.197523,-119.8581,39.24089
5.397524,-120.2885,39.4738
6.622524,-119.9218,39.5239
8.954659,-120.4549,38.57567
4.979659,-120.094,38.62627
8.74216,-120.5208,38.8577
6.554659,-120.1582,38.90858
6.5921583,-119.795,38.9581
6.2171593,-120.223,39.19109
6.642159,-119.8581,39.24089
6.1421595,-120.2885,39.4738
7.9796596,-119.9218,39.5239
5.093789,-120.4549,38.57567
2.9562888,-120.094,38.62627
5.0312886,-120.5208,38.8577
4.356289,-120.1582,38.90858
3.981289,-119.795,38.9581
3.818789,-120.223,39.19109
3.9062893,-119.8581,39.24089
4.043789,-120.2885,39.4738
4.818789,-119.9218,39.5239
4.273753,-120.4549,38.57567
2.3987532,-120.094,38.62627
4.361253,-120.5208,38.8577
3.998753,-120.1582,38.90858
3.748753,-119.795,38.9581
3.548753,-120.223,39.19109
3.7987528,-119.8581,39.24089
3.9237533,-120.2885,39.4738
4.748753,-119.9218,39.5239
8.21668,-120.4549,38.57567
4.79168,-120.094,38.62627
8.17918,-120.5208,38.8577
6.279179,-120.1582,38.90858
6.2291794,-119.795,38.9581
5.8166795,-120.223,39.19109
6.241679,-119.8581,39.24089
5.76668,-120.2885,39.4738
7.216679,-119.9218,39.5239
5.3331103,-120.4549,38.57567
3.14561,-120.094,38.62627
4.70811,-120.5208,38.8577
4.145611,-120.1582,38.90858
3.5581102,-119.795,38.9581
3.3456104,-120.223,39.19109
