dpt,lon,lat
268.3723,-120.4549,38.57567
260.53735,-120.094,38.62627
267.41626,-120.5208,38.8577
262.4895,-120.1582,38.90858
263.0813,-119.795,38.9581
264.28735,-120.223,39.19109
264.4602,-119.8581,39.24089
262.92505,-120.2885,39.4738
266.89868,-119.9218,39.5239
261.75632,-120.4549,38.57567
255.5903,-120.094,38.62627
261.7983,-120.5208,38.8577
257.4692,-120.1582,38.90858
258.72702,-119.795,38.9581
259.01218,-120.223,39.19109
260.08835,-119.8581,39.24089
258.43698,-120.2885,39.4738
261.3989,-119.9218,39.5239
271.75113,-120.4549,38.57567
264.48648,-120.094,38.62627
271.34976,-120.5208,38.8577
265.55484,-120.1582,38.90858
266.3273,-119.795,38.9581
267.79312,-120.223,39.19109
266.2482,-119.8581,39.24089
265.38687,-120.2885,39.4738
266.9357,-119.9218,39.5239
271.38058,-120.4549,38.57567
261.0505,-120.094,38.62627
270.71457,-120.5208,38.8577
263.1511,-120.1582,38.90858
263.95578,-119.795,38.9581
265.28683,-120.223,39.19109
264.06027,-119.8581,39.24089
262.56808,-120.2885,39.4738
266.4011,-119.9218,39.5239
271.04285,-120.4549,38.57567
262.25476,-120.094,38.62627
269.3651,-120.5208,38.8577
263.58777,-120.1582,38.90858
264.95593,-119.795,38.9581
264.94324,-120.223,39.19109
264.51453,-119.8581,39.24089
262.77332,-120.2885,39.4738
266.76257,-119.9218,39.5239
270.8723,-120.4549,38.57567
259.18088,-120.094,38.62627
269.52368,-120.5208,38.8577
260.38693,-120.1582,38.90858
259.17502,-119.795,38.9581
263.53247,-120.223,39.19109
259.8762,-119.8581,39.24089
259.91428,-120.2885,39.4738
262.8938,-119.9218,39.5239
275.6157,-120.4549,38.57567
272.144,-120.094,38.62627
276.4233,-120.5208,38.8577
272.4155,-120.1582,38.90858
268.6948,-119.795,38.9581
273.56882,-120.223,39.19109
269.5991,-119.8581,39.24089
272.3276,-120.2885,39.4738
268.8862,-119.9218,39.5239
278.3965,-120.4549,38.57567
274.0186,-120.094,38.62627
280.18265,-120.5208,38.8577
274.15335,-120.1582,38.90858
273.2559,-119.795,38.9581
275.17484,-120.223,39.19109
273.06937,-119.8581,39.24089
273.834,-120.2885,39.4738
271.9717,-119.9218,39.5239
277.0196,-120.4549,38.57567
271.5362,-120.094,38.62627
280.1485,-120.5208,38.8577
272.33795,-120.1582,38.90858
271.75494,-119.795,38.9581
274.08014,-120.223,39.19109
271.9649,-119.8581,39.24089
271.70514,-120.2885,39.4738
271.66412,-119.9218,39.5239
278.53033,-120.4549,38.57567
269.7901,-120.094,38.62627
278.9073,-120.5208,38.8577
270.5362,-120.1582,38.90858
269.89752,-119.795,38.9581
273.06354,-120.223,39.19109
270.41998,-119.8581,39.24089
269.6231,-120.2885,39.4738
270.9444,-119.9218,39.5239
279.14386,-120.4549,38.57567
269.50616,-120.094,38.62627
278.6595,-120.5208,38.8577
270.9124,-120.1582,38.90858
270.2874,-119.795,38.9581
273.15753,-120.223,39.19109
271.06964,-119.8581,39.24089
271.34894,-120.2885,39.4738
272.6966,-119.9218,39.5239
279.11826,-120.4549,38.57567
269.78915,-120.094,38.62627
278.69247,-120.5208,38.8577
270.1202,-120.1582,38.90858
266.78915,-119.795,38.9581
273.00204,-120.223,39.19109
268.3995,-119.8581,39.24089
270.01865,-120.2885,39.4738
270.73447,-119.9218,39.5239
279.57672,-120.4549,38.57567
271.32867,-120.094,38.62627
278.7984,-120.5208,38.8577
271.90973,-120.1582,38.90858
269.64117,-119.795,38.9581
273.66852,-120.223,39.19109
270.50348,-119.8581,39.24089
271.5357,-120.2885,39.4738
271.65387,-119.9218,39.5239
278.84744,-120.4549,38.57567
270.30154,-120.094,38.62627
278.32596,-120.5208,38.8577
271.58182,-120.1582,38.90858
271.62674,-119.795,38.9581
273.16385,-120.223,39.19109
272.04764,-119.8581,39.24089
271.616,-120.2885,39.4738
273.55447,-119.9218,39.5239
275.09967,-120.4549,38.57567
262.57037,-120.094,38.62627
273.74323,-120.5208,38.8577
264.56744,-120.1582,38.90858
266.58112,-119.795,38.9581
266.21198,-120.223,39.19109
266.88385,-119.8581,39.24089
264.9532,-120.2885,39.4738
271.1065,-119.9218,39.5239
274.13818,-120.4549,38.57567
253.95168,-120.094,38.62627
272.40576,-120.5208,38.8577
255.35109,-120.1582,38.90858
260.60498,-119.795,38.9581
261.2456,-120.223,39.19109
261.36572,-119.8581,39.24089
254.86964,-120.2885,39.4738
269.89014,-119.9218,39.5239
276.44623,-120.4549,38.57567
264.36224,-120.094,38.62627
276.18158,-120.5208,38.8577
266.1015,-120.1582,38.90858
262.73236,-119.795,38.9581
270.0761,-120.223,39.19109
266.3261,-119.8581,39.24089
266.88275,-120.2885,39.4738
269.73724,-119.9218,39.5239
281.76578,-120.4549,38.57567
273.34976,-120.094,38.62627
281.1642,-120.5208,38.8577
274.05582,-120.1582,38.90858
273.29898,-119.795,38.9581
275.4855,-120.223,39.19109
273.65738,-119.8581,39.24089
274.1066,-120.2885,39.4738
274.6603,-119.9218,39.5239
280.48285,-120.4549,38.57567
271.85394,-120.094,38.62627
279.476,-120.5208,38.8577
272.70453,-120.1582,38.90858
271.86566,-119.795,38.9581
274.2426,-120.223,39.19109
272.018,-119.8581,39.24089
272.56097,-120.2885,39.4738
273.2641,-119.9218,39.5239
277.9277,-120.4549,38.57567
269.69626,-120.094,38.62627
277.2148,-120.5208,38.8577
270.52927,-120.1582,38.90858
271.19724,-119.795,38.9581
272.37595,-120.223,39.19109
271.04587,-119.8581,39.24089
270.31638,-120.2885,39.4738
272.38083,-119.9218,39.5239
