lhtfl,lon,lat
0.47177124,-120.4549,38.57567
-8.434479,-120.094,38.62627
-1.6766663,-120.5208,38.8577
-7.3876038,-120.1582,38.90858
-5.8563538,-119.795,38.9581
-4.7001038,-120.223,39.19109
-26.215729,-119.8581,39.24089
-5.4032288,-120.2885,39.4738
-1.9501038,-119.9218,39.5239
-6.1006775,-120.4549,38.57567
-13.999115,-120.094,38.62627
-9.4913025,-120.5208,38.8577
-15.10849,-120.1582,38.90858
-13.45224,-119.795,38.9581
-11.5381775,-120.223,39.19109
-25.694427,-119.8581,39.24089
-11.01474,-120.2885,39.4738
-2.1475525,-119.9218,39.5239
-21.31546,-120.4549,38.57567
-28.870148,-120.094,38.62627
-30.417023,-120.5208,38.8577
-28.206085,-120.1582,38.90858
-20.97171,-119.795,38.9581
-31.799835,-120.223,39.19109
-39.049835,-119.8581,39.24089
-24.526398,-120.2885,39.4738
-30.40921,-119.9218,39.5239
-14.246521,-120.4549,38.57567
-22.277771,-120.094,38.62627
-17.941833,-120.5208,38.8577
-23.605896,-120.1582,38.90858
-22.621521,-119.795,38.9581
-21.496521,-120.223,39.19109
-22.152771,-119.8581,39.24089
-20.285583,-120.2885,39.4738
-25.129333,-119.9218,39.5239
-17.583954,-120.4549,38.57567
-22.943329,-120.094,38.62627
-18.349579,-120.5208,38.8577
-22.037079,-120.1582,38.90858
-21.505829,-119.795,38.9581
-21.935516,-120.223,39.19109
-18.904266,-119.8581,39.24089
-14.513641,-120.2885,39.4738
-19.888641,-119.9218,39.5239
-37.51306,-120.4549,38.57567
-34.25525,-120.094,38.62627
-34.614624,-120.5208,38.8577
-30.653687,-120.1582,38.90858
-20.966187,-119.795,38.9581
-32.864624,-120.223,39.19109
-25.473999,-119.8581,39.24089
-26.825562,-120.2885,39.4738
-25.559937,-119.9218,39.5239
111.431915,-120.4549,38.57567
1.7600403,-120.094,38.62627
-29.263397,-120.5208,38.8577
10.861603,-120.1582,38.90858
1.1897278,-119.795,38.9581
37.283478,-120.223,39.19109
-6.247772,-119.8581,39.24089
10.189728,-120.2885,39.4738
-16.55246,-119.9218,39.5239
162.11588,-120.4549,38.57567
12.2565,-120.094,38.62627
-36.454437,-120.5208,38.8577
12.061188,-120.1582,38.90858
0.35025024,-119.795,38.9581
50.319,-120.223,39.19109
-5.6653748,-119.8581,39.24089
7.2252502,-120.2885,39.4738
-6.0013123,-119.9218,39.5239
33.3602,-120.4549,38.57567
-3.952301,-120.094,38.62627
-27.561676,-120.5208,38.8577
-3.764801,-120.1582,38.90858
1.1492615,-119.795,38.9581
11.360199,-120.223,39.19109
-0.21792603,-119.8581,39.24089
5.641449,-120.2885,39.4738
2.532074,-119.9218,39.5239
-23.743866,-120.4549,38.57567
2.490509,-120.094,38.62627
-10.134491,-120.5208,38.8577
-3.4079285,-120.1582,38.90858
3.787384,-119.795,38.9581
10.021759,-120.223,39.19109
-1.868866,-119.8581,39.24089
5.2014465,-120.2885,39.4738
1.506134,-119.9218,39.5239
-34.599823,-120.4549,38.57567
4.072052,-120.094,38.62627
-30.959198,-120.5208,38.8577
-1.381073,-120.1582,38.90858
5.1111145,-119.795,38.9581
3.806427,-120.223,39.19109
2.759552,-119.8581,39.24089
-1.631073,-120.2885,39.4738
