pottmp,lon,lat
292.44354,-120.4549,38.57567
298.76385,-120.094,38.62627
292.58417,-120.5208,38.8577
297.1623,-120.1582,38.90858
296.0451,-119.795,38.9581
295.17792,-120.223,39.19109
294.99823,-119.8581,39.24089
295.69354,-120.2885,39.4738
291.88104,-119.9218,39.5239
286.2237,-120.4549,38.57567
289.1612,-120.094,38.62627
286.1065,-120.5208,38.8577
287.7862,-120.1582,38.90858
286.9112,-119.795,38.9581
286.67682,-120.223,39.19109
286.49713,-119.8581,39.24089
287.38776,-120.2885,39.4738
285.8565,-119.9218,39.5239
285.74127,-120.4549,38.57567
290.98346,-120.094,38.62627
285.72565,-120.5208,38.8577
290.1319,-120.1582,38.90858
290.36627,-119.795,38.9581
288.03815,-120.223,39.19109
290.28815,-119.8581,39.24089
290.03033,-120.2885,39.4738
289.3194,-119.9218,39.5239
284.07828,-120.4549,38.57567
288.0392,-120.094,38.62627
283.74234,-120.5208,38.8577
287.26578,-120.1582,38.90858
287.5392,-119.795,38.9581
285.43765,-120.223,39.19109
287.5314,-119.8581,39.24089
287.07828,-120.2885,39.4738
286.20328,-119.9218,39.5239
283.7012,-120.4549,38.57567
288.41214,-120.094,38.62627
283.7715,-120.5208,38.8577
287.49026,-120.1582,38.90858
287.02933,-119.795,38.9581
286.1465,-120.223,39.19109
286.7012,-119.8581,39.24089
287.10745,-120.2885,39.4738
285.02933,-119.9218,39.5239
284.31128,-120.4549,38.57567
287.37378,-120.094,38.62627
284.28784,-120.5208,38.8577
286.17847,-120.1582,38.90858
284.35034,-119.795,38.9581
285.10815,-120.223,39.19109
284.8191,-119.8581,39.24089
285.90503,-120.2885,39.4738
283.7644,-119.9218,39.5239
287.142,-120.4549,38.57567
296.66544,-120.094,38.62627
288.2045,-120.5208,38.8577
294.7123,-120.1582,38.90858
289.642,-119.795,38.9581
292.42325,-120.223,39.19109
290.3998,-119.8581,39.24089
294.72012,-120.2885,39.4738
286.2123,-119.9218,39.5239
288.62085,-120.4549,38.57567
297.63647,-120.094,38.62627
290.3318,-120.5208,38.8577
295.7849,-120.1582,38.90858
292.73022,-119.795,38.9581
293.66772,-120.223,39.19109
292.8396,-119.8581,39.24089
295.57397,-120.2885,39.4738
287.62866,-119.9218,39.5239
290.11246,-120.4549,38.57567
297.7062,-120.094,38.62627
292.0734,-120.5208,38.8577
296.79996,-120.1582,38.90858
293.61246,-119.795,38.9581
294.52652,-120.223,39.19109
294.19058,-119.8581,39.24089
296.31558,-120.2885,39.4738
288.87027,-119.9218,39.5239
291.86957,-120.4549,38.57567
298.6352,-120.094,38.62627
292.85394,-120.5208,38.8577
297.7602,-120.1582,38.90858
294.06488,-119.795,38.9581
295.41644,-120.223,39.19109
294.40863,-119.8581,39.24089
297.24457,-120.2885,39.4738
289.65082,-119.9218,39.5239
289.45438,-120.4549,38.57567
295.14972,-120.094,38.62627
289.7278,-120.5208,38.8577
294.05597,-120.1582,38.90858
291.68094,-119.795,38.9581
292.11063,-120.223,39.19109
292.29813,-119.8581,39.24089
293.6341,-120.2885,39.4738
290.1575,-119.9218,39.5239
291.818,-120.4549,38.57567
299.59927,-120.094,38.62627
292.06018,-120.5208,38.8577
