tsoil,lon,lat
281.6042,-120.4549,38.57567
273.57294,-120.094,38.62627
280.78387,-120.5208,38.8577
275.15106,-120.1582,38.90858
274.38544,-119.795,38.9581
276.94012,-120.223,39.19109
273.7292,-119.8581,39.24089
274.32294,-120.2885,39.4738
275.65106,-119.9218,39.5239
279.19592,-120.4549,38.57567
270.60217,-120.094,38.62627
277.34436,-120.5208,38.8577
270.485,-120.1582,38.90858
271.2975,-119.795,38.9581
272.5475,-120.223,39.19109
269.89124,-119.8581,39.24089
270.2428,-120.2885,39.4738
272.91467,-119.9218,39.5239
279.18478,-120.4549,38.57567
269.6926,-120.094,38.62627
277.55978,-120.5208,38.8577
270.09885,-120.1582,38.90858
271.59103,-119.795,38.9581
272.30197,-120.223,39.19109
270.80978,-119.8581,39.24089
269.96603,-120.2885,39.4738
273.5754,-119.9218,39.5239
277.5771,-120.4549,38.57567
270.18646,-120.094,38.62627
276.4052,-120.5208,38.8577
270.7021,-120.1582,38.90858
271.9599,-119.795,38.9581
273.00677,-120.223,39.19109
271.2099,-119.8581,39.24089
270.56927,-120.2885,39.4738
272.68646,-119.9218,39.5239
276.85886,-120.4549,38.57567
270.5151,-120.094,38.62627
275.59323,-120.5208,38.8577
270.8823,-120.1582,38.90858
272.04636,-119.795,38.9581
273.42136,-120.223,39.19109
271.2573,-119.8581,39.24089
270.77292,-120.2885,39.4738
272.22604,-119.9218,39.5239
276.43713,-120.4549,38.57567
270.5387,-120.094,38.62627
275.43713,-120.5208,38.8577
270.71838,-120.1582,38.90858
272.0465,-119.795,38.9581
273.56995,-120.223,39.19109
271.25745,-119.8581,39.24089
270.89026,-120.2885,39.4738
270.82776,-119.9218,39.5239
277.73022,-120.4549,38.57567
270.9099,-120.094,38.62627
276.94897,-120.5208,38.8577
270.88647,-120.1582,38.90858
272.0271,-119.795,38.9581
274.18335,-120.223,39.19109
271.1599,-119.8581,39.24089
271.2068,-120.2885,39.4738
270.69116,-119.9218,39.5239
279.662,-120.4549,38.57567
272.4901,-120.094,38.62627
280.38074,-120.5208,38.8577
273.33386,-120.1582,38.90858
272.84167,-119.795,38.9581
275.31824,-120.223,39.19109
272.4901,-119.8581,39.24089
272.77136,-120.2885,39.4738
272.3495,-119.9218,39.5239
280.22894,-120.4549,38.57567
273.15863,-120.094,38.62627
281.92426,-120.5208,38.8577
274.79144,-120.1582,38.90858
273.16644,-119.795,38.9581
276.61176,-120.223,39.19109
273.16644,-119.8581,39.24089
273.16644,-120.2885,39.4738
273.0805,-119.9218,39.5239
280.72284,-120.4549,38.57567
273.2072,-120.094,38.62627
281.5041,-120.5208,38.8577
275.1916,-120.1582,38.90858
273.22284,-119.795,38.9581
276.48065,-120.223,39.19109
273.2072,-119.8581,39.24089
273.24628,-120.2885,39.4738
273.09784,-119.9218,39.5239
281.18613,-120.4549,38.57567
273.24863,-120.094,38.62627
280.82675,-120.5208,38.8577
274.6158,-120.1582,38.90858
273.27206,-119.795,38.9581
276.19394,-120.223,39.19109
273.3033,-119.8581,39.24089
273.58456,-120.2885,39.4738
273.1627,-119.9218,39.5239
282.06528,-120.4549,38.57567
273.28403,-120.094,38.62627
281.3856,-120.5208,38.8577
274.3934,-120.1582,38.90858
273.29184,-119.795,38.9581
275.74496,-120.223,39.19109
273.3309,-119.8581,39.24089
273.7606,-120.2885,39.4738
273.17465,-119.9218,39.5239
283.16895,-120.4549,38.57567
273.31738,-120.094,38.62627
282.21582,-120.5208,38.8577
274.12207,-120.1582,38.90858
273.3252,-119.795,38.9581
276.208,-120.223,39.19109
273.35645,-119.8581,39.24089
273.92676,-120.2885,39.4738
273.36426,-119.9218,39.5239
281.31873,-120.4549,38.57567
273.3656,-120.094,38.62627
280.3656,-120.5208,38.8577
274.02185,-120.1582,38.90858
273.34998,-119.795,38.9581
275.75623,-120.223,39.19109
274.02185,-119.8581,39.24089
274.16248,-120.2885,39.4738
275.3109,-119.9218,39.5239
279.2277,-120.4549,38.57567
273.38394,-120.094,38.62627
278.50894,-120.5208,38.8577
273.95425,-120.1582,38.90858
273.38394,-119.795,38.9581
275.53238,-120.223,39.19109
274.37613,-119.8581,39.24089
274.26675,-120.2885,39.4738
275.62613,-119.9218,39.5239
279.15274,-120.4549,38.57567
273.38712,-120.094,38.62627
278.83243,-120.5208,38.8577
273.94962,-120.1582,38.90858
273.38712,-119.795,38.9581
275.184,-120.223,39.19109
274.30118,-119.8581,39.24089
274.20743,-120.2885,39.4738
273.53555,-119.9218,39.5239
279.4345,-120.4549,38.57567
273.40326,-120.094,38.62627
277.70795,-120.5208,38.8577
273.91107,-120.1582,38.90858
273.41107,-119.795,38.9581
274.8017,-120.223,39.19109
274.27045,-119.8581,39.24089
274.06732,-120.2885,39.4738
272.73138,-119.9218,39.5239
281.92395,-120.4549,38.57567
273.41614,-120.094,38.62627
280.93176,-120.5208,38.8577
273.85364,-120.1582,38.90858
273.41614,-119.795,38.9581
274.8849,-120.223,39.19109
274.22864,-119.8581,39.24089
274.04114,-120.2885,39.4738
275.7677,-119.9218,39.5239
282.57785,-120.4549,38.57567
273.4294,-120.094,38.62627
281.39035,-120.5208,38.8577
273.8669,-120.1582,38.90858
273.4216,-119.795,38.9581
275.6638,-120.223,39.19109
274.2341,-119.8581,39.24089
273.94504,-120.2885,39.4738
277.57004,-119.9218,39.5239
280.95224,-120.4549,38.57567
273.53036,-120.094,38.62627
280.00693,-120.5208,38.8577
273.8663,-120.1582,38.90858
273.4288,-119.795,38.9581
275.7413,-120.223,39.19109
274.1866,-119.8581,39.24089
274.22568,-120.2885,39.4738
276.3663,-119.9218,39.5239
278.86206,-120.4549,38.57567
273.58862,-120.094,38.62627
277.90894,-120.5208,38.8577
273.823,-120.1582,38.90858
273.41675,-119.795,38.9581
275.17456,-120.223,39.19109
274.08862,-119.8581,39.24089
274.0652,-120.2885,39.4738
275.28394,-119.9218,39.5239
279.4858,-120.4549,38.57567
273.603,-120.094,38.62627
278.22018,-120.5208,38.8577
273.7983,-120.1582,38.90858
273.4233,-119.795,38.9581
274.9233,-120.223,39.19109
273.9233,-119.8581,39.24089
273.96237,-120.2885,39.4738
271.96237,-119.9218,39.5239
277.09573,-120.4549,38.57567
273.59573,-120.094,38.62627
276.59573,-120.5208,38.8577
273.80667,-120.1582,38.90858
273.43167,-119.795,38.9581
273.86917,-120.223,39.19109
273.78323,-119.8581,39.24089
272.83792,-120.2885,39.4738
269.5801,-119.9218,39.5239
275.3248,-120.4549,38.57567
273.59042,-120.094,38.62627
275.0045,-120.5208,38.8577
273.78574,-120.1582,38.90858
273.43417,-119.795,38.9581
272.60605,-120.223,39.19109
273.66074,-119.8581,39.24089
272.067,-120.2885,39.4738
270.5123,-119.9218,39.5239
278.2187,-120.4549,38.57567
273.57806,-120.094,38.62627
276.44525,-120.5208,38.8577
273.789,-120.1582,38.90858
273.43744,-119.795,38.9581
272.9687,-120.223,39.19109
273.17963,-119.8581,39.24089
271.8515,-120.2885,39.4738
271.64056,-119.9218,39.5239
278.91608,-120.4549,38.57567
273.59576,-120.094,38.62627
277.8692,-120.5208,38.8577
273.77545,-120.1582,38.90858
273.4395,-119.795,38.9581
273.08795,-120.223,39.19109
272.35358,-119.8581,39.24089
272.22076,-120.2885,39.4738
272.40045,-119.9218,39.5239
279.45398,-120.4549,38.57567
273.57117,-120.094,38.62627
278.76648,-120.5208,38.8577
273.75085,-120.1582,38.90858
273.43835,-119.795,38.9581
273.18054,-120.223,39.19109
272.43054,-119.8581,39.24089
272.37585,-120.2885,39.4738
272.79773,-119.9218,39.5239
280.02182,-120.4549,38.57567
273.58432,-120.094,38.62627
279.139,-120.5208,38.8577
273.6937,-120.1582,38.90858
273.4515,-119.795,38.9581
273.22495,-120.223,39.19109
272.90463,-119.8581,39.24089
272.52963,-120.2885,39.4738
273.29526,-119.9218,39.5239
279.21512,-120.4549,38.57567
273.56668,-120.094,38.62627
278.42606,-120.5208,38.8577
273.67606,-120.1582,38.90858
273.4573,-119.795,38.9581
273.25418,-120.223,39.19109
273.03543,-119.8581,39.24089
272.56668,-120.2885,39.4738
274.73856,-119.9218,39.5239
277.7905,-120.4549,38.57567
273.56393,-120.094,38.62627
277.43112,-120.5208,38.8577
273.65768,-120.1582,38.90858
273.46237,-119.795,38.9581
273.27487,-120.223,39.19109
273.0483,-119.8581,39.24089
272.56393,-120.2885,39.4738
275.0483,-119.9218,39.5239
277.66714,-120.4549,38.57567
273.56558,-120.094,38.62627
276.65933,-120.5208,38.8577
273.66714,-120.1582,38.90858
273.47183,-119.795,38.9581
273.27652,-120.223,39.19109
273.05777,-119.8581,39.24089
272.56558,-120.2885,39.4738
273.09683,-119.9218,39.5239
275.6676,-120.4549,38.57567
273.57385,-120.094,38.62627
275.80823,-120.5208,38.8577
273.6598,-120.1582,38.90858
273.4723,-119.795,38.9581
273.27698,-120.223,39.19109
271.65198,-119.8581,39.24089
272.4098,-120.2885,39.4738
271.26917,-119.9218,39.5239
277.06604,-120.4549,38.57567
273.55823,-120.094,38.62627
275.49573,-120.5208,38.8577
273.65198,-120.1582,38.90858
273.4723,-119.795,38.9581
273.2848,-120.223,39.19109
269.69104,-119.8581,39.24089
272.12854,-120.2885,39.4738
269.7301,-119.9218,39.5239
276.3454,-120.4549,38.57567
273.5407,-120.094,38.62627
275.3532,-120.5208,38.8577
273.64227,-120.1582,38.90858
273.4704,-119.795,38.9581
273.2829,-120.223,39.19109
269.7751,-119.8581,39.24089
271.68915,-120.2885,39.4738
269.9157,-119.9218,39.5239
275.93756,-120.4549,38.57567
273.5235,-120.094,38.62627
275.2188,-120.5208,38.8577
273.6407,-120.1582,38.90858
273.4532,-119.795,38.9581
273.29694,-120.223,39.19109
271.87506,-119.8581,39.24089
271.50787,-120.2885,39.4738
271.9688,-119.9218,39.5239
278.05176,-120.4549,38.57567
273.5205,-120.094,38.62627
277.30957,-120.5208,38.8577
273.61426,-120.1582,38.90858
273.4502,-119.795,38.9581
273.30957,-120.223,39.19109
272.81738,-119.8581,39.24089
271.5752,-120.2885,39.4738
272.84863,-119.9218,39.5239
