pres,lon,lat
86889.34,-120.4549,38.57567
77489.34,-120.094,38.62627
86714.34,-120.5208,38.8577
79489.34,-120.1582,38.90858
79389.34,-119.795,38.9581
79714.34,-120.223,39.19109
79801.84,-119.8581,39.24089
78689.34,-120.2885,39.4738
81826.84,-119.9218,39.5239
86575.93,-120.4549,38.57567
76938.43,-120.094,38.62627
86375.93,-120.5208,38.8577
79050.93,-120.1582,38.90858
78950.93,-119.795,38.9581
79238.43,-120.223,39.19109
79350.93,-119.8581,39.24089
78200.93,-120.2885,39.4738
81413.43,-119.9218,39.5239
85102.414,-120.4549,38.57567
75527.414,-120.094,38.62627
84852.414,-120.5208,38.8577
77489.914,-120.1582,38.90858
77377.414,-119.795,38.9581
77627.414,-120.223,39.19109
77739.914,-119.8581,39.24089
76552.414,-120.2885,39.4738
79677.414,-119.9218,39.5239
85195.266,-120.4549,38.57567
75595.266,-120.094,38.62627
84995.266,-120.5208,38.8577
77682.766,-120.1582,38.90858
77582.766,-119.795,38.9581
77882.766,-120.223,39.19109
77982.766,-119.8581,39.24089
76882.766,-120.2885,39.4738
80007.766,-119.9218,39.5239
85404.69,-120.4549,38.57567
75754.69,-120.094,38.62627
85204.69,-120.5208,38.8577
77854.69,-120.1582,38.90858
77754.69,-119.795,38.9581
78054.69,-120.223,39.19109
78154.69,-119.8581,39.24089
77054.69,-120.2885,39.4738
80179.69,-119.9218,39.5239
86451.664,-120.4549,38.57567
76726.664,-120.094,38.62627
86189.164,-120.5208,38.8577
78826.664,-120.1582,38.90858
78751.664,-119.795,38.9581
79014.164,-120.223,39.19109
79176.664,-119.8581,39.24089
77976.664,-120.2885,39.4738
81189.164,-119.9218,39.5239
86455.41,-120.4549,38.57567
76955.41,-120.094,38.62627
86217.91,-120.5208,38.8577
78942.91,-120.1582,38.90858
78892.91,-119.795,38.9581
79092.91,-120.223,39.19109
79280.41,-119.8581,39.24089
78005.41,-120.2885,39.4738
81230.41,-119.9218,39.5239
86846.11,-120.4549,38.57567
77346.11,-120.094,38.62627
86608.61,-120.5208,38.8577
79396.11,-120.1582,38.90858
79333.61,-119.795,38.9581
79596.11,-120.223,39.19109
79758.61,-119.8581,39.24089
78546.11,-120.2885,39.4738
81746.11,-119.9218,39.5239
87195.05,-120.4549,38.57567
77782.55,-120.094,38.62627
86982.55,-120.5208,38.8577
79770.05,-120.1582,38.90858
79732.55,-119.795,38.9581
79995.05,-120.223,39.19109
80157.55,-119.8581,39.24089
78970.05,-120.2885,39.4738
82132.55,-119.9218,39.5239
86482.17,-120.4549,38.57567
77107.17,-120.094,38.62627
86307.17,-120.5208,38.8577
79144.67,-120.1582,38.90858
79069.67,-119.795,38.9581
79369.67,-120.223,39.19109
79569.67,-119.8581,39.24089
78369.67,-120.2885,39.4738
81519.67,-119.9218,39.5239
86724.66,-120.4549,38.57567
77212.16,-120.094,38.62627
86512.16,-120.5208,38.8577
79262.16,-120.1582,38.90858
79162.16,-119.795,38.9581
79462.16,-120.223,39.19109
79612.16,-119.8581,39.24089
78424.66,-120.2885,39.4738
81587.16,-119.9218,39.5239
86933.734,-120.4549,38.57567
77446.234,-120.094,38.62627
86746.234,-120.5208,38.8577
79483.734,-120.1582,38.90858
79383.734,-119.795,38.9581
79683.734,-120.223,39.19109
79883.734,-119.8581,39.24089
78621.234,-120.2885,39.4738
81796.234,-119.9218,39.5239
86652.164,-120.4549,38.57567
77139.664,-120.094,38.62627
86389.664,-120.5208,38.8577
79139.664,-120.1582,38.90858
78977.164,-119.795,38.9581
79277.164,-120.223,39.19109
79427.164,-119.8581,39.24089
78202.164,-120.2885,39.4738
81314.664,-119.9218,39.5239
86553.336,-120.4549,38.57567
77040.836,-120.094,38.62627
86315.836,-120.5208,38.8577
79028.336,-120.1582,38.90858
78940.836,-119.795,38.9581
79228.336,-120.223,39.19109
79353.336,-119.8581,39.24089
78190.836,-120.2885,39.4738
81290.836,-119.9218,39.5239
86996.51,-120.4549,38.57567
77534.01,-120.094,38.62627
86821.51,-120.5208,38.8577
79584.01,-120.1582,38.90858
79521.51,-119.795,38.9581
79809.01,-120.223,39.19109
79959.01,-119.8581,39.24089
78809.01,-120.2885,39.4738
81959.01,-119.9218,39.5239
87260.5,-120.4549,38.57567
77823.0,-120.094,38.62627
87098.0,-120.5208,38.8577
79848.0,-120.1582,38.90858
79773.0,-119.795,38.9581
80035.5,-120.223,39.19109
80223.0,-119.8581,39.24089
79035.5,-120.2885,39.4738
82223.0,-119.9218,39.5239
87358.234,-120.4549,38.57567
77783.234,-120.094,38.62627
87108.234,-120.5208,38.8577
79795.734,-120.1582,38.90858
79683.234,-119.795,38.9581
79995.734,-120.223,39.19109
80133.234,-119.8581,39.24089
78920.734,-120.2885,39.4738
82070.734,-119.9218,39.5239
87413.266,-120.4549,38.57567
77875.766,-120.094,38.62627
87138.266,-120.5208,38.8577
79838.266,-120.1582,38.90858
79725.766,-119.795,38.9581
80000.766,-120.223,39.19109
80088.266,-119.8581,39.24089
78950.766,-120.2885,39.4738
82038.266,-119.9218,39.5239
87386.625,-120.4549,38.57567
77849.14,-120.094,38.62627
87186.64,-120.5208,38.8577
79849.14,-120.1582,38.90858
79749.14,-119.795,38.9581
80049.14,-120.223,39.19109
80211.64,-119.8581,39.24089
79011.64,-120.2885,39.4738
82136.64,-119.9218,39.5239
86759.65,-120.4549,38.57567
77184.65,-120.094,38.62627
86509.65,-120.5208,38.8577
79197.15,-120.1582,38.90858
79059.65,-119.795,38.9581
79372.15,-120.223,39.19109
79484.65,-119.8581,39.24089
78309.65,-120.2885,39.4738
81434.65,-119.9218,39.5239
86734.03,-120.4549,38.57567
76971.53,-120.094,38.62627
86446.53,-120.5208,38.8577
79034.03,-120.1582,38.90858
78946.53,-119.795,38.9581
79209.03,-120.223,39.19109
79334.03,-119.8581,39.24089
78209.03,-120.2885,39.4738
81346.53,-119.9218,39.5239
87295.38,-120.4549,38.57567
77657.88,-120.094,38.62627
87107.88,-120.5208,38.8577
79757.88,-120.1582,38.90858
79745.38,-119.795,38.9581
79970.38,-120.223,39.19109
80170.38,-119.8581,39.24089
78995.38,-120.2885,39.4738
82245.38,-119.9218,39.5239
87298.086,-120.4549,38.57567
77760.586,-120.094,38.62627
87098.086,-120.5208,38.8577
79810.586,-120.1582,38.90858
79760.586,-119.795,38.9581
80023.086,-120.223,39.19109
80173.086,-119.8581,39.24089
78998.086,-120.2885,39.4738
82185.586,-119.9218,39.5239
86730.46,-120.4549,38.57567
77167.96,-120.094,38.62627
86517.96,-120.5208,38.8577
79230.46,-120.1582,38.90858
79130.46,-119.795,38.9581
79417.96,-120.223,39.19109
79542.96,-119.8581,39.24089
78417.96,-120.2885,39.4738
81555.46,-119.9218,39.5239
86941.56,-120.4549,38.57567
77341.56,-120.094,38.62627
86741.56,-120.5208,38.8577
79404.06,-120.1582,38.90858
79304.06,-119.795,38.9581
79591.56,-120.223,39.19109
79716.56,-119.8581,39.24089
78566.56,-120.2885,39.4738
81679.06,-119.9218,39.5239
87376.914,-120.4549,38.57567
77889.414,-120.094,38.62627
87164.414,-120.5208,38.8577
79901.914,-120.1582,38.90858
79814.414,-119.795,38.9581
80114.414,-120.223,39.19109
80239.414,-119.8581,39.24089
79051.914,-120.2885,39.4738
82239.414,-119.9218,39.5239
86989.27,-120.4549,38.57567
77551.77,-120.094,38.62627
86789.27,-120.5208,38.8577
79539.27,-120.1582,38.90858
79389.27,-119.795,38.9581
79726.77,-120.223,39.19109
79839.27,-119.8581,39.24089
78651.77,-120.2885,39.4738
81764.27,-119.9218,39.5239
86212.41,-120.4549,38.57567
76799.91,-120.094,38.62627
85999.91,-120.5208,38.8577
78799.91,-120.1582,38.90858
78637.41,-119.795,38.9581
78949.91,-120.223,39.19109
79112.41,-119.8581,39.24089
77912.41,-120.2885,39.4738
80974.91,-119.9218,39.5239
86247.86,-120.4549,38.57567
76735.36,-120.094,38.62627
86035.36,-120.5208,38.8577
78760.36,-120.1582,38.90858
78685.36,-119.795,38.9581
78985.36,-120.223,39.19109
79097.86,-119.8581,39.24089
77972.86,-120.2885,39.4738
81110.36,-119.9218,39.5239
86126.34,-120.4549,38.57567
76538.84,-120.094,38.62627
85913.84,-120.5208,38.8577
78626.34,-120.1582,38.90858
78513.84,-119.795,38.9581
78813.84,-120.223,39.19109
78901.34,-119.8581,39.24089
77813.84,-120.2885,39.4738
80913.84,-119.9218,39.5239
85968.6,-120.4549,38.57567
76381.1,-120.094,38.62627
85768.6,-120.5208,38.8577
78456.1,-120.1582,38.90858
78356.1,-119.795,38.9581
78643.6,-120.223,39.19109
78768.6,-119.8581,39.24089
77643.6,-120.2885,39.4738
80768.6,-119.9218,39.5239
86097.83,-120.4549,38.57567
76585.33,-120.094,38.62627
85922.83,-120.5208,38.8577
78672.83,-120.1582,38.90858
78660.33,-119.795,38.9581
78910.33,-120.223,39.19109
79072.83,-119.8581,39.24089
77935.33,-120.2885,39.4738
81135.33,-119.9218,39.5239
86559.65,-120.4549,38.57567
77072.15,-120.094,38.62627
