tke,lon,lat
1.153125,-120.4549,38.57567
2.2781248,-120.094,38.62627
1.4812499,-120.5208,38.8577
1.8093749,-120.1582,38.90858
1.5593749,-119.795,38.9581
1.5906249,-120.223,39.19109
2.4499998,-119.8581,39.24089
1.5281249,-120.2885,39.4738
1.4812499,-119.9218,39.5239
1.2624999,-120.4549,38.57567
1.8249999,-120.094,38.62627
0.98125005,-120.5208,38.8577
1.16875,-120.1582,38.90858
0.73125005,-119.795,38.9581
1.6687499,-120.223,39.19109
1.0124999,-119.8581,39.24089
1.1375,-120.2885,39.4738
0.70000005,-119.9218,39.5239
3.2781253,-120.4549,38.57567
8.496875,-120.094,38.62627
4.8406253,-120.5208,38.8577
5.1062503,-120.1582,38.90858
1.4187499,-119.795,38.9581
7.0281253,-120.223,39.19109
4.9187503,-119.8581,39.24089
6.5906253,-120.2885,39.4738
1.1999999,-119.9218,39.5239
0.41875002,-120.4549,38.57567
1.1218749,-120.094,38.62627
0.54375,-120.5208,38.8577
0.82500005,-120.1582,38.90858
0.559375,-119.795,38.9581
0.715625,-120.223,39.19109
0.62187505,-119.8581,39.24089
0.62187505,-120.2885,39.4738
0.403125,-119.9218,39.5239
0.35625002,-120.4549,38.57567
1.371875,-120.094,38.62627
0.32500002,-120.5208,38.8577
1.325,-120.1582,38.90858
0.82500005,-119.795,38.9581
0.62187505,-120.223,39.19109
0.95000005,-119.8581,39.24089
0.88750005,-120.2885,39.4738
0.57500005,-119.9218,39.5239
0.88750005,-120.4549,38.57567
1.7624999,-120.094,38.62627
0.90312505,-120.5208,38.8577
1.2624999,-120.1582,38.90858
0.48125002,-119.795,38.9581
1.1375,-120.223,39.19109
0.85625005,-119.8581,39.24089
1.0281249,-120.2885,39.4738
0.51250005,-119.9218,39.5239
6.5906253,-120.4549,38.57567
5.4187503,-120.094,38.62627
7.4500003,-120.5208,38.8577
4.1218753,-120.1582,38.90858
0.38750002,-119.795,38.9581
7.0125003,-120.223,39.19109
2.4031253,-119.8581,39.24089
3.6218753,-120.2885,39.4738
1.2781249,-119.9218,39.5239
5.1687503,-120.4549,38.57567
3.5281253,-120.094,38.62627
5.4187503,-120.5208,38.8577
1.5437499,-120.1582,38.90858
0.19999999,-119.795,38.9581
4.6062503,-120.223,39.19109
1.0593749,-119.8581,39.24089
1.2624999,-120.2885,39.4738
0.34062502,-119.9218,39.5239
0.43437505,-120.4549,38.57567
0.6999999,-120.094,38.62627
0.8406249,-120.5208,38.8577
0.46562502,-120.1582,38.90858
0.19999999,-119.795,38.9581
0.40312505,-120.223,39.19109
0.21562502,-119.8581,39.24089
0.19999999,-120.2885,39.4738
0.19999999,-119.9218,39.5239
0.45000002,-120.4549,38.57567
0.26250002,-120.094,38.62627
0.32500002,-120.5208,38.8577
0.38750002,-120.1582,38.90858
0.19999999,-119.795,38.9581
0.26250002,-120.223,39.19109
0.32500002,-119.8581,39.24089
0.23125002,-120.2885,39.4738
0.19999999,-119.9218,39.5239
0.66875005,-120.4549,38.57567
0.9968749,-120.094,38.62627
0.77812505,-120.5208,38.8577
0.8093749,-120.1582,38.90858
0.26250002,-119.795,38.9581
0.49687502,-120.223,39.19109
0.38750002,-119.8581,39.24089
0.6531249,-120.2885,39.4738
0.278125,-119.9218,39.5239
1.9499999,-120.4549,38.57567
2.4812498,-120.094,38.62627
2.56875,-120.5208,38.8577
1.1375,-120.1582,38.90858
0.19999999,-119.795,38.9581
1.6687499,-120.223,39.19109
0.4875,-119.8581,39.24089
0.9187499,-120.2885,39.4738
0.35625002,-119.9218,39.5239
5.2468753,-120.4549,38.57567
7.5125003,-120.094,38.62627
6.7625003,-120.5208,38.8577
5.9968753,-120.1582,38.90858
0.590625,-119.795,38.9581
8.73125,-120.223,39.19109
5.3406253,-119.8581,39.24089
6.5906253,-120.2885,39.4738
1.028125,-119.9218,39.5239
2.184375,-120.4549,38.57567
5.4812503,-120.094,38.62627
1.8406249,-120.5208,38.8577
3.4500003,-120.1582,38.90858
0.8249998,-119.795,38.9581
3.2000003,-120.223,39.19109
2.5750005,-119.8581,39.24089
3.7625003,-120.2885,39.4738
0.57500005,-119.9218,39.5239
0.2625,-120.4549,38.57567
0.29375002,-120.094,38.62627
0.29375,-120.5208,38.8577
0.19999999,-120.1582,38.90858
0.23124999,-119.795,38.9581
0.19999999,-120.223,39.19109
0.23124999,-119.8581,39.24089
0.19999999,-120.2885,39.4738
0.2625,-119.9218,39.5239
0.2625,-120.4549,38.57567
0.60625005,-120.094,38.62627
0.309375,-120.5208,38.8577
0.27812502,-120.1582,38.90858
0.19999999,-119.795,38.9581
0.2625,-120.223,39.19109
0.19999999,-119.8581,39.24089
0.2625,-120.2885,39.4738
0.23124999,-119.9218,39.5239
0.45000002,-120.4549,38.57567
3.4500003,-120.094,38.62627
0.55937505,-120.5208,38.8577
1.8874999,-120.1582,38.90858
0.35625002,-119.795,38.9581
1.0906249,-120.223,39.19109
0.80937505,-119.8581,39.24089
2.23125,-120.2885,39.4738
0.325,-119.9218,39.5239
1.1062499,-120.4549,38.57567
6.4031253,-120.094,38.62627
1.5593749,-120.5208,38.8577
3.5437503,-120.1582,38.90858
1.1531249,-119.795,38.9581
2.6531253,-120.223,39.19109
2.6062498,-119.8581,39.24089
4.6687503,-120.2885,39.4738
0.82500005,-119.9218,39.5239
0.30937502,-120.4549,38.57567
4.715625,-120.094,38.62627
0.46562502,-120.5208,38.8577
2.5281248,-120.1582,38.90858
0.35625002,-119.795,38.9581
1.48125,-120.223,39.19109
1.4187498,-119.8581,39.24089
3.1062498,-120.2885,39.4738
0.6687499,-119.9218,39.5239
0.6062499,-120.4549,38.57567
4.9187503,-120.094,38.62627
0.9968749,-120.5208,38.8577
3.0593753,-120.1582,38.90858
0.6843749,-119.795,38.9581
2.4187503,-120.223,39.19109
1.4499999,-119.8581,39.24089
3.0593753,-120.2885,39.4738
0.5125,-119.9218,39.5239
0.46562502,-120.4549,38.57567
2.1374998,-120.094,38.62627
0.559375,-120.5208,38.8577
1.3874999,-120.1582,38.90858
0.559375,-119.795,38.9581
1.0437499,-120.223,39.19109
1.2156249,-119.8581,39.24089
1.0124999,-120.2885,39.4738
0.9968749,-119.9218,39.5239
0.24687502,-120.4549,38.57567
0.63750005,-120.094,38.62627
0.35625,-120.5208,38.8577
0.49687502,-120.1582,38.90858
0.2625,-119.795,38.9581
0.65312505,-120.223,39.19109
0.325,-119.8581,39.24089
0.43437502,-120.2885,39.4738
0.325,-119.9218,39.5239
0.57500005,-120.4549,38.57567
0.82500005,-120.094,38.62627
0.76250005,-120.5208,38.8577
0.41875002,-120.1582,38.90858
0.19999999,-119.795,38.9581
0.84062505,-120.223,39.19109
0.8249999,-119.8581,39.24089
0.71562505,-120.2885,39.4738
0.49687502,-119.9218,39.5239
2.5906253,-120.4549,38.57567
3.3875003,-120.094,38.62627
2.7937503,-120.5208,38.8577
2.059375,-120.1582,38.90858
0.2625,-119.795,38.9581
2.85625,-120.223,39.19109
0.73125005,-119.8581,39.24089
2.0124998,-120.2885,39.4738
0.29375002,-119.9218,39.5239
0.76249987,-120.4549,38.57567
1.2937499,-120.094,38.62627
1.0437499,-120.5208,38.8577
1.0437499,-120.1582,38.90858
0.34062502,-119.795,38.9581
0.93437487,-120.223,39.19109
0.63750005,-119.8581,39.24089
1.4968749,-120.2885,39.4738
0.2625,-119.9218,39.5239
0.371875,-120.4549,38.57567
2.2781248,-120.094,38.62627
0.45000002,-120.5208,38.8577
0.7,-120.1582,38.90858
0.24687502,-119.795,38.9581
0.70000005,-120.223,39.19109
0.6375,-119.8581,39.24089
1.5906249,-120.2885,39.4738
0.21562502,-119.9218,39.5239
1.0125,-120.4549,38.57567
6.1687503,-120.094,38.62627
1.23125,-120.5208,38.8577
2.2624998,-120.1582,38.90858
0.35625002,-119.795,38.9581
2.5281248,-120.223,39.19109
1.9187499,-119.8581,39.24089
3.9500003,-120.2885,39.4738
0.55937505,-119.9218,39.5239
2.9656248,-120.4549,38.57567
6.9343753,-120.094,38.62627
3.9656248,-120.5208,38.8577
3.6843748,-120.1582,38.90858
0.79375005,-119.795,38.9581
4.9656253,-120.223,39.19109
3.8562498,-119.8581,39.24089
4.6062503,-120.2885,39.4738
1.059375,-119.9218,39.5239
0.6843749,-120.4549,38.57567
1.7156248,-120.094,38.62627
0.85624987,-120.5208,38.8577
1.1218748,-120.1582,38.90858
0.30937502,-119.795,38.9581
1.1687498,-120.223,39.19109
