ustm,lon,lat
13.551461,-120.4549,38.57567
13.538961,-120.094,38.62627
13.176461,-120.5208,38.8577
13.551462,-120.1582,38.90858
13.351461,-119.795,38.9581
13.363962,-120.223,39.19109
13.663961,-119.8581,39.24089
13.601461,-120.2885,39.4738
13.663961,-119.9218,39.5239
10.448598,-120.4549,38.57567
9.8485985,-120.094,38.62627
9.436098,-120.5208,38.8577
9.861098,-120.1582,38.90858
8.986098,-119.795,38.9581
9.136099,-120.223,39.19109
8.848598,-119.8581,39.24089
9.148598,-120.2885,39.4738
8.873598,-119.9218,39.5239
22.154003,-120.4549,38.57567
23.591503,-120.094,38.62627
22.066502,-120.5208,38.8577
23.579002,-120.1582,38.90858
23.2415,-119.795,38.9581
22.779001,-120.223,39.19109
22.491503,-119.8581,39.24089
20.154001,-120.2885,39.4738
22.491503,-119.9218,39.5239
8.85872,-120.4549,38.57567
9.57122,-120.094,38.62627
8.94622,-120.5208,38.8577
9.57122,-120.1582,38.90858
9.02122,-119.795,38.9581
8.75872,-120.223,39.19109
8.47122,-119.8581,39.24089
8.22122,-120.2885,39.4738
8.47122,-119.9218,39.5239
4.608943,-120.4549,38.57567
4.033943,-120.094,38.62627
2.7839432,-120.5208,38.8577
4.046443,-120.1582,38.90858
3.9464433,-119.795,38.9581
3.033943,-120.223,39.19109
3.258943,-119.8581,39.24089
2.4464433,-120.2885,39.4738
3.2714431,-119.9218,39.5239
15.871275,-120.4549,38.57567
15.158774,-120.094,38.62627
13.158773,-120.5208,38.8577
15.158774,-120.1582,38.90858
12.483774,-119.795,38.9581
12.046273,-120.223,39.19109
10.396275,-119.8581,39.24089
10.133775,-120.2885,39.4738
10.396275,-119.9218,39.5239
20.981901,-120.4549,38.57567
22.019402,-120.094,38.62627
22.069403,-120.5208,38.8577
22.019402,-120.1582,38.90858
21.219402,-119.795,38.9581
21.919401,-120.223,39.19109
21.056902,-119.8581,39.24089
21.731901,-120.2885,39.4738
21.056902,-119.9218,39.5239
17.688906,-120.4549,38.57567
18.876404,-120.094,38.62627
18.876406,-120.5208,38.8577
18.876404,-120.1582,38.90858
18.113905,-119.795,38.9581
18.713905,-120.223,39.19109
18.326408,-119.8581,39.24089
18.651405,-120.2885,39.4738
18.326408,-119.9218,39.5239
8.2689,-120.4549,38.57567
9.0814,-120.094,38.62627
9.093901,-120.5208,38.8577
9.0814,-120.1582,38.90858
9.3314,-119.795,38.9581
9.1689,-120.223,39.19109
9.2314,-119.8581,39.24089
9.0939,-120.2885,39.4738
9.2314,-119.9218,39.5239
3.9710836,-120.4549,38.57567
5.521084,-120.094,38.62627
5.3085833,-120.5208,38.8577
5.521084,-120.1582,38.90858
6.1085844,-119.795,38.9581
5.8960843,-120.223,39.19109
6.196084,-119.8581,39.24089
6.108584,-120.2885,39.4738
6.183584,-119.9218,39.5239
4.407382,-120.4549,38.57567
4.8073826,-120.094,38.62627
4.3573823,-120.5208,38.8577
4.8198824,-120.1582,38.90858
5.644882,-119.795,38.9581
5.082382,-120.223,39.19109
5.6323824,-119.8581,39.24089
4.819882,-120.2885,39.4738
5.6323824,-119.9218,39.5239
8.871149,-120.4549,38.57567
10.046148,-120.094,38.62627
10.308649,-120.5208,38.8577
10.021149,-120.1582,38.90858
11.921148,-119.795,38.9581
11.058648,-120.223,39.19109
11.1586485,-119.8581,39.24089
10.421149,-120.2885,39.4738
11.146149,-119.9218,39.5239
21.752752,-120.4549,38.57567
23.390251,-120.094,38.62627
22.91525,-120.5208,38.8577
23.390251,-120.1582,38.90858
23.177752,-119.795,38.9581
23.027752,-120.223,39.19109
22.227753,-119.8581,39.24089
21.977753,-120.2885,39.4738
22.227753,-119.9218,39.5239
11.308075,-120.4549,38.57567
11.958076,-120.094,38.62627
10.683075,-120.5208,38.8577
11.945575,-120.1582,38.90858
12.958075,-119.795,38.9581
11.370576,-120.223,39.19109
11.5205765,-119.8581,39.24089
10.570576,-120.2885,39.4738
11.5205765,-119.9218,39.5239
-7.076764,-120.4549,38.57567
-6.901765,-120.094,38.62627
-6.8642645,-120.5208,38.8577
