vstm,lon,lat
-24.108469,-120.4549,38.57567
-22.383469,-120.094,38.62627
-22.995968,-120.5208,38.8577
-22.358467,-120.1582,38.90858
-20.845968,-119.795,38.9581
-21.89597,-120.223,39.19109
-21.133469,-119.8581,39.24089
-22.14597,-120.2885,39.4738
-21.133469,-119.9218,39.5239
-27.981873,-120.4549,38.57567
-26.631872,-120.094,38.62627
-26.169373,-120.5208,38.8577
-26.631872,-120.1582,38.90858
-24.956875,-119.795,38.9581
-25.206873,-120.223,39.19109
-24.569374,-119.8581,39.24089
-24.719372,-120.2885,39.4738
-24.569374,-119.9218,39.5239
6.770902,-120.4549,38.57567
7.633403,-120.094,38.62627
6.570902,-120.5208,38.8577
7.6584034,-120.1582,38.90858
6.8709025,-119.795,38.9581
6.8834023,-120.223,39.19109
7.183403,-119.8581,39.24089
9.395903,-120.2885,39.4738
7.1959033,-119.9218,39.5239
7.7717776,-120.4549,38.57567
8.496777,-120.094,38.62627
7.646778,-120.5208,38.8577
8.496777,-120.1582,38.90858
7.9092784,-119.795,38.9581
7.6467767,-120.223,39.19109
7.6842775,-119.8581,39.24089
7.3717775,-120.2885,39.4738
7.6967773,-119.9218,39.5239
-1.8943686,-120.4549,38.57567
-1.0193689,-120.094,38.62627
-1.5943685,-120.5208,38.8577
-1.0193689,-120.1582,38.90858
-0.4068687,-119.795,38.9581
-1.0318689,-120.223,39.19109
-0.08186865,-119.8581,39.24089
-0.7693689,-120.2885,39.4738
-0.0693686,-119.9218,39.5239
-11.487994,-120.4549,38.57567
-11.475493,-120.094,38.62627
-9.937994,-120.5208,38.8577
-11.462994,-120.1582,38.90858
-10.475494,-119.795,38.9581
-9.800495,-120.223,39.19109
-9.300494,-119.8581,39.24089
-8.900494,-120.2885,39.4738
-9.300494,-119.9218,39.5239
12.254783,-120.4549,38.57567
11.667283,-120.094,38.62627
13.067283,-120.5208,38.8577
11.667283,-120.1582,38.90858
10.217282,-119.795,38.9581
12.192283,-120.223,39.19109
11.192283,-119.8581,39.24089
12.8922825,-120.2885,39.4738
11.217282,-119.9218,39.5239
11.799155,-120.4549,38.57567
10.961657,-120.094,38.62627
12.074156,-120.5208,38.8577
10.974157,-120.1582,38.90858
9.174156,-119.795,38.9581
10.886657,-120.223,39.19109
9.699156,-119.8581,39.24089
10.799156,-120.2885,39.4738
9.711657,-119.9218,39.5239
1.0819294,-120.4549,38.57567
0.2069292,-120.094,38.62627
0.89442945,-120.5208,38.8577
0.2069292,-120.1582,38.90858
-0.49307084,-119.795,38.9581
-0.043070793,-120.223,39.19109
-0.74307036,-119.8581,39.24089
-0.4180708,-120.2885,39.4738
-0.7305703,-119.9218,39.5239
10.54731,-120.4549,38.57567
9.034809,-120.094,38.62627
8.234809,-120.5208,38.8577
9.034809,-120.1582,38.90858
6.4723096,-119.795,38.9581
6.584809,-120.223,39.19109
5.0848093,-119.8581,39.24089
5.1973095,-120.2885,39.4738
5.0848093,-119.9218,39.5239
-2.1769004,-120.4549,38.57567
-1.5769007,-120.094,38.62627
-1.4644003,-120.5208,38.8577
-1.5769007,-120.1582,38.90858
-1.6269004,-119.795,38.9581
-1.3769,-120.223,39.19109
-1.1519003,-119.8581,39.24089
-1.0769002,-120.2885,39.4738
-1.1269002,-119.9218,39.5239
7.7468967,-120.4549,38.57567
6.621897,-120.094,38.62627
7.659397,-120.5208,38.8577
6.621897,-120.1582,38.90858
5.471897,-119.795,38.9581
6.5718966,-120.223,39.19109
5.546897,-119.8581,39.24089
6.5593967,-120.2885,39.4738
5.546897,-119.9218,39.5239
15.452305,-120.4549,38.57567
14.902306,-120.094,38.62627
15.702307,-120.5208,38.8577
14.914805,-120.1582,38.90858
13.727305,-119.795,38.9581
15.089806,-120.223,39.19109
14.252307,-119.8581,39.24089
15.177306,-120.2885,39.4738
14.252307,-119.9218,39.5239
2.7549922,-120.4549,38.57567
2.7924926,-120.094,38.62627
4.4799914,-120.5208,38.8577
2.7924926,-120.1582,38.90858
1.4424925,-119.795,38.9581
3.8174925,-120.223,39.19109
2.7174923,-119.8581,39.24089
3.9674928,-120.2885,39.4738
2.7299924,-119.9218,39.5239
-13.727819,-120.4549,38.57567
-13.102819,-120.094,38.62627
-13.42782,-120.5208,38.8577
-13.102819,-120.1582,38.90858
-12.11532,-119.795,38.9581
-12.740319,-120.223,39.19109
-12.290319,-119.8581,39.24089
-12.752819,-120.2885,39.4738
-12.290319,-119.9218,39.5239
-8.075426,-120.4549,38.57567
-7.5129266,-120.094,38.62627
-7.337927,-120.5208,38.8577
-7.5254264,-120.1582,38.90858
-8.150427,-119.795,38.9581
-7.3254266,-120.223,39.19109
-7.8629274,-119.8581,39.24089
-7.450427,-120.2885,39.4738
-7.8504267,-119.9218,39.5239
-3.022711,-120.4549,38.57567
-2.510211,-120.094,38.62627
-2.2227108,-120.5208,38.8577
-2.460211,-120.1582,38.90858
-2.7352114,-119.795,38.9581
-2.2102108,-120.223,39.19109
-1.9852109,-119.8581,39.24089
-1.9977112,-120.2885,39.4738
-1.9852109,-119.9218,39.5239
-10.212203,-120.4549,38.57567
-9.787204,-120.094,38.62627
-8.974703,-120.5208,38.8577
-9.774704,-120.1582,38.90858
-11.074704,-119.795,38.9581
-9.549704,-120.223,39.19109
-10.324703,-119.8581,39.24089
-9.074703,-120.2885,39.4738
-10.324703,-119.9218,39.5239
-9.545882,-120.4549,38.57567
-9.733383,-120.094,38.62627
-9.033382,-120.5208,38.8577
-9.720882,-120.1582,38.90858
-10.808384,-119.795,38.9581
-9.795883,-120.223,39.19109
-10.758384,-119.8581,39.24089
-9.970884,-120.2885,39.4738
-10.733382,-119.9218,39.5239
-6.125844,-120.4549,38.57567
-6.175844,-120.094,38.62627
