wvvflx,lon,lat
-549187.9,-120.4549,38.57567
-424562.84,-120.094,38.62627
-532437.9,-120.5208,38.8577
-446562.84,-120.1582,38.90858
-416937.84,-119.795,38.9581
-466187.84,-120.223,39.19109
-445062.84,-119.8581,39.24089
-483437.84,-120.2885,39.4738
-493062.84,-119.9218,39.5239
-590831.44,-120.4549,38.57567
-515956.44,-120.094,38.62627
-568831.44,-120.5208,38.8577
-507456.44,-120.1582,38.90858
-456831.4,-119.795,38.9581
-499581.44,-120.223,39.19109
-451206.4,-119.8581,39.24089
-490831.44,-120.2885,39.4738
-448331.4,-119.9218,39.5239
767607.25,-120.4549,38.57567
615357.25,-120.094,38.62627
775732.25,-120.5208,38.8577
649357.25,-120.1582,38.90858
619232.25,-119.795,38.9581
664607.25,-120.223,39.19109
643357.25,-119.8581,39.24089
672107.25,-120.2885,39.4738
660232.25,-119.9218,39.5239
343082.56,-120.4549,38.57567
262207.56,-120.094,38.62627
310832.56,-120.5208,38.8577
263832.56,-120.1582,38.90858
247082.56,-119.795,38.9581
254707.56,-120.223,39.19109
247707.56,-119.8581,39.24089
247332.56,-120.2885,39.4738
244707.56,-119.9218,39.5239
11911.75,-120.4549,38.57567
24786.75,-120.094,38.62627
20661.75,-120.5208,38.8577
15661.75,-120.1582,38.90858
4786.75,-119.795,38.9581
10786.75,-120.223,39.19109
-8213.25,-119.8581,39.24089
5786.75,-120.2885,39.4738
-20463.25,-119.9218,39.5239
282192.28,-120.4549,38.57567
111317.28,-120.094,38.62627
240192.28,-120.5208,38.8577
112442.28,-120.1582,38.90858
60442.28,-119.795,38.9581
111192.28,-120.223,39.19109
79317.28,-119.8581,39.24089
121817.28,-120.2885,39.4738
103442.28,-119.9218,39.5239
2474102.0,-120.4549,38.57567
1768602.1,-120.094,38.62627
2486977.0,-120.5208,38.8577
1926352.1,-120.1582,38.90858
1676977.1,-119.795,38.9581
2016477.1,-120.223,39.19109
1811727.1,-119.8581,39.24089
2063102.1,-120.2885,39.4738
1924602.1,-119.9218,39.5239
2219663.8,-120.4549,38.57567
1610913.8,-120.094,38.62627
2092913.8,-120.5208,38.8577
1632913.8,-120.1582,38.90858
1400663.8,-119.795,38.9581
1601913.8,-120.223,39.19109
1404538.8,-119.8581,39.24089
1555788.8,-120.2885,39.4738
1410913.8,-119.9218,39.5239
872005.4,-120.4549,38.57567
604380.4,-120.094,38.62627
779505.4,-120.5208,38.8577
588630.4,-120.1582,38.90858
490380.4,-119.795,38.9581
563130.4,-120.223,39.19109
481130.4,-119.8581,39.24089
533755.4,-120.2885,39.4738
484005.4,-119.9218,39.5239
1117406.0,-120.4549,38.57567
855905.94,-120.094,38.62627
935906.0,-120.5208,38.8577
771155.94,-120.1582,38.90858
715905.94,-119.795,38.9581
680780.94,-120.223,39.19109
644905.94,-119.8581,39.24089
591656.0,-120.2885,39.4738
596655.94,-119.9218,39.5239
377246.12,-120.4549,38.57567
150621.12,-120.094,38.62627
360996.12,-120.5208,38.8577
159996.12,-120.1582,38.90858
58996.125,-119.795,38.9581
165871.12,-120.223,39.19109
58621.125,-119.8581,39.24089
158871.12,-120.2885,39.4738
64871.125,-119.9218,39.5239
1582635.2,-120.4549,38.57567
1018135.2,-120.094,38.62627
1558635.2,-120.5208,38.8577
1081510.2,-120.1582,38.90858
823760.2,-119.795,38.9581
1153510.2,-120.223,39.19109
888135.2,-119.8581,39.24089
1201135.2,-120.2885,39.4738
986510.2,-119.9218,39.5239
2244522.5,-120.4549,38.57567
1690772.8,-120.094,38.62627
2224772.5,-120.5208,38.8577
1799272.8,-120.1582,38.90858
1601897.8,-119.795,38.9581
1877772.8,-120.223,39.19109
1724272.8,-119.8581,39.24089
1963147.8,-120.2885,39.4738
1841397.8,-119.9218,39.5239
797397.5,-120.4549,38.57567
605147.5,-120.094,38.62627
776147.5,-120.5208,38.8577
635772.5,-120.1582,38.90858
540147.5,-119.795,38.9581
634772.5,-120.223,39.19109
558897.5,-119.8581,39.24089
613897.5,-120.2885,39.4738
546272.5,-119.9218,39.5239
-431423.44,-120.4549,38.57567
-349298.44,-120.094,38.62627
-409298.44,-120.5208,38.8577
-359798.44,-120.1582,38.90858
-340798.44,-119.795,38.9581
-367673.44,-120.223,39.19109
-354048.44,-119.8581,39.24089
-373923.44,-120.2885,39.4738
-365798.44,-119.9218,39.5239
74428.19,-120.4549,38.57567
38678.188,-120.094,38.62627
89178.19,-120.5208,38.8577
47678.188,-120.1582,38.90858
25053.188,-119.795,38.9581
58303.188,-120.223,39.19109
32053.188,-119.8581,39.24089
63928.188,-120.2885,39.4738
44553.188,-119.9218,39.5239
335011.38,-120.4549,38.57567
184261.38,-120.094,38.62627
403011.38,-120.5208,38.8577
235761.38,-120.1582,38.90858
155136.38,-119.795,38.9581
284761.38,-120.223,39.19109
196136.38,-119.8581,39.24089
318011.38,-120.2885,39.4738
238136.38,-119.9218,39.5239
129279.81,-120.4549,38.57567
-78595.19,-120.094,38.62627
272779.8,-120.5208,38.8577
25654.812,-120.1582,38.90858
-151595.19,-119.795,38.9581
119154.81,-120.223,39.19109
-74470.19,-119.8581,39.24089
187779.81,-120.2885,39.4738
-9470.1875,-119.9218,39.5239
121632.375,-120.4549,38.57567
13382.375,-120.094,38.62627
179007.38,-120.5208,38.8577
48632.375,-120.1582,38.90858
-72992.625,-119.795,38.9581
63507.375,-120.223,39.19109
-57367.625,-119.8581,39.24089
78382.375,-120.2885,39.4738
-44992.625,-119.9218,39.5239
323852.66,-120.4549,38.57567
273227.66,-120.094,38.62627
354602.66,-120.5208,38.8577
287227.66,-120.1582,38.90858
214102.66,-119.795,38.9581
264102.66,-120.223,39.19109
188602.66,-119.8581,39.24089
223102.66,-120.2885,39.4738
138727.66,-119.9218,39.5239
-294968.84,-120.4549,38.57567
-217593.84,-120.094,38.62627
-261468.84,-120.5208,38.8577
-220343.84,-120.1582,38.90858
-202218.84,-119.795,38.9581
-226218.84,-120.223,39.19109
-214718.84,-119.8581,39.24089
-230593.84,-120.2885,39.4738
-231968.84,-119.9218,39.5239
-375710.75,-120.4549,38.57567
